protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
tcp,175.103.46.158,44106,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,38992,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,53078,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,33242,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,43742,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,57634,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,35238,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,47210,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58798,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,59392,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,57934,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,59504,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,52988,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,40036,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,54174,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,40012,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,34104,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,47296,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,35484,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,33034,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
