protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,122.144.6.226,61200.0,31.13.95.60,443.0,established,LOKAL.c,,OUT.bound
tcp,122.144.6.226,63349.0,23.106.252.102,443.0,established,INTL.c,,OUT.bound
icmp,122.144.6.226,,8.8.8.8,,,,,OUT.bound
tcp,175.103.43.90,52932.0,103.136.6.162,899.0,established,,,IN.bound
tcp,122.144.6.226,35034.0,31.13.95.9,443.0,established,LOKAL.c,,OUT.bound
udp,122.144.6.226,50021.0,52.112.180.165,3480.0,,INTL.c,,OUT.bound
udp,122.144.6.226,50040.0,52.112.180.165,3481.0,,INTL.c,,OUT.bound
udp,122.144.6.226,31807.0,103.166.48.122,58490.0,,LOKAL.c,,OUT.bound
tcp,182.1.122.168,56321.0,122.144.6.226,7211.0,established,LOKAL.c,,IN.bound
udp,122.144.6.226,50040.0,8.8.8.8,443.0,,LOKAL.c,,OUT.bound
udp,162.142.125.93,54386.0,103.136.6.162,5060.0,,,,IN.bound
tcp,122.144.6.226,60526.0,204.79.197.239,443.0,close,LOKAL.c,,OUT.bound
tcp,122.144.6.226,49902.0,91.108.56.165,443.0,established,INTL.c,,OUT.bound
tcp,122.144.6.226,58028.0,74.125.130.100,443.0,established,LOKAL.c,,OUT.bound
udp,122.144.6.226,51529.0,157.240.208.63,443.0,,LOKAL.c,,OUT.bound
tcp,122.144.6.226,56212.0,31.13.95.9,443.0,close,LOKAL.c,,OUT.bound
udp,122.144.6.226,58639.0,8.8.4.4,443.0,,LOKAL.c,,OUT.bound
icmp,175.103.43.90,,122.144.6.226,,,,,IN.bound
tcp,122.144.6.226,59075.0,52.113.194.132,443.0,close,LOKAL.c,,OUT.bound
tcp,122.144.6.226,33184.0,13.33.88.64,443.0,established,INTL.c,,OUT.bound
ipsec-esp,103.166.48.122,,122.144.6.226,,,LOKAL.c,,IN.bound
tcp,122.144.6.226,50332.0,54.192.150.48,443.0,established,INTL.c,,OUT.bound
udp,122.144.6.226,51880.0,31.13.95.9,443.0,,LOKAL.c,,OUT.bound
udp,122.144.6.226,50929.0,31.13.95.1,443.0,,LOKAL.c,,OUT.bound
tcp,122.144.6.226,63531.0,103.166.48.126,443.0,established,LOKAL.c,,OUT.bound
udp,122.144.6.226,64164.0,157.240.208.60,443.0,,LOKAL.c,,OUT.bound
tcp,122.144.6.226,46642.0,52.215.51.250,443.0,established,INTL.c,,OUT.bound
udp,122.144.6.226,52807.0,74.125.68.95,443.0,,LOKAL.c,,OUT.bound
udp,122.144.6.226,32785.0,74.125.68.95,443.0,,LOKAL.c,,OUT.bound
udp,122.144.6.226,46399.0,157.240.208.16,443.0,,LOKAL.c,,OUT.bound
tcp,122.144.6.226,42488.0,47.241.72.88,443.0,close,INTL.c,,OUT.bound
tcp,122.144.6.226,60510.0,52.114.36.190,443.0,established,INTL.c,,OUT.bound
tcp,122.144.6.226,61369.0,92.223.85.148,443.0,established,INTL.c,,OUT.bound
tcp,122.144.6.226,61185.0,142.251.88.41,443.0,established,INTL.c,,OUT.bound
udp,122.144.6.226,56940.0,34.120.241.214,443.0,,INTL.c,,OUT.bound
tcp,122.144.6.226,60354.0,52.108.186.3,443.0,established,INTL.c,,OUT.bound
tcp,122.144.6.226,58135.0,31.13.95.61,443.0,established,LOKAL.c,,OUT.bound
udp,122.144.6.226,53906.0,103.119.230.141,443.0,,LOKAL.c,,OUT.bound
udp,122.144.6.226,33646.0,74.125.68.95,443.0,,LOKAL.c,,OUT.bound
udp,122.144.6.226,54405.0,8.8.8.8,443.0,,LOKAL.c,,OUT.bound
udp,122.144.6.226,59676.0,8.8.4.4,443.0,,LOKAL.c,,OUT.bound
udp,122.144.6.226,46664.0,34.149.173.23,443.0,,INTL.c,,OUT.bound
udp,122.144.6.226,55263.0,23.48.173.8,443.0,,LOKAL.c,,OUT.bound
tcp,122.144.6.226,58012.0,31.13.95.60,443.0,established,LOKAL.c,,OUT.bound
tcp,122.144.6.226,56901.0,172.217.194.188,5228.0,established,LOKAL.c,,OUT.bound
udp,122.144.6.226,60608.0,31.13.95.13,443.0,,LOKAL.c,,OUT.bound
tcp,122.144.6.226,48530.0,31.13.95.61,5222.0,established,LOKAL.c,,OUT.bound
tcp,122.144.6.226,61194.0,40.74.98.192,443.0,time-wait,INTL.c,,OUT.bound
tcp,122.144.6.226,58041.0,143.244.33.54,443.0,established,INTL.c,,OUT.bound
tcp,122.144.6.226,49514.0,52.108.79.30,443.0,established,INTL.c,,OUT.bound
tcp,122.144.6.226,57711.0,20.198.119.143,443.0,established,INTL.c,,OUT.bound
tcp,122.144.6.226,63528.0,172.217.194.188,5228.0,established,LOKAL.c,,OUT.bound
tcp,122.144.6.226,36478.0,8.222.223.41,8820.0,established,INTL.c,,OUT.bound
udp,122.144.6.226,56585.0,34.36.31.173,443.0,,INTL.c,,OUT.bound
udp,122.144.6.226,64545.0,52.98.84.82,443.0,,INTL.c,,OUT.bound
tcp,122.144.6.226,65252.0,31.13.95.60,443.0,established,LOKAL.c,,OUT.bound
