name,data
freeanimesonline.com,172.67.177.52
freeanimesonline.com,104.21.59.121
k.root-servers.net,193.0.14.129
a.root-servers.net,198.41.0.4
siteget.net,104.21.47.123
siteget.net,172.67.147.163
d95b8rreovzmj.cloudfront.net,52.84.251.89
d95b8rreovzmj.cloudfront.net,52.84.251.29
d95b8rreovzmj.cloudfront.net,52.84.251.70
d95b8rreovzmj.cloudfront.net,52.84.251.37
ns-1875.awsdns-42.co.uk,205.251.199.83
ns-348.awsdns-43.com,205.251.193.92
www.gamestorrents.tv,172.67.211.180
www.gamestorrents.tv,104.21.93.152
legittorrents.info,172.67.131.44
legittorrents.info,104.21.3.204
sitenable.info,172.67.157.140
sitenable.info,104.21.50.63
ns0.1984.is,45.76.37.222
tracker.opentrackr.org,93.158.213.92
dns-02.bittorrent.com,208.72.192.177
ns3.utorrent.com,204.152.200.186
ens-06.bittorrent.com,208.72.192.166
ns2.utorrent.com,204.152.200.170
dns-03.bittorrent.com,208.72.192.178
ns1.utorrent.com,216.45.48.250
sitenable.pw,104.21.66.49
sitenable.pw,172.67.201.29
torrentfreak.com,172.67.73.7
torrentfreak.com,104.26.8.68
torrentfreak.com,104.26.9.68
trontv.com,18.64.18.96
trontv.com,18.64.18.70
trontv.com,18.64.18.2
trontv.com,18.64.18.48
bittorrent-4.hs.llnwd.net,111.119.17.193
www.legittorrents.info,172.67.131.44
www.legittorrents.info,104.21.3.204
247.24.78.188.dynamic.jazztel.es,188.78.24.247
tracker.internetwarriors.net,186.10.181.72
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,35.171.94.184
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.0.175.9
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,50.19.67.150
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.200.190.154
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.54.19.74
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.6.170.197
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.202.175.91
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.44.225.32
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.22.143.178
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.201.144.150
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.206.32.212
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.73.161.31
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.20.209.32
p4p.arenabg.com,185.230.4.150
bittorrent-4.hs.llnwd.net,117.121.250.56
bittorrent-4.hs.llnwd.net,117.121.250.156
