.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*7D,tcp,122.144.6.226:61200,31.13.95.60:443,31.13.95.60:443,103.136.6.162:61200,,established,,23h59m54s,LOKAL.c,38,3865,0,0,43,3007,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*C8,tcp,122.144.6.226:63349,23.106.252.102:443,23.106.252.102:443,103.136.6.162:63349,,established,,23h59m53s,INTL.c,15,613,0,0,15,756,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*6AA,icmp,122.144.6.226,8.8.8.8,8.8.8.8,103.136.6.162,,,,8s,,76,4256,0,0,76,4256,0,0,896,896,False,True,False,True,False,False,True,False,0,8,35328,2023-11-28 09:02:40 WIB
*859,tcp,175.103.43.90:52932,103.136.6.162:899,103.136.6.162:899,175.103.43.90:52932,,established,,4m59s,,1825,152212,0,0,4352,5895606,0,0,6720,63472,False,True,True,True,False,False,False,False,,,,2023-11-28 09:02:40 WIB
*D94,tcp,122.144.6.226:35034,31.13.95.9:443,31.13.95.9:443,103.136.6.162:35034,,established,,23h59m58s,LOKAL.c,6,468,0,0,8,572,0,0,728,1144,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*70AC,udp,122.144.6.226:50021,52.112.180.165:3480,52.112.180.165:3480,103.136.6.162:4717,,,,2m59s,INTL.c,148,21352,0,0,10286,7441025,0,0,1152,843544,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*70BA,udp,122.144.6.226:50040,52.112.180.165:3481,52.112.180.165:3481,103.136.6.162:50040,,,,2m59s,INTL.c,132,21316,0,0,2404,2547001,0,0,1152,823840,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*8F35,udp,122.144.6.226:31807,103.166.48.122:58490,103.166.48.122:58490,103.136.6.162:31807,,,,2m59s,LOKAL.c,383,20917,0,0,160,11115,0,0,1152,1272,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*91E2,tcp,182.1.122.168:56321,122.144.6.226:7211,122.144.6.226:7211,182.1.122.168:56321,,established,,23h59m54s,LOKAL.c,18,2061,0,0,16,649,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-28 09:02:40 WIB
*988A,udp,122.144.6.226:50040,8.8.8.8:443,8.8.8.8:443,103.136.6.162:50040,,,,51s,LOKAL.c,5,2875,0,0,8,6406,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*988F,udp,162.142.125.93:54386,103.136.6.162:5060,103.136.6.162:5060,162.142.125.93:54386,,,sip,57m59s,,1,290,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-28 09:02:40 WIB
*9890,tcp,122.144.6.226:60526,204.79.197.239:443,204.79.197.239:443,103.136.6.162:60526,,close,,8s,LOKAL.c,13,2051,0,0,18,7823,0,0,0,416,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9892,tcp,122.144.6.226:49902,91.108.56.165:443,91.108.56.165:443,103.136.6.162:49902,,established,,4m48s,INTL.c,18,2989,0,0,27,3041,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9895,tcp,122.144.6.226:58028,74.125.130.100:443,74.125.130.100:443,103.136.6.162:58028,,established,,23h57m52s,LOKAL.c,13,2626,0,0,11,6384,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9898,udp,122.144.6.226:51529,157.240.208.63:443,157.240.208.63:443,103.136.6.162:51529,,,,2m20s,LOKAL.c,374,209721,0,0,499,322844,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*989C,tcp,122.144.6.226:56212,31.13.95.9:443,31.13.95.9:443,103.136.6.162:56212,,close,,6s,LOKAL.c,31,4743,0,0,32,3158,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98A1,udp,122.144.6.226:58639,8.8.4.4:443,8.8.4.4:443,103.136.6.162:58639,,,,1m23s,LOKAL.c,14,2758,0,0,19,5002,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98A5,icmp,175.103.43.90,122.144.6.226,122.144.6.226,175.103.43.90,,,,9s,,250,23000,0,0,123,11316,0,0,1472,1472,False,True,False,True,False,False,False,False,0,8,1,2023-11-28 09:02:40 WIB
*98AB,tcp,122.144.6.226:59075,52.113.194.132:443,52.113.194.132:443,103.136.6.162:59075,,close,,8s,LOKAL.c,14,1604,0,0,36,34859,0,0,0,278552,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98C3,tcp,122.144.6.226:33184,13.33.88.64:443,13.33.88.64:443,103.136.6.162:33184,,established,,23h57m57s,INTL.c,10,2152,0,0,8,1210,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98CB,ipsec-esp,103.166.48.122,122.144.6.226,122.144.6.226,103.166.48.122,,,,9m59s,LOKAL.c,3206,2517856,0,0,3320,1144896,0,0,11968,32576,False,True,False,True,False,False,False,False,,,,2023-11-28 09:02:40 WIB
*98D5,tcp,122.144.6.226:50332,54.192.150.48:443,54.192.150.48:443,103.136.6.162:50332,,established,,23h57m57s,INTL.c,9,2657,0,0,9,1803,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98DA,udp,122.144.6.226:51880,31.13.95.9:443,31.13.95.9:443,103.136.6.162:51880,,,,1m22s,LOKAL.c,13,6631,0,0,16,3330,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98DB,udp,122.144.6.226:50929,31.13.95.1:443,31.13.95.1:443,103.136.6.162:50929,,,,1m21s,LOKAL.c,60,44332,0,0,48,10143,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98E4,tcp,122.144.6.226:63531,103.166.48.126:443,103.166.48.126:443,103.136.6.162:63531,,established,,23h59m15s,LOKAL.c,29,3327,0,0,36,4178,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*98FA,udp,122.144.6.226:64164,157.240.208.60:443,157.240.208.60:443,103.136.6.162:64164,,,,1m,LOKAL.c,36,5230,0,0,49,36320,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9906,tcp,122.144.6.226:46642,52.215.51.250:443,52.215.51.250:443,103.136.6.162:46642,,established,,23h58m,INTL.c,10,2443,0,0,9,6417,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*990A,udp,122.144.6.226:52807,74.125.68.95:443,74.125.68.95:443,103.136.6.162:52807,,,,1m2s,LOKAL.c,55,37826,0,0,46,6091,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9915,udp,122.144.6.226:32785,74.125.68.95:443,74.125.68.95:443,103.136.6.162:32785,,,,1m3s,LOKAL.c,17,8075,0,0,15,3642,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9916,udp,122.144.6.226:46399,157.240.208.16:443,157.240.208.16:443,103.136.6.162:46399,,,,1m17s,LOKAL.c,5,1701,0,0,20,4630,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9921,tcp,122.144.6.226:42488,47.241.72.88:443,47.241.72.88:443,103.136.6.162:42488,,close,,8s,INTL.c,13,2789,0,0,17,1983,0,0,2632,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9929,tcp,122.144.6.226:60510,52.114.36.190:443,52.114.36.190:443,103.136.6.162:60510,,established,,23h59m21s,INTL.c,6,411,0,0,3,258,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*992A,tcp,122.144.6.226:61369,92.223.85.148:443,92.223.85.148:443,103.136.6.162:61369,,established,,23h59m51s,INTL.c,13,532,0,0,13,664,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*992B,tcp,122.144.6.226:61185,142.251.88.41:443,142.251.88.41:443,103.136.6.162:61185,,established,,23h59m58s,INTL.c,5271,301930,0,0,19017,27473006,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*992D,udp,122.144.6.226:56940,34.120.241.214:443,34.120.241.214:443,103.136.6.162:56940,,,,1m2s,INTL.c,28,8759,0,0,30,16269,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*993F,tcp,122.144.6.226:60354,52.108.186.3:443,52.108.186.3:443,103.136.6.162:60354,,established,,4m49s,INTL.c,44,35774,0,0,44,3387,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9940,tcp,122.144.6.226:58135,31.13.95.61:443,31.13.95.61:443,103.136.6.162:58135,,established,,23h59m59s,LOKAL.c,86,7542,0,0,88,8801,0,0,6728,7640,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9944,udp,122.144.6.226:53906,103.119.230.141:443,103.119.230.141:443,103.136.6.162:4717,,,,2m56s,LOKAL.c,2999,238765,0,0,10993,13789972,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*994E,udp,122.144.6.226:33646,74.125.68.95:443,74.125.68.95:443,103.136.6.162:33646,,,,1m4s,LOKAL.c,19,9316,0,0,18,3877,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9964,udp,122.144.6.226:54405,8.8.8.8:443,8.8.8.8:443,103.136.6.162:54405,,,,2m33s,LOKAL.c,57,7234,0,0,63,14897,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*996B,udp,122.144.6.226:59676,8.8.4.4:443,8.8.4.4:443,103.136.6.162:59676,,,,1m9s,LOKAL.c,21,3391,0,0,25,6753,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9977,udp,122.144.6.226:46664,34.149.173.23:443,34.149.173.23:443,103.136.6.162:46664,,,,1m5s,INTL.c,15,9256,0,0,14,6480,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*997D,udp,122.144.6.226:55263,23.48.173.8:443,23.48.173.8:443,103.136.6.162:55263,,,,1m5s,LOKAL.c,114,8851,0,0,584,738164,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9994,tcp,122.144.6.226:58012,31.13.95.60:443,31.13.95.60:443,103.136.6.162:58012,,established,,4m52s,LOKAL.c,38,3154,0,0,52,17277,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99B3,tcp,122.144.6.226:56901,172.217.194.188:5228,172.217.194.188:5228,103.136.6.162:56901,,established,,23h59m38s,LOKAL.c,3,123,0,0,3,156,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99B4,udp,122.144.6.226:60608,31.13.95.13:443,31.13.95.13:443,103.136.6.162:60608,,,,2m30s,LOKAL.c,20,3915,0,0,152,173503,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99B9,tcp,122.144.6.226:48530,31.13.95.61:5222,31.13.95.61:5222,103.136.6.162:48530,,established,,23h59m54s,LOKAL.c,32,3268,0,0,36,6091,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99BE,tcp,122.144.6.226:61194,40.74.98.192:443,40.74.98.192:443,103.136.6.162:61194,,time-wait,,8s,INTL.c,11,2849,0,0,10,7172,0,0,22152,57056,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99C9,tcp,122.144.6.226:58041,143.244.33.54:443,143.244.33.54:443,103.136.6.162:58041,,established,,23h59m50s,INTL.c,12,491,0,0,12,612,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99D1,tcp,122.144.6.226:49514,52.108.79.30:443,52.108.79.30:443,103.136.6.162:49514,,established,,23h59m54s,INTL.c,20,7046,0,0,21,8516,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99DB,tcp,122.144.6.226:57711,20.198.119.143:443,20.198.119.143:443,103.136.6.162:57711,,established,,23h59m41s,INTL.c,6,372,0,0,3,645,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99E1,tcp,122.144.6.226:63528,172.217.194.188:5228,172.217.194.188:5228,103.136.6.162:63528,,established,,23h59m40s,LOKAL.c,3,123,0,0,3,156,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99F4,tcp,122.144.6.226:36478,8.222.223.41:8820,8.222.223.41:8820,103.136.6.162:36478,,established,,23h59m41s,INTL.c,8,328,0,0,4,168,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99F5,udp,122.144.6.226:56585,34.36.31.173:443,34.36.31.173:443,103.136.6.162:56585,,,,2m46s,INTL.c,10,590,0,0,10,1120,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99F6,udp,122.144.6.226:64545,52.98.84.82:443,52.98.84.82:443,103.136.6.162:64545,,,,1m40s,INTL.c,5,1600,0,0,5,331,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99F7,tcp,122.144.6.226:65252,31.13.95.60:443,31.13.95.60:443,103.136.6.162:65252,,established,,23h59m35s,LOKAL.c,10,750,0,0,11,872,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99F8,tcp,122.144.6.226:53028,31.13.95.60:443,31.13.95.60:443,103.136.6.162:53028,,established,,4m56s,LOKAL.c,117,11485,0,0,154,36714,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99F9,tcp,122.144.6.226:46676,47.236.113.82:8820,47.236.113.82:8820,103.136.6.162:46676,,established,,23h59m41s,INTL.c,8,328,0,0,4,168,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*99FF,tcp,122.144.6.226:60527,51.104.167.245:443,51.104.167.245:443,103.136.6.162:60527,,established,,23h58m12s,INTL.c,12,1809,0,0,9,3473,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A0F,tcp,122.144.6.226:35233,8.214.24.127:31006,8.214.24.127:31006,103.136.6.162:35233,,established,,23h59m43s,INTL.c,9,608,0,0,6,248,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A12,tcp,122.144.6.226:52928,103.166.48.126:443,103.166.48.126:443,103.136.6.162:52928,,established,,23h59m35s,LOKAL.c,132,15350,0,0,152,20228,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A1A,tcp,202.148.26.5:80,36.68.216.67:53853,36.68.216.67:53853,202.148.26.5:80,,established,,23h59m53s,,164,167850,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-28 09:02:40 WIB
*9A1D,udp,122.144.6.226:63886,8.8.8.8:443,8.8.8.8:443,103.136.6.162:63886,,,,1m13s,LOKAL.c,10,4702,0,0,13,5602,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A28,tcp,122.144.6.226:50924,52.111.240.15:443,52.111.240.15:443,103.136.6.162:50924,,established,,23h59m18s,INTL.c,4,220,0,0,6,314,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A2A,tcp,122.144.6.226:60655,103.166.48.126:443,103.166.48.126:443,103.136.6.162:60655,,established,,23h59m49s,LOKAL.c,28,2724,0,0,39,9369,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A2D,tcp,122.144.6.226:49329,143.244.33.97:443,143.244.33.97:443,103.136.6.162:49329,,established,,23h59m50s,INTL.c,14,697,0,0,15,898,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A2E,tcp,122.144.6.226:60634,23.111.12.23:443,23.111.12.23:443,103.136.6.162:60634,,established,,23h59m54s,INTL.c,11,451,0,0,11,572,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A2F,tcp,122.144.6.226:61382,20.198.118.190:443,20.198.118.190:443,103.136.6.162:61382,,established,,23h59m43s,INTL.c,6,369,0,0,3,642,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A35,udp,122.144.6.226:49473,157.240.208.63:443,157.240.208.63:443,103.136.6.162:49473,,,,1m19s,LOKAL.c,25,8062,0,0,33,18319,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A3A,tcp,122.144.6.226:53358,13.107.5.88:443,13.107.5.88:443,103.136.6.162:53358,,established,,23h58m13s,LOKAL.c,13,1423,0,0,25,18043,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A42,tcp,122.144.6.226:47038,31.13.95.1:443,31.13.95.1:443,103.136.6.162:47038,,established,,23h58m17s,LOKAL.c,13,3110,0,0,12,5649,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A43,udp,122.144.6.226:61440,172.253.118.94:443,172.253.118.94:443,103.136.6.162:61440,,,,1m14s,LOKAL.c,9,2616,0,0,10,3262,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A47,tcp,122.144.6.226:63994,92.223.85.52:443,92.223.85.52:443,103.136.6.162:63994,,established,,23h59m56s,INTL.c,12,491,0,0,12,612,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A4B,tcp,122.144.6.226:49204,142.251.175.95:443,142.251.175.95:443,103.136.6.162:49204,,established,,23h58m15s,LOKAL.c,11,2811,0,0,10,6473,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A53,udp,122.144.6.226:51113,8.8.8.8:443,8.8.8.8:443,103.136.6.162:51113,,,,1m15s,LOKAL.c,20,4162,0,0,16,9295,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A59,udp,122.144.6.226:59631,31.13.95.1:443,31.13.95.1:443,103.136.6.162:59631,,,,2m1s,LOKAL.c,20,14229,0,0,17,3969,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A67,tcp,122.144.6.226:40528,47.245.127.164:8820,47.245.127.164:8820,103.136.6.162:40528,,established,,23h59m47s,INTL.c,8,328,0,0,4,168,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A6A,tcp,122.144.6.226:57912,157.240.235.19:443,157.240.235.19:443,103.136.6.162:57912,,established,,23h59m47s,LOKAL.c,10,715,0,0,7,559,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A74,tcp,122.144.6.226:34810,8.219.106.34:31006,8.219.106.34:31006,103.136.6.162:34810,,established,,23h59m47s,INTL.c,8,424,0,0,4,216,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A93,tcp,122.144.6.226:53359,31.13.95.60:443,31.13.95.60:443,103.136.6.162:53359,,established,,23h59m42s,LOKAL.c,71,8562,0,0,100,68873,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A98,udp,122.144.6.226:63919,74.125.24.138:443,74.125.24.138:443,103.136.6.162:63919,,,,1m20s,LOKAL.c,10,2260,0,0,11,2745,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A9B,tcp,122.144.6.226:47458,74.125.24.95:443,74.125.24.95:443,103.136.6.162:47458,,established,,23h58m21s,LOKAL.c,11,4299,0,0,11,1772,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9A9E,tcp,122.144.6.226:32776,157.240.208.34:443,157.240.208.34:443,103.136.6.162:32776,,established,,23h58m22s,LOKAL.c,12,1463,0,0,10,4503,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AAB,tcp,122.144.6.226:54496,85.25.211.17:82,85.25.211.17:82,103.136.6.162:54496,,established,,23h59m50s,INTL.c,93,14010,0,0,53,5464,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AAD,tcp,122.144.6.226:56816,47.236.9.38:8820,47.236.9.38:8820,103.136.6.162:56816,,established,,23h59m56s,INTL.c,18,2642,0,0,15,2566,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AB9,tcp,122.144.6.226:53362,142.251.12.95:443,142.251.12.95:443,103.136.6.162:53362,,established,,23h59m52s,LOKAL.c,13,1828,0,0,18,7980,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9ABB,tcp,122.144.6.226:53360,142.251.175.94:443,142.251.175.94:443,103.136.6.162:53360,,established,,23h59m52s,LOKAL.c,8,945,0,0,9,5846,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9ABF,tcp,122.144.6.226:57460,52.182.143.208:443,52.182.143.208:443,103.136.6.162:57460,,established,,23h58m23s,INTL.c,12,3482,0,0,9,7120,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AC6,tcp,122.144.6.226:58860,74.125.130.188:5228,74.125.130.188:5228,103.136.6.162:58860,,established,,23h59m52s,LOKAL.c,3,123,0,0,3,156,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AC7,tcp,122.144.6.226:65142,34.36.31.173:443,34.36.31.173:443,103.136.6.162:65142,,established,,23h59m55s,INTL.c,43,3162,0,0,49,3318,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AC9,tcp,122.144.6.226:52827,203.27.106.11:443,203.27.106.11:443,103.136.6.162:52827,,established,,23h59m52s,INTL.c,12,490,0,0,12,600,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9ACD,tcp,122.144.6.226:57461,152.195.38.76:80,152.195.38.76:80,103.136.6.162:57461,,established,,23h58m23s,INTL.c,4,412,0,0,3,869,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9ADA,tcp,122.144.6.226:53365,31.13.95.60:443,31.13.95.60:443,103.136.6.162:53365,,established,,23h59m41s,LOKAL.c,7852,427132,0,0,25781,36823819,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AE9,tcp,122.144.6.226:60575,157.240.208.60:443,157.240.208.60:443,103.136.6.162:60575,,established,,23h59m58s,LOKAL.c,11,860,0,0,11,812,0,0,1200,1216,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AEB,tcp,122.144.6.226:60519,52.111.240.2:443,52.111.240.2:443,103.136.6.162:60519,,established,,23h59m41s,INTL.c,4,254,0,0,6,356,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AF0,tcp,122.144.6.226:37954,31.13.95.60:443,31.13.95.60:443,103.136.6.162:37954,,established,,23h58m24s,LOKAL.c,9,1789,0,0,8,4656,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
*9AFF,tcp,122.144.6.226:47388,142.251.175.113:80,142.251.175.113:80,103.136.6.162:47388,,established,,23h58m25s,LOKAL.c,4,401,0,0,3,291,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-28 09:02:40 WIB
