Port Number,service
799,
42048,
23016,
47756,
48132,
39492,
33890,digilent-adept
42690,
443,https
899,
43828,
33794,
47040,
36618,
48090,
39960,
5678,rrac
41220,
33884,
35890,
36698,
48486,
36714,
44296,
33906,
43806,
37290,
36666,
43136,
36686,
46158,
33796,
7010,ups-onlinet
44940,
4001,newoak
33880,
34310,
32939,
46658,
38317,
44426,
23006,
49020,
23008,
39777,
40636,
48618,
36694,
40044,
38554,
4122,fprams
37803,
40070,
46908,
33894,
44740,
45582,
33912,
46844,
46900,
41410,
45526,
46500,
38209,
48522,
80,http
33904,
44046,
48456,
36741,
48698,
47224,
33798,
39185,
36662,
23013,
41286,
39740,
49070,
43158,
44776,
33910,
36096,
33862,
14853,
123,ntp
39668,
5228,hpvroom
33898,
47755,
37398,
45958,
41506,
44440,
42004,
41494,
6568,canit-store
45878,
42446,
5222,xmpp-client
53,domain
42112,
41482,
41518,
48478,
41996,
41500,
46354,
38404,
6379,redis
8278,
1812,radius
42046,
40890,
10002,documentum
41530,
45924,
1813,radius-acct
42130,
8883,secure-mqtt
42224,
800,mdbs-daemon
45772,
46652,
46432,
46472,
34682,
46428,
514,shell
41986,
3544,teredo
41498,
41248,
45612,
41478,
41474,
42148,
42118,
42202,
41226,
40696,
5938,
38304,
41266,
45482,
41382,
1194,openvpn
45834,
2000,cisco-sccp
45600,
41542,
45892,
46422,
46628,
41514,
38058,
45870,
42158,
41742,
46334,
38744,
41510,
41470,
41522,
38470,
45506,
41534,
41524,
45806,
38438,
