protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,122.144.6.226,61200,31.13.95.60,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
tcp,175.103.43.90,52932,103.136.6.162,899,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
udp,122.144.6.226,31807,103.166.48.122,58490,OUT.bound,,,LOKAL.c,ID,AS139460 pt maxindo mitra solusi,,,
tcp,122.144.6.226,58012,31.13.95.60,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
tcp,122.144.6.226,46676,47.236.113.82,8820,OUT.bound,established,,INTL.c,US,ASNone ,,,
udp,122.144.6.226,50007,52.112.176.179,3479,OUT.bound,,,INTL.c,JP,AS8075 microsoft corporation,,,
tcp,202.148.26.3,2,36.68.216.67,14886,Other,established,,,,,,,
tcp,192.168.98.115,54148,142.251.175.94,443,OUT.bound,established,,,US,AS15169 google llc,CVE JAR Found   Massive active Malicious   unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24T12:03:49.398000
tcp,122.144.6.226,61248,203.161.21.202,443,OUT.bound,established,,INTL.c,ID,AS133840 pt jala lintas media,,,
tcp,122.144.6.226,58973,204.79.197.239,443,OUT.bound,established,,LOKAL.c,US,AS8068 microsoft corporation,SOC2023,,2023-11-28T00:52:38.952000
tcp,122.144.6.226,49672,209.58.162.123,443,OUT.bound,established,,INTL.c,SG,AS59253 leaseweb asia pacific pte. ltd.,,,
udp,122.144.6.226,42523,8.8.8.8,443,OUT.bound,,,LOKAL.c,US,AS15169 google llc,,,
tcp,122.144.6.226,55816,162.247.241.2,443,OUT.bound,established,,LOKAL.c,US,AS23467 new relic,Phishing - bam-cell.cell.nr-data.net,,2023-11-09T05:05:01.692000
tcp,122.144.6.226,54174,203.161.21.184,443,OUT.bound,established,,INTL.c,ID,AS133840 pt jala lintas media,,,
ipsec-esp,122.144.6.226,,103.166.48.122,,OUT.bound,,,LOKAL.c,ID,AS139460 pt maxindo mitra solusi,,,
udp,122.144.6.226,51245,74.125.130.139,443,OUT.bound,,,LOKAL.c,US,AS15169 google llc,,,
icmp,175.103.43.90,,122.144.6.226,,IN.bound,,,,ID,AS38320 pt maxindo mitra solusi,,,
udp,122.144.6.226,50021,52.112.180.165,3480,OUT.bound,,,INTL.c,JP,AS8075 microsoft corporation,,,
udp,122.144.6.226,50040,52.112.180.165,3481,OUT.bound,,,INTL.c,JP,AS8075 microsoft corporation,,,
udp,122.144.6.226,56038,124.158.128.44,443,OUT.bound,,,LOKAL.c,ID,AS135445 pt. airpay international indonesia,,,
tcp,122.144.6.226,61369,92.223.85.148,443,OUT.bound,established,,INTL.c,SG,AS199524 g-core labs s.a.,,,
tcp,122.144.6.226,63531,103.166.48.126,443,OUT.bound,established,,LOKAL.c,ID,AS139460 pt maxindo mitra solusi,,,
tcp,122.144.6.226,35233,8.214.24.127,31006,OUT.bound,established,,INTL.c,SG,AS45102 alibaba (us) technology co.  ltd.,LCIA:HoneyNet:July 2022,,2022-08-18T12:03:39.501000
tcp,122.144.6.226,58041,143.244.33.54,443,OUT.bound,established,,INTL.c,SG,AS60068 datacamp limited,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000
tcp,202.148.26.3,2,36.68.216.67,46600,Other,established,,,,,,,
tcp,122.144.6.226,63349,23.106.252.102,443,OUT.bound,established,,INTL.c,US,AS59253 leaseweb asia pacific pte. ltd.,,,
tcp,122.144.6.226,60336,92.223.85.165,443,OUT.bound,established,,INTL.c,SG,AS199524 g-core labs s.a.,,,
tcp,122.144.6.226,54213,52.123.160.131,443,OUT.bound,established,,INTL.c,US,AS8075 microsoft corporation,,,
icmp,122.144.6.226,,8.8.8.8,,OUT.bound,,,,US,AS15169 google llc,,,
udp,122.144.6.226,50056,52.112.176.179,3481,OUT.bound,,,INTL.c,JP,AS8075 microsoft corporation,,,
tcp,122.144.6.226,49514,52.108.79.30,443,OUT.bound,established,,INTL.c,US,AS8075 microsoft corporation,,,
tcp,122.144.6.226,52827,203.27.106.11,443,OUT.bound,established,,INTL.c,AU,AS137409 gsl networks pty ltd,,,
tcp,122.144.6.226,49687,20.42.73.24,443,OUT.bound,established,,INTL.c,US,AS8075 microsoft corporation,,,
tcp,122.144.6.226,45920,31.13.95.9,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
udp,122.144.6.226,59110,31.13.95.1,443,OUT.bound,,,LOKAL.c,ID,AS32934 facebook  inc.,,,
udp,122.144.6.226,52500,8.8.8.8,443,OUT.bound,,,LOKAL.c,US,AS15169 google llc,,,
tcp,122.144.6.226,60634,23.111.12.23,443,OUT.bound,established,,INTL.c,SG,AS59253 leaseweb asia pacific pte. ltd.,,,
tcp,122.144.6.226,45916,31.13.95.9,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
tcp,122.144.6.226,54523,20.189.173.9,443,OUT.bound,established,,INTL.c,US,AS8075 microsoft corporation,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000
tcp,122.144.6.226,51487,31.13.95.61,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
