protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark
tcp,203.123.56.246,43834,163.70.153.34,443,established,
tcp,175.103.43.90,51221,146.196.110.84,899,established,
tcp,203.123.56.246,49174,135.148.150.100,443,established,
tcp,203.123.56.246,60436,52.220.25.133,443,established,
tcp,203.123.56.246,58854,172.253.118.188,5228,established,
tcp,203.123.56.246,52294,134.119.183.59,80,established,
tcp,203.123.56.246,54641,134.119.183.60,80,established,
tcp,185.224.128.184,11585,203.123.56.247,80,established,
tcp,203.123.56.246,53499,2.59.169.86,80,established,
tcp,192.168.120.253,51064,45.121.219.179,443,established,
tcp,203.123.56.246,53015,134.119.183.60,80,established,
tcp,203.123.56.246,34464,172.253.118.188,5228,established,
tcp,203.123.56.246,37630,118.26.252.226,443,established,
tcp,203.123.56.246,49215,217.160.192.232,443,established,
tcp,192.168.120.218,40910,13.107.42.16,443,established,
udp,203.123.56.246,59397,92.204.242.245,49850,,
tcp,203.123.56.246,49462,2.59.169.42,80,established,
tcp,203.123.56.246,49155,92.223.85.164,443,established,
tcp,203.123.56.246,41242,74.125.68.94,443,established,
tcp,203.123.56.246,49165,54.39.118.29,8080,established,speedtest.c
tcp,203.123.56.246,46268,142.251.10.95,443,established,
tcp,203.123.56.246,46286,35.213.190.132,443,established,
udp,203.123.56.246,52266,47.241.111.159,6000,,
tcp,203.123.56.246,2257,142.251.10.101,443,established,
gre,146.196.110.84,,203.123.56.202,,,
tcp,203.123.56.246,49476,34.149.173.23,443,established,
tcp,203.123.56.246,49222,163.172.53.201,443,established,
udp,175.103.36.115,13231,203.123.56.246,13231,,
udp,203.123.56.246,46417,64.233.170.95,443,,
tcp,203.123.56.246,49548,74.125.24.188,5228,established,
tcp,203.123.56.246,42764,142.251.175.188,5228,established,
tcp,203.123.56.246,40880,142.250.4.94,443,established,
tcp,203.123.56.246,49768,142.251.175.188,5228,established,
udp,203.123.56.246,43589,122.144.2.205,443,,
tcp,203.123.56.246,60955,47.245.116.47,6800,established,
tcp,203.123.56.246,44074,216.239.36.135,443,established,
tcp,203.123.56.246,49308,212.227.43.225,443,established,
tcp,203.123.56.246,45896,74.125.24.188,5228,established,
tcp,185.224.128.184,26115,203.123.56.245,80,established,
udp,203.123.56.246,50712,172.217.194.95,443,,
udp,203.123.56.246,50540,122.144.2.204,443,,
tcp,203.123.56.246,45862,156.59.239.227,8888,established,
tcp,203.123.56.246,59734,199.103.24.6,443,established,
tcp,142.251.10.188,5228,192.168.120.195,47356,established,
tcp,203.123.56.246,49896,209.209.10.208,443,established,
tcp,203.123.56.246,59544,17.57.145.137,5223,established,
tcp,199.43.203.163,22,203.123.56.244,35307,established,
tcp,203.123.56.246,49895,163.70.153.60,443,established,
tcp,203.123.56.246,42040,45.60.158.227,443,established,
tcp,203.123.56.246,47030,157.240.208.16,443,established,
tcp,203.123.56.246,50870,31.13.95.34,443,established,
tcp,203.123.56.246,36076,142.251.175.95,443,last-ack,
tcp,104.253.91.98,80,203.123.56.247,51672,established,
tcp,203.123.56.246,49171,51.91.58.34,9001,established,
tcp,203.123.56.246,49388,157.240.208.60,443,established,
tcp,104.253.91.98,80,203.123.56.244,8161,established,
tcp,203.123.56.246,41662,142.251.175.94,443,established,
tcp,203.123.56.246,49230,74.125.200.188,5228,established,
tcp,203.123.56.246,42054,45.60.158.227,443,established,
tcp,203.123.56.246,43798,74.125.24.188,5228,established,
udp,203.123.56.246,42517,74.125.24.147,443,,
udp,203.123.56.246,58714,176.9.57.92,60684,,
tcp,203.123.56.246,49396,45.141.215.6,110,established,
tcp,203.123.56.246,49214,198.71.53.137,443,established,
tcp,203.123.56.246,39272,74.125.200.188,5228,established,
tcp,203.123.56.246,49320,190.2.153.200,40001,established,
tcp,203.123.56.246,39368,142.251.10.95,443,established,
udp,205.210.31.72,49199,203.123.56.245,5060,,
tcp,203.123.56.246,33960,74.125.24.188,5228,established,
tcp,203.123.56.246,65117,17.57.145.133,5223,established,
tcp,185.224.128.184,19277,203.123.56.247,80,established,
udp,203.123.56.246,53427,122.144.2.204,443,,
tcp,203.123.56.246,45452,157.240.208.34,443,established,
gre,203.123.56.246,,140.0.23.161,,,
tcp,203.123.56.246,46230,172.217.194.155,443,established,
tcp,203.123.56.246,34054,172.217.194.188,5228,established,
tcp,203.123.56.246,36556,172.253.118.188,5228,established,
tcp,203.123.56.246,34284,157.240.208.60,443,established,
tcp,203.123.56.246,50629,34.107.243.93,443,established,
tcp,203.123.56.246,49175,81.169.159.28,29001,established,
tcp,203.123.56.246,43820,172.217.194.95,443,established,
tcp,203.123.56.246,57729,34.79.221.98,443,established,
tcp,203.123.56.246,49333,157.240.208.60,443,established,
tcp,203.123.56.246,37028,142.251.12.188,5228,established,
tcp,203.123.56.246,42444,167.114.32.111,443,established,
tcp,203.123.56.246,39733,23.50.117.216,443,established,
tcp,203.123.56.246,59467,8.222.192.32,6800,established,
tcp,203.123.56.246,49177,190.2.153.231,40001,established,
tcp,185.224.128.184,24757,203.123.56.246,80,established,
tcp,203.123.56.246,49355,104.21.33.59,80,established,
