.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*33E4,udp,119.110.75.198:65383,148.251.237.81:39871,148.251.237.81:39871,119.110.75.198:65383,,,,2m58s,INTL.c,404,316156,0,0,278,59878,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*33ED,tcp,119.110.75.198:38366,103.143.2.221:1197,103.143.2.221:1197,119.110.75.198:38366,,established,,23h59m55s,LOKAL.c,38,5882,0,0,44,6413,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*343C,tcp,175.103.43.90:50590,119.110.66.86:899,119.110.66.86:899,175.103.43.90:50590,,established,,4m59s,,127,10352,0,0,160,171044,0,0,6176,122912,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3483,icmp,175.103.43.90,119.110.75.198,119.110.75.198,175.103.43.90,,,,9s,,28,2576,0,0,14,1288,0,0,1472,1472,False,True,False,True,False,False,False,False,0,8,1,2023-11-20 09:08:38 WIB
*34CC,tcp,157.240.13.32:443,119.110.75.198:33022,119.110.75.198:33022,157.240.13.32:443,,established,,23h59m58s,,23,2254,0,0,0,0,0,0,784,0,False,False,False,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*353C,tcp,119.110.75.198:56140,210.210.145.91:80,210.210.145.91:80,119.110.75.198:56140,,established,,4m58s,LOKAL.c,8,889,0,0,11,12839,0,0,0,35040,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*353D,tcp,119.110.75.198:50795,172.67.170.105:443,172.67.170.105:443,119.110.75.198:50795,,established,,23h59m45s,INTL.c,12,1500,0,0,13,9687,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3544,tcp,163.70.141.34:443,119.110.75.198:37632,119.110.75.198:37632,163.70.141.34:443,,established,,23h59m58s,,15,1470,0,0,0,0,0,0,784,0,False,False,False,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3546,tcp,119.110.75.198:39578,47.254.137.167:443,47.254.137.167:443,119.110.75.198:39578,,established,,23h59m46s,INTL.c,13,2750,0,0,12,7197,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3547,tcp,119.110.75.198:46824,206.84.112.16:443,206.84.112.16:443,119.110.75.198:46824,,established,,23h59m55s,LOKAL.c,267,15035,0,0,640,953846,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3549,tcp,119.110.75.198:50767,74.125.68.94:443,74.125.68.94:443,119.110.75.198:50767,,established,,1d6s,LOKAL.c,1,40,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*354B,tcp,119.110.75.198:51948,163.70.141.61:5222,163.70.141.61:5222,119.110.75.198:51948,,established,,23h59m46s,LOKAL.c,13,1430,0,0,12,1309,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*354C,tcp,119.110.75.198:35642,54.73.36.8:443,54.73.36.8:443,119.110.75.198:35642,,established,,23h59m47s,INTL.c,13,2553,0,0,13,5929,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*354D,tcp,119.110.75.198:45428,34.249.103.110:443,34.249.103.110:443,119.110.75.198:45428,,established,,23h59m46s,INTL.c,13,1786,0,0,11,6504,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*354E,tcp,157.240.208.16:443,119.110.75.198:58322,119.110.75.198:58322,157.240.208.16:443,,last-ack,,9s,,14,1100,0,0,0,0,0,0,664,0,False,False,False,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3550,udp,119.110.75.198:50631,195.123.221.1:37139,195.123.221.1:37139,119.110.75.198:50631,,,,2m59s,INTL.c,539,426083,0,0,382,82130,0,0,49304,31792,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3552,tcp,119.110.75.198:49164,64.233.170.188:5228,64.233.170.188:5228,119.110.75.198:49164,,established,,23h59m45s,LOKAL.c,8,1335,0,0,9,1366,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3553,tcp,119.110.75.198:50464,104.21.28.80:443,104.21.28.80:443,119.110.75.198:50464,,established,,23h59m46s,INTL.c,12,1468,0,0,10,6388,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3556,tcp,182.23.50.233:443,119.110.75.198:64870,119.110.75.198:64870,182.23.50.233:443,,established,,23h59m45s,LOKAL.c,2,593,0,0,2,1040,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3558,udp,119.110.75.198:34920,163.70.153.21:443,163.70.153.21:443,119.110.75.198:34920,,,,2m59s,LOKAL.c,62,50647,0,0,48,12466,0,0,6688,8568,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3559,tcp,119.110.75.198:52224,163.70.141.61:443,163.70.141.61:443,119.110.75.198:52224,,established,,23h59m48s,LOKAL.c,19,2006,0,0,18,1771,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*355B,tcp,119.110.75.198:39584,47.254.137.167:443,47.254.137.167:443,119.110.75.198:39584,,established,,23h59m46s,INTL.c,12,2736,0,0,11,5001,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*355E,tcp,119.110.75.198:34810,74.125.200.139:443,74.125.200.139:443,119.110.75.198:34810,,established,,23h59m46s,LOKAL.c,7,1569,0,0,7,1738,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
*3562,tcp,157.240.208.16:443,119.110.75.198:58324,119.110.75.198:58324,157.240.208.16:443,,last-ack,,9s,,14,1100,0,0,0,0,0,0,664,0,False,False,False,True,False,False,False,False,,,,2023-11-20 09:08:38 WIB
