protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark
udp,119.110.75.198,65383,148.251.237.81,39871,,INTL.c
tcp,119.110.75.198,38366,103.143.2.221,1197,established,LOKAL.c
tcp,175.103.43.90,50590,119.110.66.86,899,established,
icmp,175.103.43.90,,119.110.75.198,,,
tcp,157.240.13.32,443,119.110.75.198,33022,established,
tcp,119.110.75.198,56140,210.210.145.91,80,established,LOKAL.c
tcp,119.110.75.198,50795,172.67.170.105,443,established,INTL.c
tcp,163.70.141.34,443,119.110.75.198,37632,established,
tcp,119.110.75.198,39578,47.254.137.167,443,established,INTL.c
tcp,119.110.75.198,46824,206.84.112.16,443,established,LOKAL.c
tcp,119.110.75.198,50767,74.125.68.94,443,established,LOKAL.c
tcp,119.110.75.198,51948,163.70.141.61,5222,established,LOKAL.c
tcp,119.110.75.198,35642,54.73.36.8,443,established,INTL.c
tcp,119.110.75.198,45428,34.249.103.110,443,established,INTL.c
tcp,157.240.208.16,443,119.110.75.198,58322,last-ack,
udp,119.110.75.198,50631,195.123.221.1,37139,,INTL.c
tcp,119.110.75.198,49164,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,50464,104.21.28.80,443,established,INTL.c
tcp,182.23.50.233,443,119.110.75.198,64870,established,LOKAL.c
udp,119.110.75.198,34920,163.70.153.21,443,,LOKAL.c
tcp,119.110.75.198,52224,163.70.141.61,443,established,LOKAL.c
tcp,119.110.75.198,39584,47.254.137.167,443,established,INTL.c
tcp,119.110.75.198,34810,74.125.200.139,443,established,LOKAL.c
tcp,157.240.208.16,443,119.110.75.198,58324,last-ack,
tcp,119.110.75.198,50797,172.67.170.105,443,established,INTL.c
tcp,103.143.2.221,1196,119.110.75.198,46626,established,LOKAL.c
tcp,104.123.71.163,443,119.110.75.198,34554,established,INTL.c
tcp,185.244.24.41,8443,119.110.75.198,63996,established,INTL.c
tcp,103.10.124.124,27031,119.110.75.198,56067,established,INTL.c
tcp,119.110.75.198,39592,47.254.137.167,443,established,INTL.c
tcp,119.110.75.198,50467,13.107.42.22,443,time-wait,LOKAL.c
tcp,119.110.75.198,56030,182.23.50.233,443,established,LOKAL.c
tcp,119.110.75.198,56144,182.23.50.233,443,established,LOKAL.c
tcp,119.110.75.198,50466,104.21.28.80,443,established,INTL.c
tcp,119.110.75.198,56039,162.159.128.235,443,established,LOKAL.c
udp,119.110.75.198,46284,156.59.192.177,443,,LOKAL.c
tcp,119.110.75.198,56142,192.229.232.240,80,established,INTL.c
tcp,119.110.75.198,56045,162.159.128.235,443,established,LOKAL.c
tcp,119.110.75.198,56141,203.161.21.8,80,time-wait,INTL.c
tcp,119.110.75.198,56143,182.23.50.233,443,established,LOKAL.c
tcp,178.254.26.126,443,119.110.75.198,49163,established,INTL.c
tcp,119.110.75.198,50343,163.70.153.42,443,established,LOKAL.c
tcp,119.110.75.198,56147,74.125.130.94,443,established,LOKAL.c
tcp,119.110.75.198,50468,134.119.183.60,80,established,INTL.c
tcp,119.110.75.198,56139,210.210.145.91,80,established,LOKAL.c
tcp,119.110.75.198,50469,172.64.155.89,443,time-wait,LOKAL.c
tcp,119.110.75.198,36480,47.254.157.83,443,established,INTL.c
tcp,119.110.75.198,50799,172.67.170.105,443,established,INTL.c
tcp,20.198.119.84,443,119.110.75.198,56013,established,INTL.c
tcp,119.110.75.198,56145,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,56146,74.125.130.94,443,established,LOKAL.c
tcp,119.110.75.198,50416,104.21.28.80,443,established,INTL.c
tcp,119.110.75.198,50783,2.59.169.86,80,established,INTL.c
tcp,119.110.75.198,47906,151.101.198.73,443,established,INTL.c
tcp,182.23.50.233,443,119.110.75.198,54270,established,LOKAL.c
udp,119.110.75.198,46840,157.240.208.14,443,,LOKAL.c
tcp,182.23.50.233,443,119.110.75.198,57231,established,LOKAL.c
tcp,119.110.75.198,50433,104.21.28.80,443,established,INTL.c
tcp,119.110.75.198,55848,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,50471,104.21.28.80,443,established,INTL.c
tcp,119.110.75.198,50800,157.240.208.35,443,established,LOKAL.c
tcp,119.110.75.198,43356,35.213.190.132,443,established,LOKAL.c
tcp,119.110.75.198,50801,17.111.105.242,443,time-wait,INTL.c
tcp,119.110.75.198,50802,40.126.35.129,443,time-wait,LOKAL.c
tcp,119.110.75.198,54380,182.23.50.233,443,established,LOKAL.c
tcp,119.110.75.198,50472,193.17.41.243,993,time-wait,INTL.c
tcp,119.110.75.198,63995,51.77.90.246,8080,established,INTL.c
tcp,119.110.75.198,50803,66.22.22.80,443,established,INTL.c
tcp,119.110.75.198,50804,74.125.68.94,443,time-wait,LOKAL.c
tcp,119.110.75.198,50473,17.111.105.242,443,time-wait,INTL.c
tcp,210.210.145.80,80,119.110.75.198,56114,established,
icmp,119.110.75.197,,119.110.75.198,,,
tcp,119.110.75.198,48184,34.117.97.41,443,close,INTL.c
tcp,119.110.75.198,62111,182.23.50.233,443,established,LOKAL.c
udp,172.16.237.66,40656,255.255.255.255,10002,,
tcp,134.119.183.60,80,119.110.75.198,62409,established,INTL.c
tcp,119.110.75.198,41314,143.92.85.2,443,established,INTL.c
tcp,119.110.75.198,54381,182.23.50.233,443,established,LOKAL.c
icmp,122.144.3.5,,119.110.66.86,,,
tcp,119.110.75.198,48182,34.117.97.41,443,established,INTL.c
tcp,119.110.75.198,56118,20.189.173.7,443,established,INTL.c
udp,119.110.75.198,41024,122.144.2.2,53,,LOKAL.c
tcp,119.110.75.198,50418,104.21.28.80,443,established,INTL.c
icmp,119.110.66.86,,199.181.132.250,,,
icmp,119.110.66.86,,98.137.246.8,,,
tcp,119.110.75.198,50805,107.162.164.249,443,established,INTL.c
icmp,119.110.66.86,,103.28.54.16,,,
icmp,119.110.66.86,,119.110.66.97,,,
icmp,119.110.66.86,,8.8.8.8,,,
icmp,119.110.66.86,,122.144.1.1,,,
tcp,119.110.75.198,50474,40.126.35.86,443,time-wait,LOKAL.c
icmp,119.110.66.86,,175.103.33.174,,,
icmp,119.110.66.86,,216.58.221.78,,,
tcp,119.110.75.198,51810,157.240.208.60,443,established,LOKAL.c
tcp,119.110.75.198,50806,40.126.35.129,443,time-wait,LOKAL.c
udp,119.110.75.198,45687,122.144.2.2,53,,LOKAL.c
tcp,119.110.75.198,54250,182.23.50.233,443,established,LOKAL.c
udp,172.16.236.146,38509,255.255.255.255,10002,,
tcp,119.110.75.198,50475,17.111.105.242,443,time-wait,INTL.c
tcp,119.110.75.198,50443,104.21.28.80,443,established,INTL.c
udp,172.16.252.83,35072,255.255.255.255,10002,,
udp,172.16.236.59,52720,255.255.255.255,10002,,
tcp,119.110.75.198,57368,17.253.61.204,80,time-wait,INTL.c
udp,119.110.75.198,33100,34.111.101.25,443,,INTL.c
udp,172.16.236.51,44498,255.255.255.255,10002,,
tcp,119.110.75.198,50477,104.18.33.221,443,established,LOKAL.c
udp,192.241.230.57,34908,119.110.66.86,1434,,
udp,119.110.75.198,36117,23.215.35.99,443,,LOKAL.c
udp,119.110.75.198,40567,210.210.145.139,443,,LOKAL.c
tcp,119.110.75.198,50476,40.99.33.162,993,time-wait,INTL.c
tcp,119.110.75.198,50451,104.21.28.80,443,established,INTL.c
udp,119.110.75.198,45471,71.18.36.225,443,,LOKAL.c
tcp,119.110.75.198,50809,2.59.169.86,80,established,INTL.c
udp,119.110.75.198,46658,122.144.2.2,53,,LOKAL.c
udp,119.110.75.198,49155,35.186.203.63,443,,LOKAL.c
tcp,130.44.212.235,443,119.110.75.198,59004,established,INTL.c
tcp,119.110.75.198,46650,8.222.151.246,31006,established,INTL.c
udp,119.110.75.198,59448,23.215.35.68,443,,LOKAL.c
udp,172.16.236.195,53393,255.255.255.255,10002,,
tcp,119.110.75.198,50807,17.111.105.242,443,time-wait,INTL.c
tcp,119.110.75.198,50808,40.126.35.129,443,time-wait,LOKAL.c
tcp,119.110.75.198,53118,182.23.50.233,443,established,LOKAL.c
tcp,119.110.75.198,56046,162.159.133.233,443,established,LOKAL.c
tcp,119.110.75.198,43640,47.254.156.191,443,established,INTL.c
tcp,119.110.75.198,50478,40.126.35.86,443,time-wait,LOKAL.c
tcp,119.110.75.198,50789,157.240.208.35,443,established,LOKAL.c
tcp,119.110.75.198,50479,34.120.241.214,443,established,INTL.c
udp,172.16.237.163,5678,255.255.255.255,5678,,
udp,119.110.75.198,47019,34.107.238.235,443,,INTL.c
tcp,119.110.75.198,50810,157.240.208.35,443,established,LOKAL.c
udp,119.110.75.198,39449,122.144.2.2,53,,LOKAL.c
tcp,119.110.75.198,50774,157.240.208.35,443,close,LOKAL.c
udp,172.16.237.91,35722,255.255.255.255,10002,,
udp,172.16.236.27,38289,255.255.255.255,10002,,
icmp,47.100.198.170,,119.110.75.198,,,
udp,172.16.236.82,42166,255.255.255.255,10002,,
udp,119.110.75.198,53258,122.144.2.2,53,,LOKAL.c
tcp,119.110.75.198,50454,104.21.28.80,443,established,INTL.c
udp,119.110.75.198,49757,103.134.189.139,443,,INTL.c
udp,119.110.75.198,55318,34.149.173.23,443,,INTL.c
tcp,2.59.169.86,80,119.110.75.198,49323,established,INTL.c
udp,103.234.253.135,5678,255.255.255.255,5678,,
udp,10.172.91.68,5678,255.255.255.255,5678,,
udp,119.110.75.198,59914,23.215.35.68,443,,LOKAL.c
tcp,8.222.137.37,23237,119.110.75.199,22105,syn-sent,
tcp,103.143.2.221,1194,119.110.75.198,55318,established,LOKAL.c
udp,119.110.75.198,41042,34.111.101.25,443,,INTL.c
