.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*84A9,tcp,203.123.56.246:49155,92.223.85.164:443,92.223.85.164:443,203.123.56.246:49155,,established,,23h59m50s,,4,163,0,0,4,196,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*84B4,gre,146.196.110.84,203.123.56.202,203.123.56.202,146.196.110.84,31522,,,26s,,54135,1515780,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*84BB,udp,175.103.36.115:13231,203.123.56.246:13231,203.123.56.246:13231,175.103.36.115:13231,,,,2m52s,,5,588,0,0,6,552,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*84F9,udp,203.123.56.246:58714,176.9.57.92:60684,176.9.57.92:60684,203.123.56.246:58714,,,,2m59s,,270,154474,0,0,233,62929,0,0,744,5096,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*854A,tcp,203.123.56.246:52424,157.240.208.3:443,157.240.208.3:443,203.123.56.246:52424,,established,,23h59m58s,,54,48504,0,0,52,3560,0,0,48496,4184,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*8593,udp,203.123.56.246:49732,122.144.2.204:443,122.144.2.204:443,203.123.56.246:49732,,,,2m56s,,97,19168,0,0,683,844795,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*860F,udp,203.123.56.246:56783,144.76.28.178:38317,144.76.28.178:38317,203.123.56.246:56783,,,,2m56s,,237,122657,0,0,198,50886,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*8635,udp,203.123.56.246:61437,157.240.208.62:3478,157.240.208.62:3478,203.123.56.246:61437,,,,2m59s,,334,62213,0,0,349,63666,0,0,32016,3272,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*864C,udp,203.123.56.246:54285,134.119.184.235:58617,134.119.184.235:58617,203.123.56.246:54285,,,,2m59s,,179,93631,0,0,152,34800,0,0,10440,12616,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*8677,udp,203.123.56.246:50387,93.190.141.101:37235,93.190.141.101:37235,203.123.56.246:50387,,,,2m59s,,258,186362,0,0,177,40561,0,0,84768,30888,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*86D8,tcp,203.123.56.246:49309,51.81.93.145:9001,51.81.93.145:9001,203.123.56.246:49309,,established,,23h59m56s,,3,1192,0,0,3,656,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*871D,tcp,203.123.56.246:57818,203.161.21.9:443,203.161.21.9:443,203.123.56.246:57818,,established,,23h59m29s,,12,1097,0,0,13,11289,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
*872E,tcp,203.123.56.246:52859,172.67.200.56:80,172.67.200.56:80,203.123.56.246:52859,,established,,23h59m35s,,16,1720,0,0,16,6301,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-21 09:24:06 WIB
