session,protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
2023-11-17_16-26-40,tcp,10.0.0.4,4075,175.103.43.90,57307,OUT.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-17_16-26-40,icmp,10.0.0.4,0,202.58.182.241,0,OUT.bound,,bcs.binus.ac.id,,ID,AS24526 bina nusantara university,,,
2023-11-17_16-26-40,icmp,10.0.0.4,0,175.103.43.90,0,OUT.bound,,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-17_16-26-40,udp,112.111.41.105,54276,10.0.0.4,8610,IN.bound,,,,CN,AS4837 china unicom china169 backbone,,,
