name,data
a-us-west.rfihub.com.akadns.net,198.8.71.130
pug-sg4c.pubmnet.com,67.199.150.86
mwzeom.zeotap.com,104.22.25.87
mwzeom.zeotap.com,172.67.13.182
mwzeom.zeotap.com,104.22.24.87
idsync.reson8.com.cdn.cloudflare.net,104.18.21.134
idsync.reson8.com.cdn.cloudflare.net,104.18.20.134
pixel.rubiconproject.net.akadns.net,69.173.158.64
rtb-csync-apac1.smartadserver.com,23.106.127.169
rtb-csync-apac1.smartadserver.com,23.106.127.56
rtb-csync-apac1.smartadserver.com,23.106.127.57
rtb-csync-apac1.smartadserver.com,23.106.127.170
rtbc-ae1.doubleverify.com,34.149.43.113
id5-sync.com,162.19.138.83
id5-sync.com,162.19.138.120
id5-sync.com,162.19.138.82
id5-sync.com,162.19.138.118
id5-sync.com,162.19.138.119
id5-sync.com,141.95.98.65
id5-sync.com,162.19.138.117
id5-sync.com,162.19.138.116
id5-sync.com,141.95.98.64
id5-sync.com,141.95.33.120
fp1.ads.stickyadstv.com.akadns.net,139.99.123.105
fp1.ads.stickyadstv.com.akadns.net,139.99.123.238
fp1.ads.stickyadstv.com.akadns.net,139.99.123.195
fp1.ads.stickyadstv.com.akadns.net,139.99.123.205
fp1.ads.stickyadstv.com.akadns.net,139.99.123.108
fp1.ads.stickyadstv.com.akadns.net,139.99.123.206
fp1.ads.stickyadstv.com.akadns.net,139.99.122.53
fp1.ads.stickyadstv.com.akadns.net,139.99.120.118
sjc-direct-bgp.contextweb.com,74.214.196.131
ssbsync-apac1.smartadserver.com,23.106.127.53
ssbsync-apac1.smartadserver.com,23.106.127.164
ssbsync-apac1.smartadserver.com,23.106.127.165
ssbsync-apac1.smartadserver.com,23.106.127.39
ssbsync-apac1.smartadserver.com,23.106.127.52
ssbsync-apac1.smartadserver.com,23.106.127.38
connect-metrics-collector.s-onetag.com,99.83.181.31
connect-metrics-collector.s-onetag.com,75.2.13.80
ssum-sec.casalemedia.com,104.18.36.155
ssum-sec.casalemedia.com,172.64.151.101
ids.ad.gt.cdn.cloudflare.net,172.67.23.234
ids.ad.gt.cdn.cloudflare.net,104.22.5.69
ids.ad.gt.cdn.cloudflare.net,104.22.4.69
lb.eu-1-id5-sync.com,162.19.138.119
lb.eu-1-id5-sync.com,141.95.98.64
