protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,175.103.43.90,57953,10.0.0.4,7502,established,,,IN.bound
udp,10.0.0.4,4500,20.205.36.71,4500,,,,OUT.bound
tcp,175.103.43.90,57952,10.0.0.4,7502,time-wait,,,IN.bound
tcp,10.0.0.4,179,20.205.36.71,34788,established,,,OUT.bound
udp,192.168.55.2,5678,255.255.255.255,5678,,,,broadcast
icmp,3.14.5.86,0,10.0.0.4,0,,,,IN.bound
icmp,3.129.206.212,0,10.0.0.4,0,,,,IN.bound
udp,10.0.0.4,1701,20.205.36.71,1701,,,,OUT.bound
tcp,10.0.0.4,4075,175.103.43.90,57452,established,,,OUT.bound
