session,protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
2023-11-16_13-40-38,tcp,175.103.43.90,57953,10.0.0.4,7502,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-16_13-40-38,udp,10.0.0.4,4500,20.205.36.71,4500,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_13-40-38,tcp,175.103.43.90,57952,10.0.0.4,7502,IN.bound,time-wait,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-16_13-40-38,tcp,10.0.0.4,179,20.205.36.71,34788,OUT.bound,established,,,HK,AS8075 microsoft corporation,,,
2023-11-16_13-40-38,udp,192.168.55.2,5678,255.255.255.255,5678,broadcast,,,,,,,,
2023-11-16_13-40-38,icmp,3.14.5.86,0,10.0.0.4,0,IN.bound,,,,US,AS16509 amazon.com inc,,,
2023-11-16_13-40-38,icmp,3.129.206.212,0,10.0.0.4,0,IN.bound,,,,US,AS16509 amazon.com inc,,,
2023-11-16_13-40-38,udp,10.0.0.4,1701,20.205.36.71,1701,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_13-40-38,tcp,10.0.0.4,4075,175.103.43.90,57452,OUT.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
