session,protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
2023-11-21_09-23-52,tcp,203.123.56.246,43834,163.70.153.34,443,OUT.bound,established,,,FR,ASNone ,,,
2023-11-21_09-23-52,tcp,175.103.43.90,51221,146.196.110.84,899,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-21_09-23-52,tcp,203.123.56.246,49174,135.148.150.100,443,OUT.bound,established,,,US,AS16276 ovh sas,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-20T20:30:48.610000
2023-11-21_09-23-52,tcp,203.123.56.246,60436,52.220.25.133,443,OUT.bound,established,,,SG,AS16509 amazon.com inc,,,
2023-11-21_09-23-52,tcp,203.123.56.246,58854,172.253.118.188,5228,OUT.bound,established,,,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000
2023-11-21_09-23-52,tcp,203.123.56.246,52294,134.119.183.59,80,OUT.bound,established,,,FR,AS29066 host europe gmbh,,,
2023-11-21_09-23-52,tcp,203.123.56.246,54641,134.119.183.60,80,OUT.bound,established,,,FR,AS29066 host europe gmbh,,,
2023-11-21_09-23-52,tcp,185.224.128.184,11585,203.123.56.247,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T23:00:11.182000
2023-11-21_09-23-52,tcp,203.123.56.246,53499,2.59.169.86,80,OUT.bound,established,,,MD,ASNone ,,,
2023-11-21_09-23-52,tcp,192.168.120.253,51064,45.121.219.179,443,OUT.bound,established,,,ID,AS131702 moratelindo internet exchange,,,
2023-11-21_09-23-52,tcp,203.123.56.246,53015,134.119.183.60,80,OUT.bound,established,,,FR,AS29066 host europe gmbh,,,
