session,protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
2023-11-30_16-23-00,tcp,192.168.2.99,55364,172.217.194.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.14,41168,34.149.173.23,443,OUT.bound,https,established,,INTL.c,US,AS15169 google llc,,,,
2023-11-30_16-23-00,tcp,185.224.128.184,739,43.247.13.66,80,IN.bound,,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T09:11:58.881000,
2023-11-30_16-23-00,tcp,192.168.2.99,42012,157.240.215.61,443,OUT.bound,https,established,,LOKAL.c,KR,AS32934 facebook  inc.,,,,
2023-11-30_16-23-00,tcp,192.168.1.21,51762,8.222.155.251,443,OUT.bound,https,established,,INTL.c,SG,ASNone ,,,,
2023-11-30_16-23-00,tcp,192.168.1.15,48376,156.59.239.1,8888,OUT.bound,ddi-tcp-1,established,,INTL.c,SG,ASNone ,,,,
2023-11-30_16-23-00,tcp,192.168.1.97,36012,52.220.160.103,443,OUT.bound,https,established,,INTL.c,SG,AS16509 amazon.com inc,,,,Cloud Provider IP range
2023-11-30_16-23-00,tcp,192.168.1.10,34054,52.204.104.5,443,OUT.bound,https,established,,INTL.c,US,AS14618 amazon.com  inc.,,,,Cloud Provider IP range
2023-11-30_16-23-00,tcp,192.168.1.21,45238,8.219.182.3,80,OUT.bound,http,established,,INTL.c,SG,AS45102 alibaba (us) technology co.  ltd.,,,,
2023-11-30_16-23-00,tcp,192.168.1.38,49730,163.70.153.60,443,OUT.bound,https,established,,LOKAL.c,FR,ASNone ,,,,
2023-11-30_16-23-00,udp,192.168.1.189,44909,157.240.218.63,443,OUT.bound,https,,,LOKAL.c,SG,AS32934 facebook  inc.,,,,
2023-11-30_16-23-00,tcp,192.168.1.158,38206,142.251.10.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,firewall conns,Proto NATed Address  - 192.5.8 Â 1.4m -  is the most popular address on the internet for those tryin,2022-10-03T00:03:36.708000,
2023-11-30_16-23-00,tcp,192.168.1.229,45540,74.125.130.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.2.99,38466,142.251.10.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,firewall conns,Proto NATed Address  - 192.5.8 Â 1.4m -  is the most popular address on the internet for those tryin,2022-10-03T00:03:36.708000,
2023-11-30_16-23-00,tcp,192.168.2.99,38850,142.251.175.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,,,,
2023-11-30_16-23-00,tcp,192.168.1.182,41020,172.217.194.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.44,44191,74.125.68.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,pc connections,pulled from router,2022-05-20T00:01:19.453000,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.103,47168,74.125.68.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,pc connections,pulled from router,2022-05-20T00:01:19.453000,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.2.99,40930,47.241.218.164,5222,OUT.bound,xmpp-client,established,,INTL.c,SG,AS45102 alibaba (us) technology co.  ltd.,,,,
2023-11-30_16-23-00,tcp,192.168.1.120,51304,77.74.181.34,443,OUT.bound,https,established,,INTL.c,RU,AS200107 kaspersky lab switzerland gmbh,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,
2023-11-30_16-23-00,tcp,192.168.1.225,42979,74.125.24.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,,,,,,
2023-11-30_16-23-00,tcp,192.168.1.184,44538,172.253.118.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,
2023-11-30_16-23-00,tcp,192.168.2.99,38340,142.251.10.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,firewall conns,Proto NATed Address  - 192.5.8 Â 1.4m -  is the most popular address on the internet for those tryin,2022-10-03T00:03:36.708000,
2023-11-30_16-23-00,tcp,192.168.1.114,51489,8.8.4.4,443,OUT.bound,https,close-wait,,LOKAL.c,,,,,,
2023-11-30_16-23-00,tcp,185.224.128.184,8545,43.247.13.70,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T09:11:58.881000,
2023-11-30_16-23-00,tcp,192.168.1.103,53468,31.13.95.34,443,OUT.bound,https,established,,LOKAL.c,ID,AS32934 facebook  inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29T20:30:49.916000,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.6,40662,142.251.12.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,wifi logs to check,Here is the full text of the key event in the IBSS/ESS (3) system  which has been disabled since its,2022-11-26T03:02:13.742000,
2023-11-30_16-23-00,tcp,192.168.1.63,48346,74.125.68.105,80,OUT.bound,http,established,,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.135,49072,184.25.236.26,443,OUT.bound,https,established,,LOKAL.c,ID,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.193,41322,142.250.141.188,443,OUT.bound,https,established,,LOKAL.c,US,AS15169 google llc,Blackshades    Remote attacks   Malicious Google Search   DNS Requests,Botnet Command and Control  nCobalt Strike nMisc Attack nHidden users nTargets: network  communicati,2023-11-06T03:00:36.709000,
2023-11-30_16-23-00,tcp,192.168.1.170,47694,157.240.208.34,443,OUT.bound,https,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,,
2023-11-30_16-23-00,tcp,192.168.1.10,42992,172.253.118.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,router conns,Proto NATed Address  - 192.5.8  Â 1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,
2023-11-30_16-23-00,tcp,192.168.2.99,47970,142.251.12.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,wifi logs to check,Here is the full text of the key event in the IBSS/ESS (3) system  which has been disabled since its,2022-11-26T03:02:13.742000,
2023-11-30_16-23-00,tcp,185.224.128.184,29475,43.247.13.66,80,IN.bound,,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T09:11:58.881000,
2023-11-30_16-23-00,tcp,192.168.1.148,33758,142.251.175.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,,,,
2023-11-30_16-23-00,tcp,192.168.1.126,52244,18.141.91.116,443,OUT.bound,https,established,,INTL.c,SG,AS16509 amazon.com inc,,,,Cloud Provider IP range
2023-11-30_16-23-00,tcp,192.168.1.21,60178,142.251.10.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,firewall conns,Proto NATed Address  - 192.5.8 Â 1.4m -  is the most popular address on the internet for those tryin,2022-10-03T00:03:36.708000,
2023-11-30_16-23-00,tcp,185.224.128.184,26861,43.247.13.64,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T09:11:58.881000,
2023-11-30_16-23-00,tcp,192.168.1.110,52594,199.103.24.6,443,OUT.bound,https,established,,LOKAL.c,US,AS396986 bytedance inc.,,,,
2023-11-30_16-23-00,tcp,192.168.1.151,40036,184.25.236.58,443,OUT.bound,https,established,,LOKAL.c,ID,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.44,46763,74.125.130.188,5228,OUT.bound,hpvroom,established,,LOKAL.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_16-23-00,tcp,192.168.1.135,58448,157.240.208.16,443,OUT.bound,https,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,,
