.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*E528,icmp,10.0.0.4,202.58.182.241,202.58.182.241,10.0.0.4,,,,8s,,11,616,0,0,11,616,0,0,448,448,False,True,False,True,False,False,False,False,0,8,6154,2023-11-17 16:23:12 WIB
*E529,icmp,10.0.0.4,175.103.43.90,175.103.43.90,10.0.0.4,,,,8s,,11,616,0,0,11,616,0,0,448,448,False,True,False,True,False,False,False,False,0,8,6154,2023-11-17 16:23:12 WIB
*E533,tcp,10.0.0.4:4075,175.103.43.90:57307,175.103.43.90:57307,10.0.0.4:4075,,established,,4m59s,,107,134228,0,0,111,10684,0,0,17072,8960,False,True,True,True,False,False,False,False,,,,2023-11-17 16:23:12 WIB
*E53A,udp,175.103.43.90:4500,10.0.0.4:4500,10.0.0.4:4500,175.103.43.90:4500,,,,2m59s,,2340,770544,0,0,2963,2554832,0,0,981760,994560,False,True,True,True,False,False,False,False,,,,2023-11-17 16:23:12 WIB
*E53B,udp,175.103.43.90:1701,10.0.0.4:1701,10.0.0.4:1701,175.103.43.90:1701,,,,2m59s,,2340,649203,0,0,2963,2401258,0,0,848664,893232,False,True,True,True,False,False,False,False,,,,2023-11-17 16:23:12 WIB
*E540,udp,192.168.55.150:68,255.255.255.255:67,255.255.255.255:67,192.168.55.150:68,,,,6s,,3,984,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-17 16:23:12 WIB
*E543,udp,192.168.55.150:137,255.255.255.255:137,255.255.255.255:137,192.168.55.150:137,,,,9s,,64,5208,0,0,0,0,0,0,624,0,False,False,False,True,False,False,False,False,,,,2023-11-17 16:23:12 WIB
*E545,icmp,192.168.55.150,203.190.242.211,203.190.242.211,10.0.0.4,,,,7s,,6,360,0,0,4,240,0,0,0,0,False,True,False,True,False,False,True,False,0,8,1,2023-11-17 16:23:12 WIB
*E54A,tcp,192.168.55.150:60859,184.27.122.27:443,184.27.122.27:443,10.0.0.4:60859,,established,,23h59m54s,,18,5446,0,0,20,5026,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-17 16:23:12 WIB
*E54B,tcp,192.168.55.150:60861,203.190.242.211:443,203.190.242.211:443,10.0.0.4:60861,,time-wait,,1s,,4,172,0,0,3,132,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-17 16:23:12 WIB
