name,data,.id,type,static,ttl,timestamp
kurnia.id,202.148.6.185,*1,A,True,1d,2023-11-21 13:35:04 WIB
www.kurnia.id,202.148.6.185,*3,A,True,1d,2023-11-21 13:35:04 WIB
,a.root-servers.net,*ED0F7,NS,False,14m58s,2023-11-21 13:35:04 WIB
,l.root-servers.net,*ED0F8,NS,False,14m58s,2023-11-21 13:35:04 WIB
,g.root-servers.net,*ED0F9,NS,False,14m58s,2023-11-21 13:35:04 WIB
,j.root-servers.net,*ED0FA,NS,False,14m58s,2023-11-21 13:35:04 WIB
,f.root-servers.net,*ED0FB,NS,False,14m58s,2023-11-21 13:35:04 WIB
,b.root-servers.net,*ED0FC,NS,False,14m58s,2023-11-21 13:35:04 WIB
,d.root-servers.net,*ED0FD,NS,False,14m58s,2023-11-21 13:35:04 WIB
,h.root-servers.net,*ED0FE,NS,False,14m58s,2023-11-21 13:35:04 WIB
,c.root-servers.net,*ED0FF,NS,False,14m58s,2023-11-21 13:35:04 WIB
,e.root-servers.net,*ED100,NS,False,14m58s,2023-11-21 13:35:04 WIB
,m.root-servers.net,*ED101,NS,False,14m58s,2023-11-21 13:35:04 WIB
,k.root-servers.net,*ED102,NS,False,14m58s,2023-11-21 13:35:04 WIB
,i.root-servers.net,*ED103,NS,False,14m58s,2023-11-21 13:35:04 WIB
a.root-servers.net,198.41.0.4,*ED104,A,False,14m58s,2023-11-21 13:35:04 WIB
caserne.ch,84.16.66.164,*ED112,A,False,6m9s,2023-11-21 13:35:04 WIB
carsero.com,23.227.38.72,*ED13F,A,False,6m42s,2023-11-21 13:35:04 WIB
prinssen.net,83.217.71.219,*ED18F,A,False,6m43s,2023-11-21 13:35:04 WIB
mailaccaunt1.co.cc,175.126.123.219,*ED1D3,A,False,8m46s,2023-11-21 13:35:04 WIB
fcr.com.br,209.133.201.74,*ED1D4,A,False,11m13s,2023-11-21 13:35:04 WIB
forestcompany.ro,45.86.220.151,*ED1E0,A,False,12m24s,2023-11-21 13:35:04 WIB
strtbiz.site,195.133.45.237,*ED20B,A,False,14m32s,2023-11-21 13:35:04 WIB
myphotos.xyz,3.64.163.50,*ED20C,A,False,0s,2023-11-21 13:35:04 WIB
feelingmoney.com,198.185.159.144,*ED211,A,False,13s,2023-11-21 13:35:04 WIB
feelingmoney.com,198.49.23.144,*ED212,A,False,13s,2023-11-21 13:35:04 WIB
feelingmoney.com,198.185.159.145,*ED213,A,False,13s,2023-11-21 13:35:04 WIB
feelingmoney.com,198.49.23.145,*ED214,A,False,13s,2023-11-21 13:35:04 WIB
dartspeak.xyz,139.162.212.131,*ED23D,A,False,1m54s,2023-11-21 13:35:04 WIB
smartech.pe,50.31.174.86,*ED265,A,False,3m53s,2023-11-21 13:35:04 WIB
senourth.com,107.178.223.183,*ED2A8,A,False,3m36s,2023-11-21 13:35:04 WIB
senourth.com,104.155.138.21,*ED2A9,A,False,3m36s,2023-11-21 13:35:04 WIB
google.com,ns1.google.com,*ED328,NS,False,2s,2023-11-21 13:35:04 WIB
google.com,ns2.google.com,*ED329,NS,False,2s,2023-11-21 13:35:04 WIB
google.com,ns4.google.com,*ED32A,NS,False,2s,2023-11-21 13:35:04 WIB
google.com,ns3.google.com,*ED32B,NS,False,2s,2023-11-21 13:35:04 WIB
ns1.google.com,216.239.32.10,*ED32C,A,False,2s,2023-11-21 13:35:04 WIB
ns2.google.com,216.239.34.10,*ED32D,A,False,2s,2023-11-21 13:35:04 WIB
ns4.google.com,216.239.38.10,*ED32E,A,False,2s,2023-11-21 13:35:04 WIB
ns3.google.com,216.239.36.10,*ED32F,A,False,2s,2023-11-21 13:35:04 WIB
wchampmuse.pw,199.59.243.225,*ED4A3,A,False,3m11s,2023-11-21 13:35:04 WIB
mobigifs.xyz,139.162.212.131,*ED57E,A,False,3m2s,2023-11-21 13:35:04 WIB
bgnt.net,154.216.89.133,*ED615,A,False,2m25s,2023-11-21 13:35:04 WIB
takebad1.com,127.0.0.1,*ED6A6,A,False,3s,2023-11-21 13:35:04 WIB
onlinegt.xyz,139.162.212.131,*ED6CD,A,False,32s,2023-11-21 13:35:04 WIB
1abcnews.xyz,139.162.212.131,*ED82C,A,False,5m26s,2023-11-21 13:35:04 WIB
gamesone.xyz,139.162.212.131,*ED864,A,False,6m22s,2023-11-21 13:35:04 WIB
bouwproductenonline.nl,91.184.0.52,*ED868,A,False,3m22s,2023-11-21 13:35:04 WIB
my1story.xyz,139.162.212.131,*ED87A,A,False,9m15s,2023-11-21 13:35:04 WIB
bestony.club,35.204.181.10,*ED87F,A,False,13s,2023-11-21 13:35:04 WIB
sspab.se,93.90.145.102,*ED883,A,False,9m42s,2023-11-21 13:35:04 WIB
7standby.com,127.0.0.1,*ED891,A,False,13s,2023-11-21 13:35:04 WIB
afrizion.com,172.67.183.77,*ED8BC,A,False,3m17s,2023-11-21 13:35:04 WIB
