indicator,asn,country_code2,name,description,modified,created
128.201.142.164,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.58,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.158,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.16,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.143.140,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.89,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.107,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.140.138,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.141.233,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.242,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.50,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.202,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.142.229,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.142.134,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
43.192.49.80,ASNone ,US,,,,
128.201.140.76,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.142.178,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.3,AS266631 enoki & ruiz ltda - me,BR,,,,
128.201.143.192,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
128.201.143.20,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2023,,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
128.201.143.239,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
128.201.143.187,AS266631 enoki & ruiz ltda - me,BR,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
103.112.9.111,AS137169 speedmaxx digital networks pvt ltd,IN,,,,
128.201.142.47,AS266631 enoki & ruiz ltda - me,BR,,,,
