name,data
p4p.arenabg.com,185.230.4.150
k.root-servers.net,193.0.14.129
a.root-servers.net,198.41.0.4
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,50.19.67.150
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.73.161.31
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.200.190.154
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.54.19.74
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.0.175.9
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.206.32.212
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.201.144.150
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.20.209.32
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.201.187.212
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.6.170.197
ens-06.bittorrent.com,208.72.192.166
ns2.utorrent.com,204.152.200.170
ns3.utorrent.com,204.152.200.186
ns1.utorrent.com,216.45.48.250
newproxyof.com,172.67.201.26
newproxyof.com,104.21.66.46
torrentfunk.com,104.31.16.122
torrentfunk.com,104.31.16.7
sitenable.co,172.67.211.46
sitenable.co,104.21.77.192
www1.thepiratebay3.to,104.21.43.60
www1.thepiratebay3.to,172.67.221.111
www.torrentfunk.com,104.31.16.122
www.torrentfunk.com,104.31.16.7
tracker.opentrackr.org,93.158.213.92
legittorrents.info,172.67.131.44
legittorrents.info,104.21.3.204
tracker.openbittorrent.com,193.189.100.189
tracker.openbittorrent.com,193.189.100.188
tracker.openbittorrent.com,193.189.100.190
tracker.openbittorrent.com,193.189.100.186
tracker.openbittorrent.com,193.189.100.187
ns0.1984.is,45.76.37.222
trontv.com,13.33.88.34
trontv.com,13.33.88.57
trontv.com,13.33.88.38
trontv.com,13.33.88.63
d19v6bb6c0fjm2.cloudfront.net,13.33.88.5
d19v6bb6c0fjm2.cloudfront.net,13.33.88.2
d19v6bb6c0fjm2.cloudfront.net,13.33.88.74
d19v6bb6c0fjm2.cloudfront.net,13.33.88.53
nyaa.si,185.178.208.182
thepiratebay.party,104.31.16.6
thepiratebay.party,104.31.16.123
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.20.7.43
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.44.225.32
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.22.143.178
tracker.coppersurfer.tk,103.224.182.246
62971.bodis.com,199.59.243.225
isohunt2.net,104.31.16.120
isohunt2.net,104.31.16.9
com-utorrent-prod-bench-bt-vpc-868333863.us-east-1.elb.amazonaws.com,52.202.175.91
limetorrents.info,104.31.16.125
limetorrents.info,104.31.16.4
