protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,54.255.247.221,13501.0,175.103.46.158,50302.0,established,,,IN.bound
tcp,175.103.43.90,58705.0,146.196.111.218,899.0,established,speedtest.c,,IN.bound
udp,175.103.46.158,5678.0,192.168.124.1,53.0,,speedtest.c,,local
udp,175.103.46.158,5678.0,192.168.1.1,53.0,,speedtest.c,,local
udp,175.103.46.158,5678.0,192.168.122.1,53.0,,speedtest.c,,local
udp,175.103.46.158,5678.0,192.168.121.1,53.0,,speedtest.c,,local
tcp,175.103.46.158,48466.0,103.107.199.6,443.0,established,,,OUT.bound
tcp,139.180.158.87,6035.0,175.103.46.158,54820.0,established,,,IN.bound
tcp,43.198.50.186,23002.0,175.103.46.158,40184.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,44654.0,101.32.248.90,800.0,established,speedtest.c,,OUT.bound
icmp,175.103.43.90,,175.103.46.158,,,speedtest.c,,IN.bound
tcp,54.255.247.221,13501.0,175.103.46.158,44712.0,established,,,IN.bound
tcp,175.103.46.158,44290.0,43.134.120.219,800.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,33130.0,43.128.74.37,800.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,46294.0,43.134.53.107,800.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50614.0,172.104.174.27,1194.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,60398.0,103.66.70.62,80.0,established,speedtest.c,,OUT.bound
tcp,54.255.247.221,13501.0,175.103.46.158,33502.0,established,,,IN.bound
tcp,43.128.74.37,799.0,175.103.46.158,43880.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,60397.0,103.66.70.62,80.0,established,speedtest.c,,OUT.bound
udp,175.103.46.158,54965.0,64.233.170.138,443.0,,speedtest.c,,OUT.bound
tcp,175.103.46.158,57494.0,172.64.165.30,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,57708.0,18.64.18.72,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,62443.0,23.223.114.56,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,60017.0,92.223.85.121,443.0,established,,,OUT.bound
tcp,175.103.46.158,60395.0,23.223.114.56,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,48316.0,43.133.45.194,800.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,40162.0,43.133.45.194,800.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,44290.0,13.228.104.163,8084.0,established,speedtest.c,,OUT.bound
tcp,43.128.74.37,799.0,175.103.46.158,44086.0,established,,,IN.bound
tcp,43.128.74.37,799.0,175.103.46.158,45430.0,established,speedtest.c,,IN.bound
udp,175.103.46.158,61789.0,74.125.68.102,443.0,,speedtest.c,,OUT.bound
tcp,43.133.45.194,799.0,175.103.46.158,39828.0,established,speedtest.c,,IN.bound
tcp,45.89.228.144,443.0,175.103.46.158,63794.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,52396.0,143.244.33.70,80.0,established,,,OUT.bound
tcp,103.107.198.22,80.0,175.103.46.158,50125.0,established,,,IN.bound
tcp,175.103.46.158,50142.0,36.86.63.182,443.0,syn-sent,,,OUT.bound
tcp,54.255.247.221,13501.0,175.103.46.158,36164.0,established,,,IN.bound
tcp,185.10.68.123,443.0,175.103.46.158,55469.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,44530.0,43.128.118.190,800.0,established,speedtest.c,,OUT.bound
tcp,43.133.45.194,799.0,175.103.46.158,52120.0,established,speedtest.c,,IN.bound
icmp,175.103.46.158,,175.103.46.157,,,speedtest.c,,local
tcp,175.103.46.158,49758.0,20.198.118.190,443.0,established,speedtest.c,,OUT.bound
tcp,43.128.74.37,799.0,175.103.46.158,44776.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,54390.0,157.240.15.61,443.0,established,speedtest.c,,OUT.bound
udp,175.103.46.158,53914.0,122.144.2.204,443.0,,speedtest.c,,OUT.bound
tcp,175.103.46.158,64491.0,20.198.119.143,443.0,established,speedtest.c,,OUT.bound
tcp,43.133.45.194,799.0,175.103.46.158,51558.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,64538.0,20.212.88.117,443.0,established,,,OUT.bound
tcp,175.103.46.158,52476.0,92.223.85.52,443.0,established,,,OUT.bound
tcp,43.134.53.107,799.0,175.103.46.158,46388.0,established,,,IN.bound
tcp,43.134.120.219,799.0,175.103.46.158,56422.0,established,,,IN.bound
tcp,175.103.46.158,49679.0,23.106.252.102,443.0,established,,,OUT.bound
tcp,175.103.46.158,58042.0,20.198.119.143,443.0,established,speedtest.c,,OUT.bound
tcp,43.134.53.107,799.0,175.103.46.158,46830.0,established,speedtest.c,,IN.bound
tcp,47.241.125.77,7002.0,175.103.46.158,45972.0,established,speedtest.c,,IN.bound
tcp,43.134.120.219,799.0,175.103.46.158,54956.0,established,speedtest.c,,IN.bound
tcp,43.134.53.107,799.0,175.103.46.158,45752.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,49098.0,157.240.199.61,443.0,established,speedtest.c,,OUT.bound
tcp,74.125.130.95,443.0,175.103.46.158,62708.0,last-ack,speedtest.c,,IN.bound
tcp,175.103.46.158,49885.0,20.198.119.143,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,64278.0,143.244.33.68,6568.0,established,,,OUT.bound
udp,175.103.46.158,50311.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound
tcp,43.128.118.190,799.0,175.103.46.158,37538.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,58742.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,64497.0,20.198.119.84,443.0,established,,,OUT.bound
tcp,175.103.46.158,50913.0,162.125.81.17,443.0,established,speedtest.c,,OUT.bound
tcp,43.134.120.219,799.0,175.103.46.158,55822.0,established,speedtest.c,,IN.bound
tcp,101.32.248.90,799.0,175.103.46.158,46444.0,established,,,IN.bound
tcp,175.103.46.158,64335.0,34.208.203.4,8883.0,established,speedtest.c,,OUT.bound
tcp,43.128.118.190,799.0,175.103.46.158,38340.0,established,,,IN.bound
tcp,43.134.120.219,799.0,175.103.46.158,55402.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,58157.0,209.58.183.231,6568.0,established,,,OUT.bound
tcp,43.128.118.190,799.0,175.103.46.158,37556.0,established,,,IN.bound
tcp,43.198.50.186,23005.0,175.103.46.158,43774.0,established,speedtest.c,,IN.bound
tcp,43.134.53.107,799.0,175.103.46.158,45674.0,established,speedtest.c,,IN.bound
tcp,43.133.45.194,799.0,175.103.46.158,51290.0,established,,,IN.bound
tcp,101.32.248.90,799.0,175.103.46.158,46010.0,established,,,IN.bound
tcp,43.128.74.37,799.0,175.103.46.158,45654.0,established,,,IN.bound
tcp,175.103.46.158,49224.0,74.125.200.95,443.0,established,,,OUT.bound
udp,175.103.46.158,56124.0,36.86.63.182,3544.0,,speedtest.c,,OUT.bound
tcp,175.103.46.158,58019.0,36.86.63.182,443.0,syn-sent,,,OUT.bound
tcp,74.125.130.95,443.0,175.103.46.158,51262.0,last-ack,speedtest.c,,IN.bound
tcp,175.103.46.158,62444.0,216.239.38.120,443.0,time-wait,speedtest.c,,OUT.bound
tcp,43.134.120.219,799.0,175.103.46.158,56946.0,established,,,IN.bound
tcp,20.212.31.164,443.0,175.103.46.158,52455.0,established,speedtest.c,,IN.bound
tcp,43.134.120.219,799.0,175.103.46.158,55100.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,48902.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound
udp,175.103.46.158,64928.0,36.86.63.182,3544.0,,speedtest.c,,OUT.bound
tcp,43.133.45.194,799.0,175.103.46.158,40092.0,established,speedtest.c,,IN.bound
udp,175.103.46.158,57475.0,74.125.130.113,443.0,,speedtest.c,,OUT.bound
tcp,175.103.46.158,64505.0,74.125.200.188,5228.0,established,,,OUT.bound
tcp,175.103.46.158,53662.0,34.143.146.137,5938.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,34130.0,157.240.199.61,443.0,established,speedtest.c,,OUT.bound
udp,172.217.194.95,443.0,175.103.46.158,60849.0,,speedtest.c,,IN.bound
tcp,74.125.130.95,443.0,175.103.46.158,51261.0,last-ack,speedtest.c,,IN.bound
tcp,74.125.130.95,443.0,175.103.46.158,51264.0,last-ack,speedtest.c,,IN.bound
tcp,103.66.70.62,80.0,175.103.46.158,62436.0,established,speedtest.c,,IN.bound
tcp,43.133.45.194,799.0,175.103.46.158,39788.0,established,,,IN.bound
tcp,175.103.46.158,53102.0,20.198.119.143,443.0,established,,,OUT.bound
tcp,43.128.74.37,799.0,175.103.46.158,44678.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,55926.0,141.95.99.59,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,63037.0,36.67.189.250,443.0,established,speedtest.c,,OUT.bound
tcp,101.32.248.90,799.0,175.103.46.158,47086.0,established,,,IN.bound
tcp,175.103.46.158,50337.0,118.98.113.145,80.0,syn-sent,,,OUT.bound
tcp,175.103.46.158,32986.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound
tcp,31.13.68.61,443.0,175.103.46.158,47776.0,established,speedtest.c,,IN.bound
udp,175.103.46.158,59499.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound
tcp,103.107.199.6,80.0,175.103.46.158,50269.0,established,,,IN.bound
tcp,175.103.46.158,48930.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,33560.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,56454.0,157.240.199.61,443.0,established,speedtest.c,,OUT.bound
udp,175.103.46.158,54552.0,36.86.63.182,3544.0,,speedtest.c,,OUT.bound
tcp,103.66.70.62,80.0,175.103.46.158,60394.0,established,speedtest.c,,IN.bound
tcp,175.103.46.158,60399.0,103.66.70.62,80.0,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,40120.0,43.133.45.194,799.0,established,speedtest.c,,OUT.bound
