Port Number,service
799,
41878,
46622,
443,https
39554,
41226,
36810,
43746,
39416,
899,
47612,
23008,
39392,
34074,
43970,
37868,
46894,
5222,xmpp-client
5678,rrac
48026,
41964,
39318,
48360,
41186,
41948,
42758,
7010,ups-onlinet
46942,
43758,
33340,
46144,
34752,
39422,
46610,
5228,hpvroom
36140,
23006,
41762,
46578,
5211,
4001,newoak
41232,
48618,
41660,
43662,
23015,
37384,
41838,
46844,
47962,
42822,
47140,
34932,
39238,
41076,
41566,
42088,
48522,
45742,
47698,
47374,
43764,
80,http
43604,
43838,
47294,
48698,
5104,
44473,
46854,
47471,
46834,
46902,
39528,
43756,
36194,
38532,
39548,
41690,
41972,
44212,
46918,
40654,
46830,
43590,
5060,sip
46702,
46772,
46724,
33590,
39512,
39570,
43836,
41884,
47590,
43740,
42858,
41678,
39474,
39428,
39616,
40769,
38506,
46251,
39462,
35888,
42026,
43673,
40636,
36495,
46220,
39024,
4024,tnp1-port
22,ssh
48714,
25,smtp
6568,canit-store
46458,
38964,
48296,
53,domain
46916,
39112,
800,mdbs-daemon
38918,
46400,
8883,secure-mqtt
36002,
42834,
46472,
39064,
34682,
23002,inovaport3
46500,
45116,
3544,teredo
8888,ddi-tcp-1
46338,
46264,
5938,
47148,
39060,
1194,openvpn
13501,
46344,
38898,
42806,
46360,
42824,
853,domain-s
10002,documentum
1123,murray
2000,cisco-sccp
1080,socks
8278,
514,shell
1813,radius-acct
1812,radius
