name,data,.id,type,static,ttl,timestamp
vpn.tarumanagara.com,202.6.211.33,*75B52C,A,True,1h,2023-11-21 14:12:37 WIB
apple.com,"""cerner-client-id=22dd1d8a-5e8b-4e1e-80ef-39bcdfd42798""",*75B52E,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""v=spf1 include:_spf.apple.com include:_spf-txn.apple.com ~all""",*75B52F,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""77a4a6de-da14-449c-83c4-85366e0f55f9""",*75B530,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""google-site-verification=zBSq1mG5ssu2If-C17UAz_MzSZDcx03MVxmeDwMNc5w""",*75B531,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""facebook-domain-verification=n6cqjfucq6plswmtfbwnbbeu1qiq3v""",*75B532,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJpZW4wYWVHaGF0aG9oNmhhaHZpZWphaTNlYXkwYWh2YWhjaGFocXVhZWxlZTBZdWw0cGhpZXRoMHNvNXZpZXllZWNvaDRpZThzaGVlcGllVDNwYWVjaGVpVjZqb2h3aWVwaG82In0K""",*75B533,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""atlassian-domain-verification=mLabq99iaT8kquJechF6l31FAYoNUe3WB7tLpLFUiUYVJCse9SKq83hOJzFkwqrh""",*75B534,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""adobe-idp-site-verification=6bd5e74c-a3a0-4781-b2e1-e95399b5e11c""",*75B535,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""ValidationTokenValue=77a4a6de-da14-449c-83c4-85366e0f55f9""",*75B536,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""cerner-client-id=ce3abf18-ee87-43b9-9927-9eb24b4bac4a""",*75B537,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""miro-verification=2494d255c4c50b1e521650a0659cbf3fa08b0072""",*75B538,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""webexdomainverification.8C462=b728ec3f-dfc9-42f9-92cb-9ba8853cbee8""",*75B539,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""google-site-verification=8M6XjQCzydT62jk8HY3VXPAG-nKDllTRV-JpA3-Ktyw""",*75B53A,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""apple-domain-verification=X5Jt76bn3Dnmgzjj""",*75B53B,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""cisco-ci-domain-verification=6f3bfb849796a518061f8e8c4356f687a138502d86db742791685059176547dd""",*75B53C,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJxdWFoMGVpamFhNGVlajh0aWVkYWlnaG9jZWljaGFlOGVUb3ppZTVmdTVhaFRoMldlaU00aWsyaHVxdThpZXBoaWVxdW9oc2hlaXBhZWdoOUthZWw3b2NoaWVuZ2llem9lc2g1In0K""",*75B53D,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""Dynatrace-site-verification=7d881a7c-c13f-4146-9d27-2731459e2509__iqls0105tagglcsaul0m16ibrf""",*75B53E,TXT,False,8s,2023-11-21 14:12:37 WIB
apple.com,"""google-site-verification=L5kkMdiFI8npvb6KlHui84fJaCw5G64DWhaDRIAT4_c""",*75B53F,TXT,False,8s,2023-11-21 14:12:37 WIB
sl,ns1.neoip.com,*76F585,NS,False,19s,2023-11-21 14:12:37 WIB
sl,ns2.neoip.com,*76F586,NS,False,19s,2023-11-21 14:12:37 WIB
sl,"""Generation Time: 1700552708""",*76F7F0,TXT,False,19s,2023-11-21 14:12:37 WIB
cisco.com,"""fastly-domain-delegation-w049tcm0w48ds-341317-20210209""",*7700CA,TXT,False,4s,2023-11-21 14:12:37 WIB
cisco.com,"""airtable-verification=c0b5bd3f3db736f775f0dbe4e103cdea""",*7700CB,TXT,False,4s,2023-11-21 14:12:37 WIB
cisco.com,"""google-site-verification=Vc0Pir22m1u9yw5HjXf6TYO6rlAI9EY8IVKUma-OqDY""",*7700CC,TXT,False,4s,2023-11-21 14:12:37 WIB
cisco.com,"""google-site-verification=9MlQU9MMQ1jHLMUkONKe6QzZ-ZIGRv0BCD1_rY1Zdmc""",*7700CD,TXT,False,4s,2023-11-21 14:12:37 WIB
cisco.com,"""identrust_validate=ZMG4IyVxNwmt3vKpPoFmxSuWW+4fMc/M4kCCnBaPUMYv""",*7700CE,TXT,False,4s,2023-11-21 14:12:37 WIB
cisco.com,"""facebook-domain-verification=1zoxo8z7t013gpruxmhc8dkerq47vh""",*7700CF,TXT,False,4s,2023-11-21 14:12:37 WIB
cisco.com,"""wiz-domain-verification=af241e6396696eedf1b361891435f6b21bdebb5621941d99279298c076b5bf5f""",*7700D0,TXT,False,4s,2023-11-21 14:12:37 WIB
