protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
udp,10.0.0.4,4500,20.205.36.71,4500,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
tcp,10.0.0.4,179,20.205.36.71,34788,OUT.bound,established,,,HK,AS8075 microsoft corporation,,,
udp,10.0.0.4,1701,20.205.36.71,1701,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
tcp,10.0.0.4,4075,175.103.43.90,57452,OUT.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
icmp,3.144.111.33,0,10.0.0.4,0,IN.bound,,,,US,AS16509 amazon.com inc,,,
udp,183.150.217.64,54817,10.0.0.4,8610,IN.bound,,,,CN,AS4134 chinanet,,,
icmp,18.227.134.92,0,10.0.0.4,0,IN.bound,,,,US,AS16509 amazon.com inc,,,
