protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow,service
icmp,175.103.43.90,,175.103.46.158,,,speedtest.c,,IN.bound,
udp,175.103.46.158,5678.0,192.168.121.1,53.0,,speedtest.c,,local,domain
tcp,175.103.43.90,53679.0,146.196.111.218,899.0,established,speedtest.c,,IN.bound,
tcp,43.134.53.107,799.0,175.103.46.158,39660.0,established,,,IN.bound,
tcp,43.133.45.194,799.0,175.103.46.158,42064.0,established,,,IN.bound,
tcp,175.103.46.158,57442.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,57204.0,157.240.217.60,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,37642.0,13.251.96.96,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,5678.0,192.168.124.1,53.0,,speedtest.c,,local,domain
udp,175.103.46.158,5678.0,192.168.1.1,53.0,,speedtest.c,,local,domain
udp,175.103.46.158,5678.0,192.168.122.1,53.0,,speedtest.c,,local,domain
tcp,43.134.120.219,799.0,175.103.46.158,47698.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,48630.0,66.90.98.108,80.0,established,speedtest.c,,OUT.bound,http
tcp,175.103.46.158,63122.0,47.246.159.253,80.0,established,speedtest.c,,OUT.bound,http
tcp,43.134.53.107,799.0,175.103.46.158,39644.0,established,speedtest.c,,IN.bound,
udp,175.103.46.158,49538.0,74.125.68.91,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,62445.0,36.67.189.250,443.0,established,speedtest.c,,OUT.bound,https
tcp,101.32.248.90,799.0,175.103.46.158,51212.0,established,,,IN.bound,
udp,175.103.46.158,57106.0,34.64.4.35,443.0,,speedtest.c,,OUT.bound,https
tcp,54.255.247.221,13501.0,175.103.46.158,56156.0,established,,,IN.bound,
udp,175.103.46.158,61126.0,34.64.4.35,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,51828.0,101.32.248.90,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
tcp,175.103.46.158,45742.0,43.133.45.194,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
tcp,43.133.45.194,799.0,175.103.46.158,46834.0,established,speedtest.c,,IN.bound,
tcp,43.128.74.37,799.0,175.103.46.158,43746.0,established,speedtest.c,,IN.bound,
tcp,101.32.248.90,799.0,175.103.46.158,50926.0,established,speedtest.c,,IN.bound,
tcp,43.133.45.194,799.0,175.103.46.158,46974.0,established,speedtest.c,,IN.bound,
tcp,43.134.120.219,799.0,175.103.46.158,47590.0,established,speedtest.c,,IN.bound,
tcp,43.128.74.37,799.0,175.103.46.158,42834.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,48618.0,43.133.45.194,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
udp,175.103.46.158,63004.0,31.13.95.63,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,57639.0,157.240.235.60,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,54689.0,172.104.174.27,1194.0,established,speedtest.c,,OUT.bound,openvpn
udp,175.103.46.158,64450.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound,https
icmp,175.103.46.158,,175.103.46.157,,,speedtest.c,,local,
tcp,43.133.45.194,799.0,175.103.46.158,46578.0,established,,,IN.bound,
tcp,175.103.46.158,59277.0,103.107.198.66,6568.0,established,,,OUT.bound,canit-store
tcp,101.32.248.90,799.0,175.103.46.158,51038.0,established,,,IN.bound,
tcp,175.103.46.158,49726.0,192.53.174.79,4001.0,established,speedtest.c,,OUT.bound,newoak
tcp,101.32.248.90,799.0,175.103.46.158,50804.0,time-wait,,,IN.bound,
tcp,43.128.74.37,799.0,175.103.46.158,43740.0,established,,,IN.bound,
tcp,101.32.248.90,799.0,175.103.46.158,50966.0,established,,,IN.bound,
tcp,175.103.46.158,46844.0,43.134.120.219,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
tcp,43.133.45.194,799.0,175.103.46.158,41972.0,established,speedtest.c,,IN.bound,
tcp,43.128.74.37,799.0,175.103.46.158,43764.0,established,,,IN.bound,
tcp,175.103.46.158,48698.0,43.134.53.107,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
tcp,43.128.74.37,799.0,175.103.46.158,43604.0,established,,,IN.bound,
tcp,175.103.46.158,59154.0,157.240.235.60,443.0,established,speedtest.c,,OUT.bound,https
tcp,43.133.45.194,799.0,175.103.46.158,46830.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,60326.0,43.128.74.37,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
tcp,43.133.45.194,799.0,175.103.46.158,42168.0,established,speedtest.c,,IN.bound,
