Port Number,service
5678,rrac
799,
37642,
48630,
13501,
45742,
48618,
46844,
48698,
80,http
4001,newoak
46500,
443,https
5222,xmpp-client
42124,
7010,ups-onlinet
48274,
36630,
23008,
34932,
47088,
26200,
48124,
23015,
23002,inovaport3
44104,
39601,
46184,
44262,
44212,
36228,
47114,
44108,
41914,
49052,
48766,
33590,
36876,
48248,
23006,
48134,
36408,
43210,shaperai
53,domain
899,
39660,
42064,
47698,
39644,
800,mdbs-daemon
46834,
43746,
46974,
47590,
42834,
1194,openvpn
46578,
6568,canit-store
43740,
41972,
43764,
43604,
46830,
42168,
46918,
42824,
46458,
39112,
39416,
46942,
43758,
46610,
39060,
42146,
41566,
39554,
5228,hpvroom
47148,
5938,
42806,
43898,
47032,
41948,
41762,
46622,
43876,
48044,
39616,
42026,
48026,
46772,
48180,
48184,
39512,
47962,
41226,
46854,
39422,
42160,
42068,
42048,
39528,
48204,
39318,
46702,
46902,
41678,
39570,
43838,
39392,
39064,
39548,
39474,
3544,teredo
43962,
22,ssh
3952,i3-sessionmgr
2000,cisco-sccp
44354,
10002,documentum
25,smtp
8883,secure-mqtt
8089,
46472,
1812,radius
8278,
