.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*C7,tcp,192.168.55.199:53422,172.217.194.155:443,172.217.194.155:443,10.0.0.4:53422,,established,,3m14s,OpenIXP,87,6179,0,0,136,163623,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*C8,tcp,192.168.55.199:53415,34.102.162.219:443,34.102.162.219:443,10.0.0.4:53415,,established,,3m37s,,918,590644,0,0,1997,1825406,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*C9,udp,20.205.36.71:1701,10.0.0.4:1701,10.0.0.4:1701,20.205.36.71:1701,,,,2m43s,,13370,977859,0,0,10620,477961,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-24 11:10:26 WIB
*CA,tcp,192.168.55.199:53463,34.110.181.92:443,34.110.181.92:443,10.0.0.4:53463,,established,,3m18s,,37,6849,0,0,34,32107,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*CB,icmp,172.105.21.17,10.0.0.4,10.0.0.4,172.105.21.17,,,,3s,,1,36,0,0,1,36,0,0,0,0,False,True,False,True,False,False,False,False,0,8,34819,2023-11-24 11:10:26 WIB
*CC,tcp,192.168.55.199:53465,34.110.181.92:443,34.110.181.92:443,10.0.0.4:53465,,established,,3m18s,,22,2811,0,0,18,15852,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*CD,tcp,192.168.55.199:53441,34.110.181.92:443,34.110.181.92:443,10.0.0.4:53441,,established,,3m15s,,90,5699,0,0,119,139702,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*CE,udp,20.205.36.71:4500,10.0.0.4:4500,10.0.0.4:4500,20.205.36.71:4500,,,,2m56s,,25145,2390740,0,0,18374,1599653,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-24 11:10:26 WIB
*CF,tcp,175.103.43.90:50322,10.0.0.4:7502,10.0.0.4:7502,175.103.43.90:50322,,time-wait,,7s,OpenIXP,5,249,0,0,4,179,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-24 11:10:26 WIB
*D0,tcp,192.168.55.199:53464,34.149.87.163:443,34.149.87.163:443,10.0.0.4:53464,,established,,3m32s,,4646,313736,0,0,11842,14865592,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*D1,tcp,192.168.55.199:53467,34.110.181.92:443,34.110.181.92:443,10.0.0.4:53467,,established,,3m18s,,23,2949,0,0,18,16351,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*D2,tcp,192.168.55.199:53455,34.160.119.165:443,34.160.119.165:443,10.0.0.4:53455,,established,,3m32s,OpenIXP,58,4112,0,0,53,48646,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
*D3,udp,158.69.5.205:11211,10.0.0.4:5060,10.0.0.4:5060,158.69.5.205:11211,,,sip,17m59s,,1,110,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-24 11:10:26 WIB
*D4,udp,146.88.240.17:56664,10.0.0.4:2123,10.0.0.4:2123,146.88.240.17:56664,,,,3s,,1,36,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-24 11:10:26 WIB
*D5,tcp,175.103.43.90:50323,10.0.0.4:7502,10.0.0.4:7502,175.103.43.90:50323,,established,,5m,OpenIXP,5,280,0,0,3,139,0,0,1672,0,False,True,True,True,False,False,False,False,,,,2023-11-24 11:10:26 WIB
*D6,tcp,192.168.55.199:53416,34.110.179.88:443,34.110.179.88:443,10.0.0.4:53416,,established,,3m13s,,28,7455,0,0,30,11060,0,0,0,0,False,True,True,True,False,False,True,False,,,,2023-11-24 11:10:26 WIB
