protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved
tcp,192.168.55.199,53422,172.217.194.155,443,established,OpenIXP,
tcp,192.168.55.199,53415,34.102.162.219,443,established,,
udp,20.205.36.71,1701,10.0.0.4,1701,,,
tcp,192.168.55.199,53463,34.110.181.92,443,established,,
icmp,172.105.21.17,,10.0.0.4,,,,
tcp,192.168.55.199,53465,34.110.181.92,443,established,,
tcp,192.168.55.199,53441,34.110.181.92,443,established,,
udp,20.205.36.71,4500,10.0.0.4,4500,,,
tcp,175.103.43.90,50322,10.0.0.4,7502,time-wait,OpenIXP,
tcp,192.168.55.199,53464,34.149.87.163,443,established,,
tcp,192.168.55.199,53467,34.110.181.92,443,established,,
tcp,192.168.55.199,53455,34.160.119.165,443,established,OpenIXP,
udp,158.69.5.205,11211,10.0.0.4,5060,,,
udp,146.88.240.17,56664,10.0.0.4,2123,,,
tcp,175.103.43.90,50323,10.0.0.4,7502,established,OpenIXP,
tcp,192.168.55.199,53416,34.110.179.88,443,established,,
