protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow,service
tcp,175.103.46.158,59277.0,103.107.198.66,6568.0,established,,,OUT.bound,canit-store
udp,175.103.46.158,5678.0,192.168.124.1,53.0,,speedtest.c,,local,domain
udp,175.103.46.158,5678.0,192.168.1.1,53.0,,speedtest.c,,local,domain
tcp,175.103.46.158,45742.0,43.133.45.194,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
tcp,175.103.46.158,49779.0,157.240.217.60,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,5678.0,192.168.121.1,53.0,,speedtest.c,,local,domain
tcp,175.103.46.158,61948.0,31.13.95.9,443.0,established,,,OUT.bound,https
udp,175.103.46.158,63051.0,157.240.7.26,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,58735.0,157.240.235.60,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,50159.0,36.89.220.201,80.0,established,speedtest.c,,OUT.bound,http
udp,175.103.46.158,50638.0,142.251.12.154,443.0,,speedtest.c,,OUT.bound,https
udp,175.103.46.158,53608.0,142.251.12.154,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.43.90,53679.0,146.196.111.218,899.0,established,speedtest.c,,IN.bound,
udp,175.103.46.158,49186.0,74.125.130.93,443.0,,speedtest.c,,OUT.bound,https
udp,175.103.46.158,62998.0,157.240.235.63,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,60326.0,43.128.74.37,800.0,established,speedtest.c,,OUT.bound,mdbs-daemon
tcp,175.103.46.158,65167.0,184.25.236.195,443.0,last-ack,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,50069.0,36.89.220.137,80.0,established,speedtest.c,,OUT.bound,http
tcp,101.32.248.90,799.0,175.103.46.158,50820.0,established,,,IN.bound,
tcp,31.13.68.60,443.0,175.103.46.158,63074.0,established,speedtest.c,,IN.bound,https
tcp,175.103.46.158,61080.0,74.125.200.95,443.0,established,speedtest.c,,OUT.bound,https
tcp,91.92.248.9,443.0,175.103.46.158,50622.0,established,speedtest.c,,IN.bound,https
tcp,101.32.248.90,799.0,175.103.46.158,50926.0,established,,,IN.bound,
tcp,175.103.46.158,63629.0,103.107.199.6,443.0,established,,,OUT.bound,https
