Port Number,service
5678,rrac
45742,
799,
443,https
41226,
39416,
48618,
43662,
46844,
48698,
34074,
13501,
23015,
80,http
38506,
41690,
40122,
23002,inovaport3
46500,
41660,
5222,xmpp-client
7010,ups-onlinet
48274,
4001,newoak
43970,
23006,
34932,
40713,
47412,
27740,
13983,
2036,e-dpnet
18908,
46519,
40439,
41838,
47374,
44176,
44196,
46758,
44212,
40636,
43997,
43226,
37951,
33071,
6568,canit-store
53,domain
800,mdbs-daemon
899,
43758,
46400,
41948,
43764,
46578,
38964,
39528,
2000,cisco-sccp
39318,
43590,
46942,
46610,
46918,
46458,
47698,
46916,
8883,secure-mqtt
39064,
46338,
39548,
43898,
43746,
47590,
5228,hpvroom
46622,
46854,
47148,
39422,
39060,
42806,
46360,
42824,
46834,
46974,
42834,
42064,
41762,
48044,
5938,
47962,
46702,
46976,
1194,openvpn
39024,
853,domain-s
39570,
39616,
48026,
46344,
39112,
46772,
42026,
43838,
3544,teredo
39392,
39554,
39660,
46902,
41566,
43604,
46830,
41972,
39644,
39512,
39474,
46986,
42048,
42068,
43740,
41678,
46472,
43876,
10002,documentum
22,ssh
1433,ms-sql-s
8090,opsmessaging
514,shell
8278,
1813,radius-acct
1812,radius
