protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
udp,0.0.0.0,20561,255.255.255.255,20561,broadcast,,,,,,,,
udp,192.168.1.15,4500,103.146.63.122,4500,OUT.bound,,,LOKAL.c,ID,AS139457 pt semut data indonesia,,,
tcp,192.168.1.15,63111,209.58.183.231,443,OUT.bound,established,,INTL.c,SG,AS59253 leaseweb asia pacific pte. ltd.,,,
udp,192.168.1.15,47280,122.144.2.204,443,OUT.bound,,,LOKAL.c,ID,AS38320 pt maxindo mitra solusi,,,
icmp,175.103.43.90,,43.247.15.4,,IN.bound,,,,ID,AS38320 pt maxindo mitra solusi,,,
tcp,175.103.43.90,50164,43.247.15.4,8081,IN.bound,established,,LOKAL.c,ID,AS38320 pt maxindo mitra solusi,,,
udp,192.168.1.15,38703,167.179.67.29,21116,OUT.bound,,,INTL.c,JP,AS20473 the constant company  llc,,,
tcp,175.103.43.90,50088,43.247.15.4,899,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
tcp,175.103.43.90,55820,43.247.15.4,899,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
udp,192.168.1.15,43253,124.70.190.43,21116,OUT.bound,,,INTL.c,CN,AS55990 huawei cloud service data center,,,
udp,103.146.63.122,4500,43.247.15.4,4500,IN.bound,,,,ID,AS139457 pt semut data indonesia,,,
tcp,192.168.1.15,56720,122.144.2.205,443,OUT.bound,established,,LOKAL.c,ID,AS38320 pt maxindo mitra solusi,,,
tcp,192.168.1.15,47320,47.245.119.50,443,OUT.bound,fin-wait,,INTL.c,SG,AS45102 alibaba (us) technology co.  ltd.,,,
tcp,192.168.1.15,56964,34.87.93.12,80,OUT.bound,time-wait,,LOKAL.c,SG,AS396982 google,,,
udp,192.168.1.15,42151,122.144.1.1,53,OUT.bound,,,LOKAL.c,ID,AS38320 pt maxindo mitra solusi,,,
tcp,192.168.1.15,50808,34.141.79.142,443,OUT.bound,established,,LOKAL.c,DE,AS396982 google,,,
udp,10.172.41.51,40171,255.255.255.255,10002,broadcast,,,,,,,,
udp,192.168.1.15,53925,122.144.1.1,53,OUT.bound,,,LOKAL.c,ID,AS38320 pt maxindo mitra solusi,,,
udp,10.172.40.2,5678,255.255.255.255,5678,broadcast,,,,,,,,
tcp,192.168.1.15,59706,74.125.130.94,80,OUT.bound,established,,LOKAL.c,US,AS15169 google llc,,,
tcp,192.168.1.15,50524,142.250.4.93,443,OUT.bound,established,,LOKAL.c,US,AS15169 google llc,,,
tcp,192.168.1.15,51440,208.67.222.222,853,OUT.bound,established,,INTL.c,,,,,
udp,10.172.41.58,45854,255.255.255.255,10002,broadcast,,,,,,,,
