protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
udp,203.123.56.246,48883.0,140.213.23.17,443.0,,,,OUT.bound
tcp,203.123.56.246,49784.0,74.125.130.95,443.0,established,,,OUT.bound
udp,203.123.56.246,43588.0,74.125.130.101,443.0,,,,OUT.bound
tcp,203.123.56.246,61337.0,34.107.243.93,443.0,established,,,OUT.bound
udp,203.123.56.246,57072.0,43.152.163.231,443.0,,,,OUT.bound
tcp,203.123.56.246,63409.0,134.119.183.61,80.0,established,,,OUT.bound
tcp,203.123.56.246,59104.0,2.59.169.85,80.0,established,,,OUT.bound
tcp,203.123.56.246,50138.0,34.101.5.35,443.0,established,,,OUT.bound
tcp,203.123.56.246,63320.0,172.64.162.9,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,51533.0,148.153.112.21,6105.0,,,,OUT.bound
tcp,81.6.47.149,9001.0,203.123.56.246,50360.0,established,,,IN.bound
tcp,203.123.56.246,59748.0,115.238.23.30,80.0,last-ack,,,OUT.bound
tcp,203.123.56.246,34584.0,47.254.156.191,443.0,syn-sent,,,OUT.bound
tcp,203.123.56.246,45862.0,156.59.239.227,8888.0,established,,,OUT.bound
udp,10.180.80.99,42159.0,255.255.255.255,10002.0,,,,broadcast
udp,203.123.56.246,47569.0,8.8.4.4,53.0,,,,OUT.bound
tcp,203.123.56.246,34736.0,142.251.12.95,443.0,established,,,OUT.bound
tcp,203.123.56.246,49923.0,45.121.219.227,80.0,established,,,OUT.bound
tcp,203.123.56.246,55464.0,23.56.239.194,443.0,close,,,OUT.bound
tcp,203.123.56.246,49924.0,23.214.169.161,80.0,established,,,OUT.bound
tcp,203.123.56.246,63318.0,172.64.162.9,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,61196.0,151.106.5.111,39310.0,,,,OUT.bound
udp,203.123.56.246,63190.0,92.204.242.241,40868.0,,,,OUT.bound
tcp,203.123.56.246,49895.0,163.70.153.60,443.0,established,,,OUT.bound
udp,203.123.56.246,36278.0,74.125.130.113,443.0,,,,OUT.bound
tcp,203.123.56.246,63314.0,104.16.71.20,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,59025.0,134.119.183.60,80.0,established,,,OUT.bound
tcp,203.123.56.246,59697.0,115.238.23.30,80.0,last-ack,,,OUT.bound
tcp,203.123.56.246,47000.0,8.209.108.148,443.0,established,,,OUT.bound
tcp,203.123.56.246,38558.0,163.70.153.34,443.0,established,,,OUT.bound
tcp,203.123.56.246,59742.0,40.126.35.21,443.0,established,,,OUT.bound
tcp,203.123.56.246,58033.0,203.161.21.10,443.0,established,,,OUT.bound
tcp,203.123.56.246,57941.0,2.59.169.42,80.0,established,,,OUT.bound
tcp,203.123.56.246,39144.0,74.125.200.190,443.0,established,,,OUT.bound
tcp,203.123.56.246,55436.0,23.56.239.160,443.0,established,,,OUT.bound
tcp,175.103.43.90,57161.0,146.196.110.84,8278.0,established,,,IN.bound
tcp,203.123.56.246,38150.0,74.125.130.95,443.0,established,,,OUT.bound
udp,203.123.56.246,35484.0,203.161.21.168,443.0,,,,OUT.bound
tcp,203.123.56.246,57844.0,74.125.24.95,443.0,established,,,OUT.bound
tcp,203.123.56.246,60616.0,185.88.181.55,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,47426.0,8.8.4.4,53.0,,,,OUT.bound
tcp,203.123.56.246,49388.0,157.240.208.60,443.0,established,,,OUT.bound
tcp,203.123.56.246,62676.0,109.206.175.73,443.0,established,,,OUT.bound
tcp,203.123.56.246,59786.0,74.125.200.188,5228.0,established,,,OUT.bound
tcp,203.123.56.246,61978.0,51.222.13.177,80.0,established,,,OUT.bound
tcp,203.123.56.246,37796.0,157.240.208.61,443.0,established,,,OUT.bound
tcp,203.123.56.246,58312.0,163.70.153.60,443.0,established,,,OUT.bound
udp,203.123.56.246,53251.0,122.144.1.1,53.0,,,,OUT.bound
udp,203.123.56.246,42240.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,58704.0,163.70.153.21,443.0,established,,,OUT.bound
udp,203.123.56.246,48756.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,38098.0,157.240.208.60,443.0,established,,,OUT.bound
tcp,203.123.56.246,58020.0,134.119.183.61,80.0,established,,,OUT.bound
tcp,203.123.56.246,59751.0,23.50.117.203,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,39070.0,142.251.175.95,443.0,established,,,OUT.bound
tcp,203.123.56.246,49502.0,157.240.208.61,443.0,established,,,OUT.bound
tcp,203.123.56.246,62645.0,40.126.35.81,443.0,time-wait,,,OUT.bound
udp,203.123.56.246,50956.0,34.96.106.127,443.0,,,,OUT.bound
tcp,203.123.56.246,62673.0,40.126.35.81,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,41606.0,71.18.36.225,443.0,established,,,OUT.bound
tcp,203.123.56.246,63227.0,2.59.169.43,80.0,established,,,OUT.bound
tcp,203.123.56.246,56049.0,2.59.169.86,80.0,established,,,OUT.bound
udp,146.196.110.84,49015.0,122.144.1.1,53.0,,,,OUT.bound
udp,203.123.56.246,44475.0,8.8.4.4,53.0,,,,OUT.bound
tcp,203.123.56.246,56378.0,206.84.112.30,443.0,established,,,OUT.bound
udp,203.123.56.246,54957.0,122.144.1.1,53.0,,,,OUT.bound
udp,203.123.56.246,37597.0,142.251.175.95,443.0,,,,OUT.bound
udp,203.123.56.246,59805.0,34.111.101.25,443.0,,,,OUT.bound
tcp,203.123.56.246,48112.0,157.240.208.16,443.0,established,,,OUT.bound
udp,203.123.56.246,41490.0,34.149.173.23,443.0,,,,OUT.bound
tcp,203.123.56.246,63317.0,40.126.35.20,443.0,time-wait,,,OUT.bound
udp,146.196.110.84,60852.0,8.8.8.8,53.0,,,,OUT.bound
tcp,203.123.56.246,60612.0,134.119.183.59,80.0,established,,,OUT.bound
udp,149.12.246.2,55137.0,203.123.56.244,5060.0,,,,IN.bound
udp,203.123.56.246,49894.0,74.125.68.95,443.0,,,,OUT.bound
tcp,203.123.56.246,35286.0,34.110.200.237,443.0,established,,,OUT.bound
tcp,203.123.56.246,40798.0,130.44.212.234,443.0,established,,,OUT.bound
udp,203.123.56.246,57449.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,50582.0,172.67.136.177,80.0,established,,,OUT.bound
tcp,183.99.102.83,51563.0,203.123.56.244,23.0,syn-sent,,,IN.bound
tcp,203.123.56.246,45144.0,74.125.24.139,80.0,established,,,OUT.bound
tcp,203.123.56.246,49832.0,74.125.24.102,443.0,established,,,OUT.bound
tcp,203.123.56.246,46906.0,52.84.251.117,443.0,established,,,OUT.bound
