name,data
web.gapura-cargo.com,103.169.73.168
cgo.gapura.id,35.247.167.182
www.beacukai.go.id,103.12.80.4
ns4.apnic.net,202.12.31.53
gapura.id,34.101.122.124
ns-cloud-d4.googledomains.com,216.239.38.109
ns-cloud-d2.googledomains.com,216.239.34.109
ns-cloud-d1.googledomains.com,216.239.32.109
ns-cloud-d3.googledomains.com,216.239.36.109
gapura-cargo.com,103.169.73.168
4shared.com,204.155.149.41
4shared.com,204.155.149.42
4shared.com,204.155.146.95
4shared.com,204.155.149.43
google.com,74.125.24.113
google.com,74.125.24.100
google.com,74.125.24.102
google.com,74.125.24.139
google.com,74.125.24.138
google.com,74.125.24.101
google.com,74.125.68.100
google.com,74.125.68.138
google.com,74.125.68.139
google.com,74.125.68.101
google.com,74.125.68.113
google.com,74.125.68.102
