name,data
a.root-servers.net,198.41.0.4
ns4.google.com,216.239.38.10
h.root-servers.net,198.97.190.53
c.root-servers.net,192.33.4.12
g.root-servers.net,192.112.36.4
ns3.google.com,216.239.36.10
d.root-servers.net,199.7.91.13
ns2.google.com,216.239.34.10
f.root-servers.net,192.5.5.241
ns1.google.com,216.239.32.10
trustpositif.kominfo.go.id,27.54.116.70
forcesafesearch.google.com,216.239.38.120
dns.google,8.8.8.8
dns.google,8.8.4.4
l.root-servers.net,199.7.83.42
i.root-servers.net,192.36.148.17
fp2e7a.wpc.phicdn.net,152.195.38.76
o.auntions.com,139.59.109.18
o.auntions.com,194.195.223.249
o.auntions.com,139.177.196.162
tie.presuant.com,139.177.196.162
tie.presuant.com,139.59.109.18
tie.presuant.com,194.195.223.249
sni1gl.wpc.nucdn.net,152.199.39.108
cs189.wpc.edgecastcdn.net,192.229.232.217
array501.prod.do.dsp.mp.microsoft.com,40.70.229.150
cs12.wpc.v0cdn.net,192.229.232.240
apidapo-support.kemdikbud.go.id,118.98.166.209
config.eastus-ssp.appgw.inmobi.com,20.39.59.188
probe-t.twitter.com,104.244.42.195
probe-t.twitter.com,104.244.42.3
probe-t.twitter.com,104.244.42.67
probe-t.twitter.com,104.244.42.131
sqm.telemetry.microsoft.com,65.55.252.93
node1.btccuracao.com,188.214.30.78
um15.eset.com,185.94.157.11
sni1gl.wpc.iotacdn.net,152.199.39.108
cs1404.wpc.epsiloncdn.net,152.199.43.62
mmp.unja.ac.id,124.158.168.78
aaaa.usa-138.com,203.124.11.111
um16.eset.com,38.90.226.44
cs505.wac.edgecastcdn.net,192.229.237.101
fastly-tls12-bam.nr-data.net,162.247.243.29
array517.prod.do.dsp.mp.microsoft.com,52.242.101.140
analytics-prod-gcp.ff.avast.com,34.117.223.223
cname-asia-exappupgrade.vivoglobal.com,156.59.238.26
ipv4only.arpa,192.0.0.171
ipv4only.arpa,192.0.0.170
example.org,93.184.216.34
prod.detectportal.prod.cloudops.mozgcp.net,34.107.221.82
cs9.wpc.v0cdn.net,117.18.232.200
crlog-crcn.adobe.com,192.147.130.166
orion.ts.360.com.awsr53.qihucdn.com,82.145.215.152
qurl.cloud.360safe.com.awsr53.qihucdn.com,54.251.106.38
mobilecrush.king.com,185.48.81.27
ws1.dashlane.com.cdn.cloudflare.net,104.18.22.112
ws1.dashlane.com.cdn.cloudflare.net,104.18.23.112
um13.eset.com,38.90.226.40
prod-w.nexus.live.com.akadns.net,52.111.243.28
clients.l.google.com,74.125.68.138
clients.l.google.com,74.125.68.102
clients.l.google.com,74.125.68.100
clients.l.google.com,74.125.68.101
clients.l.google.com,74.125.68.113
clients.l.google.com,74.125.68.139
asia.configsvc1.live.com.akadns.net,52.109.56.128
array503.prod.do.dsp.mp.microsoft.com,52.179.219.14
sentry.io,35.186.247.156
ipip.website,114.202.175.146
xtrum.com,188.165.206.21
horsey.cryptocowboys.net,3.83.58.39
connectivitycheck.gstatic.com,172.253.118.94
play-fe.googleapis.com,74.125.130.138
play-fe.googleapis.com,74.125.130.113
play-fe.googleapis.com,74.125.130.100
play-fe.googleapis.com,74.125.130.101
play-fe.googleapis.com,74.125.130.139
play-fe.googleapis.com,74.125.130.102
content-autofill.googleapis.com,172.253.118.95
content-autofill.googleapis.com,142.251.175.95
content-autofill.googleapis.com,172.217.194.95
content-autofill.googleapis.com,142.250.4.95
content-autofill.googleapis.com,74.125.68.95
content-autofill.googleapis.com,64.233.170.95
content-autofill.googleapis.com,142.251.12.95
content-autofill.googleapis.com,142.251.10.95
content-autofill.googleapis.com,74.125.200.95
content-autofill.googleapis.com,74.125.24.95
content-autofill.googleapis.com,74.125.130.95
array605.prod.do.dsp.mp.microsoft.com,51.104.164.114
2-vbus-sg.ladesk.com,172.104.161.30
api.otidapi.com,47.245.119.50
api.otidapi.com,8.219.140.104
glb.cws.prod.dcat.dsp.trafficmanager.net,13.95.31.18
onedscolprdcus08.centralus.cloudapp.azure.com,104.208.16.88
cdn-content.ampproject.org,172.217.194.132
play-lh.googleusercontent.com,172.217.194.119
scontent-cgk1-2.xx.fbcdn.net,31.13.95.13
cname-sin01-stsdk09.vivoglobal.com,156.59.238.3
onedscolprdeus04.eastus.cloudapp.azure.com,52.168.112.67
spec.cloud.os-lb.com,54.179.136.152
spec.cloud.os-lb.com,54.179.136.136
array610.prod.do.dsp.mp.microsoft.com,20.54.24.69
cp.af37coau.ru,34.174.61.199
youtube-ui.l.google.com,172.253.118.136
youtube-ui.l.google.com,142.251.12.190
youtube-ui.l.google.com,142.251.10.190
youtube-ui.l.google.com,172.217.194.91
youtube-ui.l.google.com,172.217.194.136
youtube-ui.l.google.com,172.217.194.93
youtube-ui.l.google.com,74.125.200.91
youtube-ui.l.google.com,142.251.10.93
youtube-ui.l.google.com,142.251.12.136
youtube-ui.l.google.com,172.217.194.190
youtube-ui.l.google.com,172.253.118.190
youtube-ui.l.google.com,172.253.118.91
youtube-ui.l.google.com,74.125.200.136
youtube-ui.l.google.com,172.253.118.93
youtube-ui.l.google.com,142.251.12.91
youtube-ui.l.google.com,142.251.12.93
asia-wifi.vivoglobal.com,156.59.238.0
asia-exmagazineunlock-proxy.vivoglobal.com,156.59.238.32
asia-stp.vivoglobal.com,156.59.238.28
c2r.ts.cdn.office.net.c.footprint.net,8.241.162.124
c2r.ts.cdn.office.net.c.footprint.net,8.241.165.252
c2r.ts.cdn.office.net.c.footprint.net,8.241.131.252
tiktok.freeflow.sched.ovscdns.net,43.152.160.233
tiktok.freeflow.sched.ovscdns.net,43.152.160.235
tiktok.freeflow.sched.ovscdns.net,43.132.80.241
tiktok.freeflow.sched.ovscdns.net,43.152.160.234
tiktok.freeflow.sched.ovscdns.net,103.160.155.55
tiktok.freeflow.sched.ovscdns.net,43.152.142.241
tiktok.freeflow.sched.ovscdns.net,101.33.4.196
tiktok.freeflow.sched.ovscdns.net,43.132.80.207
tiktok.freeflow.sched.ovscdns.net,43.132.81.144
tiktok.freeflow.sched.ovscdns.net,101.33.4.5
tiktok.freeflow.sched.ovscdns.net,43.152.161.241
tiktok.freeflow.sched.ovscdns.net,101.33.4.184
tiktok.freeflow.sched.ovscdns.net,101.33.4.7
tiktok.freeflow.sched.ovscdns.net,43.152.163.231
tiktok.freeflow.sched.ovscdns.net,101.33.4.185
pull-flv-l16-sg01.tiktokcdn.com.atomile.com,138.113.116.39
