Port Number,service
899,
799,
5678,rrac
42478,
443,https
47756,
36686,
7010,ups-onlinet
44940,
33906,
36694,
4001,newoak
47823,
80,http
33880,
48618,
46844,
48296,
48698,
36666,
36662,
41002,
36698,
46500,
40696,
36741,
23008,
33894,
33884,
39740,
42690,
41876,
48522,
33862,
33898,
46794,
10651,
38032,
48646,
42698,
41234,
43136,
39032,
32930,
42001,
42800,
39333,
39777,
40070,
39734,
48132,
36714,
28306,
39492,
44920,
39185,
34503,
44561,
37398,
45515,
40636,
48730,
35130,
45834,
5228,hpvroom
53,domain
5938,
6568,canit-store
33890,digilent-adept
41506,
42004,
45958,
41494,
41482,
46354,
42130,
42112,
41518,
800,mdbs-daemon
45924,
33904,
41500,
41530,
8883,secure-mqtt
45772,
42446,
42224,
38932,
41498,
853,domain-s
42492,
38404,
41248,
5222,xmpp-client
41474,
42148,
42202,
41266,
41542,
42046,
38304,
46628,
45870,
45878,
41226,
40044,
46422,
42470,
41996,
46428,
41382,
1194,openvpn
41514,
41510,
41534,
45612,
45506,
46652,
49020,
45892,
38058,
46432,
42118,
38560,
38744,
34682,
45600,
42158,
38470,
8531,
30804,
41742,
41470,
41522,
41524,
2000,cisco-sccp
45806,
48478,
10002,documentum
46334,
38438,
42428,
1813,radius-acct
1812,radius
514,shell
8278,
