protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
tcp,146.196.111.218,899,175.103.43.90,53679,OUT.bound,,established,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,,
tcp,175.103.46.158,50058,172.253.118.101,443,OUT.bound,https,established,,,US,AS15169 google llc,,,,
tcp,175.103.46.158,60405,92.223.85.121,80,OUT.bound,http,established,,,SG,AS199524 g-core labs s.a.,,,,
tcp,175.103.46.158,59214,31.13.68.61,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
tcp,43.133.45.194,799,175.103.46.158,45834,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,63059,74.125.200.188,5228,OUT.bound,hpvroom,established,,,US,AS15169 google llc,LCIA:HoneyNet:2023,pulled from router,2023-07-23T12:04:51.473000,Whitelisted IP
udp,175.103.46.158,5678,192.168.121.1,53,local,domain,,,speedtest.c,,,,,,
tcp,175.103.46.158,65143,213.227.167.133,5938,OUT.bound,,established,,speedtest.c,AU,AS42473 anexia internetdienstleistungs gmbh,conns,The full list of candidates for the 2016 General Election has been released.. and here are the key p,2022-09-03T00:03:41.487000,
tcp,175.103.46.158,42478,43.128.74.37,799,OUT.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
udp,175.103.46.158,59731,64.233.170.95,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
tcp,157.240.211.61,443,175.103.46.158,55308,IN.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,59277,103.107.198.66,6568,OUT.bound,canit-store,established,,,SG,AS137409 gsl networks pty ltd,,,,
tcp,31.13.68.1,443,175.103.46.158,33890,IN.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,Kelowna detachment - British Columbia,https://www.rcmp-grc.gc.ca/detach/en/d/201,2023-09-21T05:02:23.556000,Whitelisted IP
tcp,43.128.74.37,799,175.103.46.158,41506,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,42004,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,31.13.68.60,443,175.103.46.158,63074,IN.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
tcp,43.134.120.219,799,175.103.46.158,45958,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,47756,157.240.199.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
udp,175.103.46.158,5678,192.168.124.1,53,local,domain,,,speedtest.c,,,,,,
tcp,175.103.46.158,65445,31.13.68.60,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
tcp,43.128.74.37,799,175.103.46.158,41494,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,41482,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.134.120.219,799,175.103.46.158,46354,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,36686,157.240.217.2,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,43.128.74.37,799,175.103.46.158,42130,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,42112,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,41518,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,62343,118.98.93.186,443,OUT.bound,https,close-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
tcp,175.103.46.158,58416,142.250.190.3,443,OUT.bound,https,established,,,US,AS15169 google llc,,,,
tcp,3.216.157.50,7010,175.103.46.158,63395,IN.bound,ups-onlinet,established,,speedtest.c,US,AS14618 amazon.com  inc.,,,,Cloud Provider IP range
tcp,175.103.46.158,55972,192.53.174.79,4001,OUT.bound,newoak,established,,speedtest.c,SG,AS63949 linode  llc,,,,
tcp,175.103.46.158,44940,43.133.45.194,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
udp,175.103.46.158,5678,192.168.1.1,53,local,domain,,,speedtest.c,,,,,,
udp,175.103.46.158,5678,192.168.122.1,53,local,domain,,,speedtest.c,,,,,,
tcp,175.103.46.158,61692,20.212.88.117,443,OUT.bound,https,established,,,US,AS8075 microsoft corporation,,,,
tcp,31.13.95.40,443,175.103.46.158,61967,IN.bound,https,established,,speedtest.c,ID,AS32934 facebook  inc.,,,,Whitelisted IP
tcp,43.133.45.194,799,175.103.46.158,45924,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
icmp,175.103.43.90,,175.103.46.158,,IN.bound,,,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,,
udp,175.103.46.158,55815,172.253.118.95,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,,,,
tcp,31.13.68.1,443,175.103.46.158,33904,IN.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,Kelowna detachment - British Columbia,https://www.rcmp-grc.gc.ca/detach/en/d/201,2023-09-21T05:02:23.556000,Whitelisted IP
tcp,43.128.74.37,799,175.103.46.158,41500,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,130.44.212.236,443,175.103.46.158,53548,IN.bound,https,established,,speedtest.c,US,AS396986 bytedance inc.,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,
tcp,175.103.46.158,62347,210.210.145.19,443,OUT.bound,https,established,,speedtest.c,ID,AS4787 pt cyberindo aditama,,,,
tcp,175.103.46.158,57204,157.240.217.60,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,33906,31.13.68.1,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,Kelowna detachment - British Columbia,https://www.rcmp-grc.gc.ca/detach/en/d/201,2023-09-21T05:02:23.556000,Whitelisted IP
tcp,43.128.74.37,799,175.103.46.158,41530,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,63686,52.25.237.147,8883,OUT.bound,secure-mqtt,established,,speedtest.c,US,AS16509 amazon.com inc,,,,Cloud Provider IP range
tcp,43.133.45.194,799,175.103.46.158,45772,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,36694,157.240.217.2,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,43.128.74.37,799,175.103.46.158,42446,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,62350,36.91.254.99,443,OUT.bound,https,close,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,,
tcp,43.128.74.37,799,175.103.46.158,42224,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,192.53.174.79,4001,175.103.46.158,58432,IN.bound,newoak,established,,speedtest.c,SG,AS63949 linode  llc,,,,
tcp,175.103.46.158,52096,157.240.13.35,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
tcp,118.98.95.40,443,175.103.46.158,38932,IN.bound,https,last-ack,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
tcp,175.103.46.158,51555,36.89.220.137,80,OUT.bound,http,established,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,,
udp,175.103.46.158,47823,203.161.21.184,443,OUT.bound,https,,,speedtest.c,ID,AS133840 pt jala lintas media,,,,
tcp,175.103.46.158,56090,184.26.109.117,443,OUT.bound,https,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
tcp,175.103.46.158,54370,92.223.85.120,443,OUT.bound,https,established,,,SG,AS199524 g-core labs s.a.,,,,
tcp,43.128.74.37,799,175.103.46.158,41498,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,62300,8.8.8.8,853,OUT.bound,domain-s,established,,speedtest.c,US,AS15169 google llc,,,,Known False Positive
tcp,175.103.46.158,62353,36.67.189.250,443,OUT.bound,https,established,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,,
tcp,43.133.45.194,799,175.103.46.158,40696,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,92.223.85.54,80,175.103.46.158,62734,IN.bound,http,established,,,SG,AS199524 g-core labs s.a.,,,,
tcp,43.128.74.37,799,175.103.46.158,42492,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
udp,34.110.200.237,443,175.103.46.158,62339,IN.bound,https,,,speedtest.c,US,AS15169 google llc,,,,
tcp,175.103.46.158,62325,184.25.236.17,443,OUT.bound,https,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
tcp,43.134.53.107,799,175.103.46.158,38404,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,33880,31.13.68.1,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,Kelowna detachment - British Columbia,https://www.rcmp-grc.gc.ca/detach/en/d/201,2023-09-21T05:02:23.556000,Whitelisted IP
tcp,175.103.46.158,48618,43.133.45.194,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,41248,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,46844,43.134.120.219,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,51750,157.240.211.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,48296,157.240.235.61,5222,OUT.bound,xmpp-client,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,48698,43.134.53.107,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,63775,51.159.103.157,443,OUT.bound,https,established,,speedtest.c,FR,AS12876 online s.a.s.,,,,
tcp,175.103.46.158,57464,118.98.77.162,80,OUT.bound,http,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,,
tcp,175.103.46.158,36666,157.240.217.2,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,63810,20.198.119.84,443,OUT.bound,https,established,,speedtest.c,IN,AS8075 microsoft corporation,,,,Cloud Provider IP range
tcp,43.128.74.37,799,175.103.46.158,41474,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,42148,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,42202,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,57318,43.128.74.37,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,138.199.46.216,80,175.103.46.158,54131,IN.bound,http,established,,,SG,AS60068 datacamp limited,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,
tcp,43.128.74.37,799,175.103.46.158,41266,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,36662,157.240.217.2,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,41002,43.133.45.194,799,OUT.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.128.74.37,799,175.103.46.158,41542,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,49812,157.240.211.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
tcp,103.107.199.6,443,175.103.46.158,63629,IN.bound,https,established,,,SG,AS137409 gsl networks pty ltd,,,,
tcp,175.103.46.158,36698,157.240.217.2,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,62353,118.98.93.187,443,OUT.bound,https,established,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,,Whitelisted IP
tcp,43.128.74.37,799,175.103.46.158,42046,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,62203,13.224.250.91,443,OUT.bound,https,established,,speedtest.c,US,AS16509 amazon.com inc,,,,CDN IP ranges
tcp,175.103.46.158,46500,192.53.174.79,4001,OUT.bound,newoak,established,,speedtest.c,SG,AS63949 linode  llc,,,,
tcp,43.134.53.107,799,175.103.46.158,38304,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,61985,157.240.235.19,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
tcp,175.103.46.158,49551,35.186.224.25,443,OUT.bound,https,established,,,US,AS15169 google llc,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T22:59:38.184000,Cloud Provider IP range
tcp,43.134.120.219,799,175.103.46.158,46628,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,63157,157.240.208.60,443,OUT.bound,https,established,,,ID,AS32934 facebook  inc.,,,,
tcp,43.133.45.194,799,175.103.46.158,45870,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,43.134.120.219,799,175.103.46.158,45878,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
tcp,175.103.46.158,49213,74.125.24.95,443,OUT.bound,https,established,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
tcp,175.103.46.158,49214,74.125.24.95,443,OUT.bound,https,established,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
