.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*293A,tcp,167.94.145.90:1409,175.103.46.156:6002,175.103.46.156:6002,167.94.145.90:1409,,syn-sent,,4s,,1,44,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*293B,tcp,175.103.46.158:49749,118.98.93.56:80,118.98.93.56:80,175.103.46.158:49749,,established,,22h49m31s,,3,144,0,0,1,52,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*293C,tcp,175.103.46.158:38070,43.128.118.190:799,43.128.118.190:799,175.103.46.158:38070,,established,,23h59m48s,speedtest.c,196,12651,0,0,198,12815,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*293D,tcp,143.42.76.52:4001,175.103.46.158:48124,175.103.46.158:48124,143.42.76.52:4001,,established,,1h11m6s,,8,416,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*293E,tcp,175.103.46.158:50144,103.126.10.171:443,103.126.10.171:443,175.103.46.158:50144,,established,,4h59m,,2,88,0,0,1,48,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*293F,tcp,175.103.46.158:49408,20.198.118.190:443,20.198.118.190:443,175.103.46.158:49408,,established,,23h47m27s,speedtest.c,51,5808,0,0,45,9135,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*2940,tcp,175.103.46.158:50115,23.222.26.17:80,23.222.26.17:80,175.103.46.158:50115,,established,,4h57m46s,,4,192,0,0,1,52,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*2941,udp,175.103.46.158:43438,172.217.194.95:443,172.217.194.95:443,175.103.46.158:43438,,,,30s,speedtest.c,46,13693,0,0,60,28361,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*2942,tcp,185.224.128.184:12257,175.103.46.156:80,175.103.46.156:80,185.224.128.184:12257,,established,,19h56m21s,speedtest.c,1,89,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
*2943,tcp,35.213.190.132:443,175.103.46.158:50560,175.103.46.158:50560,35.213.190.132:443,,established,,1h38m38s,speedtest.c,1,1450,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 09:56:02 WIB
