Port Number,service
5678,rrac
799,
443,https
48618,
46844,
46500,
80,http
35420,
4001,newoak
45382,
48698,
23008,
7010,ups-onlinet
48338,
1194,openvpn
42048,
48646,
42834,
33472,
23015,
38291,
39219,
47552,
41276,
38835,
43211,
40636,
43838,
40942,
53,domain
45834,
899,
6568,canit-store
46354,
46360,
800,mdbs-daemon
8883,secure-mqtt
46428,
39060,
45958,
46652,
46344,
38404,
5228,hpvroom
41226,
46998,spremotetablet
38898,
46458,
46432,
46264,
5938,
38964,
38918,
46400,
38744,
38470,
42824,
47978,
45924,
9333,
45600,
42806,
5222,xmpp-client
45772,
45612,
38304,
46916,
39064,
46338,
46628,
45870,
45806,
41534,
39024,
10002,documentum
46334,
4022,dnox
38438,
3544,teredo
123,ntp
9681,
8278,
1812,radius
514,shell
1813,radius-acct
853,domain-s
