session,protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
2023-11-30_14-49-57,udp,175.103.46.158,5678,192.168.1.1,53,local,domain,,,speedtest.c,,,,,,
2023-11-30_14-49-57,udp,175.103.46.158,5678,192.168.122.1,53,local,domain,,,speedtest.c,,,,,,
2023-11-30_14-49-57,tcp,43.133.45.194,799,175.103.46.158,45834,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,udp,175.103.46.158,5678,192.168.121.1,53,local,domain,,,speedtest.c,,,,,,
2023-11-30_14-49-57,udp,175.103.46.158,49649,216.239.38.120,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000,Whitelisted IP
2023-11-30_14-49-57,tcp,175.103.43.90,53679,146.196.111.218,899,IN.bound,,established,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,59277,103.107.198.66,6568,OUT.bound,canit-store,established,,,SG,AS137409 gsl networks pty ltd,,,,
2023-11-30_14-49-57,tcp,157.240.217.60,443,175.103.46.158,57204,IN.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,
2023-11-30_14-49-57,udp,175.103.46.158,5678,192.168.124.1,53,local,domain,,,speedtest.c,,,,,,
2023-11-30_14-49-57,tcp,43.134.120.219,799,175.103.46.158,46354,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,56981,52.184.217.37,443,OUT.bound,https,established,,speedtest.c,US,AS8075 microsoft corporation,,,,Cloud Provider IP range
2023-11-30_14-49-57,tcp,175.103.46.158,63074,31.13.68.60,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,43.133.45.194,799,175.103.46.158,46360,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,63450,20.198.118.190,443,OUT.bound,https,established,,speedtest.c,IN,AS8075 microsoft corporation,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,Cloud Provider IP range
2023-11-30_14-49-57,tcp,175.103.46.158,55448,31.13.68.60,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,175.103.46.158,48618,43.133.45.194,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,icmp,175.103.43.90,,175.103.46.158,,IN.bound,,,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,51774,172.217.194.95,443,OUT.bound,https,established,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,175.103.46.158,63629,103.107.199.6,443,OUT.bound,https,established,,,SG,AS137409 gsl networks pty ltd,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,63686,52.25.237.147,8883,OUT.bound,secure-mqtt,established,,speedtest.c,US,AS16509 amazon.com inc,,,,Cloud Provider IP range
2023-11-30_14-49-57,tcp,43.134.120.219,799,175.103.46.158,46428,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,46844,43.134.120.219,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,43.134.53.107,799,175.103.46.158,39060,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,43.134.120.219,799,175.103.46.158,45958,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,udp,175.103.46.158,58259,74.125.68.94,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,175.103.46.158,50372,216.239.38.178,443,OUT.bound,https,established,,speedtest.c,US,AS15169 google llc,Obfuscated Files or Information,,2023-11-21T17:12:49.783000,Whitelisted IP
2023-11-30_14-49-57,tcp,175.103.46.158,50420,104.17.24.14,443,OUT.bound,https,established,,speedtest.c,US,AS13335 cloudflare,Darkside 2020 Ecosystem  .BEware   BGP.tools   Target Tsara Brashears,Law Enforcement? DOJ? ACLU? Help? This is CRAZY. nSilencing. nI like her song clicked on link but it,2023-11-29T14:03:31.663000,CDN IP ranges
2023-11-30_14-49-57,tcp,175.103.46.158,60326,43.128.74.37,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,43.134.120.219,799,175.103.46.158,46652,IN.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,udp,175.103.46.158,49625,172.217.194.95,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,175.103.46.158,52048,157.240.211.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,
2023-11-30_14-49-57,udp,175.103.46.158,57821,74.125.68.94,443,OUT.bound,https,,,speedtest.c,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,43.133.45.194,799,175.103.46.158,46344,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,43.134.53.107,799,175.103.46.158,38404,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,54370,92.223.85.120,443,OUT.bound,https,established,,,SG,AS199524 g-core labs s.a.,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,46500,192.53.174.79,4001,OUT.bound,newoak,established,,speedtest.c,SG,AS63949 linode  llc,,,,
2023-11-30_14-49-57,tcp,91.108.56.100,80,175.103.46.158,50719,IN.bound,http,established,,speedtest.c,AG,AS62014 telegram messenger inc,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,64375,142.251.10.188,443,OUT.bound,https,established,,,US,AS15169 google llc,firewall conns,Proto NATed Address  - 192.5.8 Â 1.4m -  is the most popular address on the internet for those tryin,2022-10-03T00:03:36.708000,
2023-11-30_14-49-57,tcp,175.103.46.158,51828,101.32.248.90,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,60405,92.223.85.121,80,OUT.bound,http,established,,,SG,AS199524 g-core labs s.a.,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,35420,31.13.75.61,443,OUT.bound,https,established,,speedtest.c,HK,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,92.223.85.54,80,175.103.46.158,62734,IN.bound,http,established,,,SG,AS199524 g-core labs s.a.,,,,
2023-11-30_14-49-57,tcp,91.108.56.100,80,175.103.46.158,50749,IN.bound,http,established,,speedtest.c,AG,AS62014 telegram messenger inc,,,,
2023-11-30_14-49-57,tcp,101.32.248.90,799,175.103.46.158,50804,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,49524,74.125.130.188,5228,OUT.bound,hpvroom,established,,,US,AS15169 google llc,,,,Whitelisted IP
2023-11-30_14-49-57,tcp,192.53.174.79,4001,175.103.46.158,41226,IN.bound,newoak,established,,speedtest.c,SG,AS63949 linode  llc,,,,
2023-11-30_14-49-57,tcp,43.134.120.219,799,175.103.46.158,46998,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,45382,43.133.45.194,800,OUT.bound,mdbs-daemon,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,43.134.53.107,799,175.103.46.158,38898,IN.bound,,established,,,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-49-57,tcp,175.103.46.158,52692,20.198.119.84,443,OUT.bound,https,established,,speedtest.c,IN,AS8075 microsoft corporation,,,,Cloud Provider IP range
