protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved
tcp,122.144.6.226,60354,52.108.186.3,443,established,INTL.c,
tcp,122.144.6.226,61488,74.125.68.113,443,established,LOKAL.c,
udp,103.136.6.162,41435,122.144.1.1,53,,,
udp,122.144.6.226,64216,8.8.8.8,443,,LOKAL.c,
tcp,122.144.6.226,52123,52.111.240.15,443,established,INTL.c,
tcp,122.144.6.226,35730,74.125.68.94,443,established,LOKAL.c,
udp,122.144.6.226,63498,8.8.8.8,443,,LOKAL.c,
tcp,122.144.6.226,50960,62.210.11.203,443,established,INTL.c,
tcp,122.144.6.226,40528,47.245.127.164,8820,established,INTL.c,
icmp,175.103.43.90,,122.144.6.226,,,,
udp,103.136.6.167,5678,255.255.255.255,5678,,,
tcp,202.148.26.5,1433,115.96.27.46,56652,close-wait,,
tcp,122.144.6.226,53581,142.251.10.84,443,established,LOKAL.c,
tcp,122.144.6.226,45920,31.13.95.9,443,established,LOKAL.c,
tcp,122.144.6.226,47946,143.92.82.8,443,established,INTL.c,
tcp,122.144.6.226,58883,172.217.194.188,443,established,LOKAL.c,
tcp,202.148.26.5,1433,36.76.192.160,57504,close-wait,,
udp,122.144.6.226,39509,31.13.95.63,443,,LOKAL.c,
tcp,122.144.6.226,51858,74.125.68.95,443,established,LOKAL.c,
tcp,122.144.6.226,61547,52.113.194.132,443,established,LOKAL.c,
tcp,122.144.6.226,58907,103.166.48.126,443,established,LOKAL.c,
tcp,122.144.6.226,54329,103.166.48.126,443,established,LOKAL.c,
udp,10.172.230.59,52752,255.255.255.255,10002,,,
tcp,202.148.26.5,1433,180.211.95.82,52438,close-wait,,
tcp,122.144.6.226,61517,74.125.130.95,443,established,LOKAL.c,
udp,122.144.6.226,60140,157.240.208.60,443,,LOKAL.c,
udp,122.144.6.226,60886,64.233.170.95,443,,LOKAL.c,
udp,122.144.6.226,63200,8.8.4.4,443,,LOKAL.c,
tcp,122.144.6.226,61539,125.213.131.247,443,close-wait,LOKAL.c,
tcp,122.144.6.226,63349,23.106.252.102,443,established,INTL.c,
tcp,122.144.6.226,52393,64.233.170.188,5228,established,LOKAL.c,
tcp,103.166.48.122,50141,122.144.6.226,7212,established,LOKAL.c,
tcp,122.144.6.226,58908,103.166.48.126,443,established,LOKAL.c,
udp,122.144.6.226,53617,74.125.130.190,443,,LOKAL.c,
udp,103.136.6.162,39425,122.144.1.1,53,,,
tcp,202.148.26.5,1433,115.96.27.46,56128,close-wait,,
udp,122.144.6.226,58790,8.8.8.8,443,,LOKAL.c,
udp,122.144.6.226,63955,142.251.12.95,443,,LOKAL.c,
tcp,122.144.6.226,33166,157.240.208.3,443,established,LOKAL.c,
tcp,122.144.6.226,48304,157.240.208.60,443,established,LOKAL.c,
tcp,122.144.6.226,55742,162.247.241.14,443,established,LOKAL.c,
tcp,202.148.26.5,1433,180.211.95.82,51600,close-wait,,
tcp,122.144.6.226,52573,8.8.8.8,853,established,LOKAL.c,
udp,122.144.6.226,54976,74.125.200.94,443,,LOKAL.c,
tcp,202.148.26.5,1433,180.253.160.245,24548,fin-wait,,
tcp,122.144.6.226,40024,74.125.200.188,5228,established,LOKAL.c,
tcp,122.144.6.226,38240,74.125.68.94,80,established,LOKAL.c,
tcp,122.144.6.226,58915,162.247.243.30,443,established,INTL.c,
tcp,122.144.6.226,39062,203.161.21.176,443,established,INTL.c,
tcp,122.144.6.226,42576,34.111.115.192,443,established,INTL.c,
udp,122.144.6.226,34909,8.8.4.4,53,,LOKAL.c,
udp,103.136.6.162,59603,10.79.21.14,1812,,,
tcp,122.144.6.226,38884,52.74.15.15,443,established,LOKAL.c,
udp,172.16.144.34,57376,255.255.255.255,10002,,,
tcp,122.144.6.226,44502,31.13.95.61,443,established,LOKAL.c,
