Port Number,service
5678,rrac
799,
6568,canit-store
42160,
443,https
800,mdbs-daemon
48618,
46844,
48698,
38506,
37498,
80,http
46902,
4001,newoak
48712,
13501,
37506,
48550,
33412,
43662,
43590,
46500,
23008,
1194,openvpn
46894,
23015,
41386,
41690,
23002,inovaport3
41660,
47032,
25101,
43970,
40359,
40953,
23006,
32823,
40783,
39926,
48522,
47036,
45734,
47044,
47412,
47040,
42637,
36131,
27917,
18828,
11712,
34074,
45058,
33222,
33944,
38020,
38031,
40636,
45656,
44473,
53,domain
47698,
43604,
3544,teredo
45742,
899,
39318,
46578,
47590,
42834,
39416,
2000,cisco-sccp
42824,
46974,
46702,
39060,
42806,
41972,
41762,
46918,
39644,
39112,
41948,
46976,
39554,
43758,
43740,
42026,
5228,hpvroom
43764,
46610,
5222,xmpp-client
43876,
25,smtp
46834,
46942,
161,snmp
46916,
43746,
47148,
39512,
43898,
39528,
46400,
41566,
41226,
46622,
46854,
39422,
46986,
42068,
42048,
48044,
5938,
46458,
39616,
47962,
39660,
42064,
48026,
43838,
39024,
46830,
41678,
39392,
39570,
39064,
39474,
39548,
44024,
46772,
3306,mysql
42146,
43962,
10002,documentum
123,ntp
46472,
5351,
34682,
1433,ms-sql-s
8883,secure-mqtt
1812,radius
853,domain-s
22,ssh
8278,
12032,
514,shell
1813,radius-acct
