protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,175.103.46.158,55850,36.67.140.135,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,50118,34.107.221.82,80,established,,,OUT.bound
udp,175.103.46.158,61399,157.240.7.54,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,52024,118.98.77.162,80,syn-sent,,,OUT.bound
tcp,92.223.85.166,6568,175.103.46.158,55711,established,,,IN.bound
tcp,175.103.46.158,60826,64.233.170.188,5228,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,40380,157.240.235.61,443,established,speedtest.c,,OUT.bound
udp,175.103.46.158,60178,202.134.1.10,53,,speedtest.c,,OUT.bound
tcp,74.125.68.95,443,175.103.46.158,63812,last-ack,speedtest.c,,IN.bound
udp,175.103.46.158,59147,202.134.1.10,53,,speedtest.c,,OUT.bound
tcp,175.103.46.158,49627,74.125.68.95,443,established,speedtest.c,,OUT.bound
tcp,101.32.248.90,799,175.103.46.158,44990,established,speedtest.c,,IN.bound
tcp,175.103.46.158,56179,20.198.119.84,443,established,,,OUT.bound
tcp,175.103.46.158,42062,157.240.211.61,443,established,speedtest.c,,OUT.bound
tcp,43.134.53.107,799,175.103.46.158,48382,established,speedtest.c,,IN.bound
tcp,175.103.46.158,54034,31.13.68.61,5222,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,62158,23.32.246.55,443,established,speedtest.c,,OUT.bound
tcp,175.103.43.90,64846,146.196.111.218,8278,established,speedtest.c,,IN.bound
udp,175.103.46.158,64316,74.125.68.95,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,52830,20.198.119.84,443,established,,,OUT.bound
tcp,175.103.46.158,52315,142.251.10.95,443,established,speedtest.c,,OUT.bound
udp,146.196.111.212,5678,255.255.255.255,5678,,speedtest.c,,broadcast
udp,175.103.46.158,49250,202.134.1.10,53,,speedtest.c,,OUT.bound
tcp,3.217.12.237,443,175.103.46.158,64550,established,speedtest.c,,IN.bound
tcp,175.103.46.158,52868,20.198.119.143,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50160,34.107.221.82,80,established,,,OUT.bound
tcp,157.240.208.34,443,175.103.46.158,49308,established,speedtest.c,,IN.bound
udp,175.103.46.158,59960,74.125.24.94,443,,speedtest.c,,OUT.bound
tcp,43.133.45.194,799,175.103.46.158,36726,established,speedtest.c,,IN.bound
tcp,175.103.46.158,60949,74.125.130.188,5228,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,56174,157.240.13.55,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,40980,172.64.148.115,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,54639,74.125.68.95,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,45966,43.134.53.107,800,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,58970,20.198.119.143,443,established,speedtest.c,,OUT.bound
udp,175.103.46.158,62196,74.125.68.94,443,,speedtest.c,,OUT.bound
tcp,43.133.45.194,799,175.103.46.158,36746,established,speedtest.c,,IN.bound
tcp,175.103.46.158,58447,157.240.217.60,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,60564,144.208.224.168,5938,established,speedtest.c,,OUT.bound
udp,175.103.46.158,56251,202.134.1.10,53,,speedtest.c,,OUT.bound
tcp,175.103.46.158,47980,142.251.175.95,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,62163,23.216.158.146,80,established,speedtest.c,,OUT.bound
udp,175.103.46.158,60396,31.13.95.60,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,51947,13.107.42.12,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,60788,43.133.45.194,800,established,speedtest.c,,OUT.bound
icmp,3.26.2.62,0,146.196.111.218,0,,speedtest.c,,IN.bound
tcp,175.103.46.158,50877,74.125.68.95,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,51202,172.64.200.36,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50030,34.213.136.170,8883,established,speedtest.c,,OUT.bound
udp,146.196.111.218,41180,10.79.16.9,1812,,speedtest.c,,local
tcp,175.103.46.158,50791,129.226.106.210,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,65205,157.240.218.60,443,established,speedtest.c,,OUT.bound
udp,175.103.46.158,55463,142.251.12.95,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,56538,20.189.173.7,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50141,34.107.221.82,80,established,,,OUT.bound
tcp,175.103.46.158,57246,20.198.118.190,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50251,103.8.238.188,443,established,,,OUT.bound
tcp,175.103.46.158,46288,13.229.244.30,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,36916,142.251.175.102,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,41276,18.64.18.97,443,established,speedtest.c,,OUT.bound
tcp,43.134.120.219,799,175.103.46.158,37612,established,speedtest.c,,IN.bound
tcp,180.246.40.241,57851,175.103.46.156,1433,syn-sent,,,IN.bound
tcp,175.103.46.158,53342,31.13.68.61,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,37156,74.125.130.138,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50129,23.54.81.105,80,established,,,OUT.bound
tcp,89.248.165.109,51712,175.103.46.158,16693,syn-sent,,,IN.bound
tcp,43.128.118.190,799,175.103.46.158,38070,established,speedtest.c,,IN.bound
tcp,175.103.46.158,43268,64.233.170.94,443,established,speedtest.c,,OUT.bound
tcp,172.253.113.188,5228,175.103.46.158,40450,established,speedtest.c,,IN.bound
tcp,175.103.46.158,53399,52.208.224.152,8883,established,speedtest.c,,OUT.bound
udp,175.103.46.158,56431,216.239.38.120,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,50851,74.125.68.95,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,36372,172.232.251.34,2000,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,56112,36.67.140.135,443,time-wait,speedtest.c,,OUT.bound
tcp,13.248.151.210,443,175.103.46.158,61941,established,speedtest.c,,IN.bound
tcp,175.103.46.158,58838,20.42.65.89,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,37323,129.226.103.123,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,55229,23.106.252.102,80,established,,,OUT.bound
tcp,43.133.45.194,799,175.103.46.158,44524,established,,,IN.bound
tcp,175.103.46.158,59043,152.195.38.76,80,established,speedtest.c,,OUT.bound
udp,175.103.46.158,62790,202.134.1.10,53,,speedtest.c,,OUT.bound
udp,175.103.46.158,61352,216.239.38.120,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,50177,34.120.208.123,443,last-ack,,,OUT.bound
tcp,143.42.76.52,4001,175.103.46.158,39038,established,speedtest.c,,IN.bound
tcp,175.103.46.158,50996,157.240.199.61,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,60518,157.240.235.60,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50117,34.107.221.82,80,established,,,OUT.bound
udp,175.103.46.158,5678,192.168.124.1,53,,speedtest.c,,local
tcp,175.103.46.158,34042,31.13.68.61,5222,established,speedtest.c,,OUT.bound
udp,175.103.46.158,63749,172.253.118.136,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,51221,20.42.73.24,443,established,,,OUT.bound
tcp,143.42.76.52,4001,175.103.46.158,46576,established,speedtest.c,,IN.bound
tcp,43.133.45.194,799,175.103.46.158,44570,established,,,IN.bound
tcp,175.103.46.158,53596,52.184.217.37,443,established,speedtest.c,,OUT.bound
udp,175.103.46.158,60383,142.251.175.102,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,43600,31.13.68.1,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,55794,36.67.140.135,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,49738,74.125.68.95,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,55781,36.67.140.135,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,44015,129.226.103.123,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,46007,129.226.103.123,443,time-wait,speedtest.c,,OUT.bound
tcp,199.48.177.3,443,175.103.46.158,64484,established,speedtest.c,,IN.bound
tcp,175.103.46.158,51752,143.244.33.102,6568,established,,,OUT.bound
tcp,54.255.247.221,13501,175.103.46.158,42246,established,,,IN.bound
tcp,175.103.46.158,51948,157.240.211.61,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,51248,104.18.14.169,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,61458,103.115.98.3,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,36840,129.226.103.123,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,52020,13.107.22.239,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50172,34.120.208.123,443,last-ack,,,OUT.bound
tcp,43.134.120.219,799,175.103.46.158,37616,established,speedtest.c,,IN.bound
tcp,175.103.46.158,1024,20.198.119.84,443,established,,,OUT.bound
tcp,175.103.46.158,41662,104.22.21.162,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,41890,157.240.211.61,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,55338,43.134.53.107,799,close,speedtest.c,,OUT.bound
tcp,101.32.248.90,799,175.103.46.158,45064,established,speedtest.c,,IN.bound
udp,175.103.46.158,52217,122.144.2.205,443,,speedtest.c,,OUT.bound
tcp,175.103.46.158,41940,157.240.211.61,443,established,speedtest.c,,OUT.bound
tcp,43.133.45.194,799,175.103.46.158,36618,established,speedtest.c,,IN.bound
tcp,175.103.46.158,59554,20.198.119.143,443,established,speedtest.c,,OUT.bound
tcp,43.134.53.107,799,175.103.46.158,54622,established,speedtest.c,,IN.bound
tcp,175.103.46.158,60397,74.125.68.95,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50167,34.120.208.123,443,last-ack,,,OUT.bound
tcp,43.134.120.219,799,175.103.46.158,38480,established,speedtest.c,,IN.bound
udp,175.103.46.158,51750,157.240.218.60,443,,speedtest.c,,OUT.bound
