protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,175.103.46.158,55850,36.67.140.135,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
tcp,175.103.46.158,50118,34.107.221.82,80,OUT.bound,established,,,US,AS15169 google llc,SOC2023,,2023-11-15T11:59:37.006000
udp,175.103.46.158,61399,157.240.7.54,443,OUT.bound,,,speedtest.c,SG,AS32934 facebook  inc.,,,
tcp,175.103.46.158,52024,118.98.77.162,80,OUT.bound,syn-sent,,,,,,,
tcp,92.223.85.166,6568,175.103.46.158,55711,IN.bound,established,,,SG,AS199524 g-core labs s.a.,,,
tcp,175.103.46.158,60826,64.233.170.188,5228,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,40380,157.240.235.61,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
udp,175.103.46.158,60178,202.134.1.10,53,OUT.bound,,,speedtest.c,,,,,
tcp,74.125.68.95,443,175.103.46.158,63812,IN.bound,last-ack,,speedtest.c,US,AS15169 google llc,,,
udp,175.103.46.158,59147,202.134.1.10,53,OUT.bound,,,speedtest.c,,,,,
tcp,175.103.46.158,49627,74.125.68.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
tcp,101.32.248.90,799,175.103.46.158,44990,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,56179,20.198.119.84,443,OUT.bound,established,,,IN,AS8075 microsoft corporation,,,
tcp,175.103.46.158,42062,157.240.211.61,443,OUT.bound,established,,speedtest.c,HK,AS32934 facebook  inc.,,,
tcp,43.134.53.107,799,175.103.46.158,48382,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,54034,31.13.68.61,5222,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
tcp,175.103.46.158,62158,23.32.246.55,443,OUT.bound,established,,speedtest.c,US,AS20940 akamai international b.v.,,,
tcp,175.103.43.90,64846,146.196.111.218,8278,IN.bound,established,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,
udp,175.103.46.158,64316,74.125.68.95,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,52830,20.198.119.84,443,OUT.bound,established,,,IN,AS8075 microsoft corporation,,,
tcp,175.103.46.158,52315,142.251.10.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,uTorrent seeds from a VM,The world\,2022-12-16T13:03:24.863000
udp,146.196.111.212,5678,255.255.255.255,5678,broadcast,,,speedtest.c,,,,,
udp,175.103.46.158,49250,202.134.1.10,53,OUT.bound,,,speedtest.c,,,,,
tcp,3.217.12.237,443,175.103.46.158,64550,IN.bound,established,,speedtest.c,,,,,
tcp,175.103.46.158,52868,20.198.119.143,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,,,
tcp,175.103.46.158,50160,34.107.221.82,80,OUT.bound,established,,,US,AS15169 google llc,SOC2023,,2023-11-15T11:59:37.006000
tcp,157.240.208.34,443,175.103.46.158,49308,IN.bound,established,,speedtest.c,ID,AS32934 facebook  inc.,,,
udp,175.103.46.158,59960,74.125.24.94,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
tcp,43.133.45.194,799,175.103.46.158,36726,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,60949,74.125.130.188,5228,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,56174,157.240.13.55,443,OUT.bound,established,,speedtest.c,,,,,
tcp,175.103.46.158,40980,172.64.148.115,443,OUT.bound,established,,speedtest.c,,,,,
tcp,175.103.46.158,54639,74.125.68.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,45966,43.134.53.107,800,OUT.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,58970,20.198.119.143,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,,,
udp,175.103.46.158,62196,74.125.68.94,443,OUT.bound,,,speedtest.c,,,,,
tcp,43.133.45.194,799,175.103.46.158,36746,IN.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,58447,157.240.217.60,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
tcp,175.103.46.158,60564,144.208.224.168,5938,OUT.bound,established,,speedtest.c,,,,,
udp,175.103.46.158,56251,202.134.1.10,53,OUT.bound,,,speedtest.c,,,,,
tcp,175.103.46.158,47980,142.251.175.95,443,OUT.bound,established,,speedtest.c,,,,,
tcp,175.103.46.158,62163,23.216.158.146,80,OUT.bound,established,,speedtest.c,,,,,
udp,175.103.46.158,60396,31.13.95.60,443,OUT.bound,,,speedtest.c,ID,AS32934 facebook  inc.,,,
tcp,175.103.46.158,51947,13.107.42.12,443,OUT.bound,established,,speedtest.c,US,AS8068 microsoft corporation,Phishing Link Sent Via Email,Proto NATed Address  - 192.5.8  Â£1.4m -  is the latest in a long line of addresses to be considered,2023-05-11T17:04:30.666000
tcp,175.103.46.158,60788,43.133.45.194,800,OUT.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
icmp,3.26.2.62,0,146.196.111.218,0,IN.bound,,,speedtest.c,,,,,
tcp,175.103.46.158,50877,74.125.68.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,51202,172.64.200.36,443,OUT.bound,established,,speedtest.c,US,AS13335 cloudflare,,,
tcp,175.103.46.158,50030,34.213.136.170,8883,OUT.bound,established,,speedtest.c,US,AS16509 amazon.com inc,,,
udp,146.196.111.218,41180,10.79.16.9,1812,local,,,speedtest.c,,,,,
tcp,175.103.46.158,50791,129.226.106.210,443,OUT.bound,time-wait,,speedtest.c,HK,AS132203 tencent building  kejizhongyi avenue,,,
tcp,175.103.46.158,65205,157.240.218.60,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
udp,175.103.46.158,55463,142.251.12.95,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
tcp,175.103.46.158,56538,20.189.173.7,443,OUT.bound,established,,speedtest.c,,,,,
tcp,175.103.46.158,50141,34.107.221.82,80,OUT.bound,established,,,US,AS15169 google llc,SOC2023,,2023-11-15T11:59:37.006000
tcp,175.103.46.158,57246,20.198.118.190,443,OUT.bound,established,,speedtest.c,IN,AS8075 microsoft corporation,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000
tcp,175.103.46.158,50251,103.8.238.188,443,OUT.bound,established,,,,,,,
tcp,175.103.46.158,46288,13.229.244.30,443,OUT.bound,established,,speedtest.c,,,,,
tcp,175.103.46.158,36916,142.251.175.102,443,OUT.bound,established,,speedtest.c,,,,,
