name,data,.id,type,static,ttl,timestamp
detik.com,103.49.221.211,*822D,A,False,14s,2023-11-16 10:09:10 WIB
detik.com,203.190.242.211,*822E,A,False,14s,2023-11-16 10:09:10 WIB
google.com,172.217.194.138,*822F,A,False,1s,2023-11-16 10:09:10 WIB
google.com,172.217.194.139,*8230,A,False,1s,2023-11-16 10:09:10 WIB
google.com,172.217.194.100,*8231,A,False,1s,2023-11-16 10:09:10 WIB
google.com,172.217.194.101,*8232,A,False,1s,2023-11-16 10:09:10 WIB
google.com,172.217.194.113,*8233,A,False,1s,2023-11-16 10:09:10 WIB
google.com,172.217.194.102,*8234,A,False,1s,2023-11-16 10:09:10 WIB
4shared.com,204.155.149.42,*8235,A,False,20s,2023-11-16 10:09:10 WIB
4shared.com,204.155.146.95,*8236,A,False,20s,2023-11-16 10:09:10 WIB
4shared.com,204.155.149.43,*8237,A,False,20s,2023-11-16 10:09:10 WIB
4shared.com,204.155.149.41,*8238,A,False,20s,2023-11-16 10:09:10 WIB
