protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark
icmp,119.110.75.197,,119.110.75.198,,,
tcp,119.110.75.198,46096,74.125.68.188,5228,established,LOKAL.c
tcp,119.110.75.198,46312,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,45624,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,64261,116.206.10.9,80,established,LOKAL.c
tcp,119.110.75.198,42846,172.253.118.188,5228,established,LOKAL.c
tcp,192.168.10.100,44130,157.240.208.35,443,established,
tcp,192.168.10.72,42722,94.140.14.14,853,established,
tcp,119.110.75.198,40010,130.44.212.234,443,established,INTL.c
udp,119.110.75.198,38082,42.99.140.193,443,,INTL.c
udp,119.110.75.198,34907,34.117.36.110,443,,INTL.c
tcp,119.110.75.198,64197,103.10.66.235,443,established,LOKAL.c
tcp,119.110.75.198,58372,157.240.208.16,443,established,LOKAL.c
tcp,119.110.75.198,40462,74.125.24.188,5228,established,LOKAL.c
tcp,119.110.75.198,45140,172.253.118.188,5228,established,LOKAL.c
udp,119.110.75.198,32060,47.74.211.223,6000,,INTL.c
tcp,119.110.75.198,56430,172.253.118.188,5228,established,LOKAL.c
udp,119.110.75.198,37035,35.186.203.63,443,,LOKAL.c
udp,119.110.75.198,44084,47.241.61.177,6000,,INTL.c
tcp,119.110.75.198,33244,74.125.200.188,5228,established,LOKAL.c
tcp,119.110.75.198,38146,31.13.95.34,443,established,LOKAL.c
tcp,119.110.75.198,38772,157.240.208.34,443,established,LOKAL.c
tcp,119.110.75.198,64262,116.206.10.9,80,established,LOKAL.c
udp,119.110.75.198,46894,31.13.95.13,443,,LOKAL.c
tcp,119.110.75.198,35738,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,64598,162.125.40.2,443,established,INTL.c
udp,8.222.137.37,23237,119.110.75.199,5060,,
udp,119.110.75.198,65383,148.251.237.81,39871,,INTL.c
tcp,119.110.75.198,45270,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,47591,142.251.175.188,5228,established,LOKAL.c
tcp,192.168.10.98,48576,104.21.25.189,443,established,
tcp,119.110.75.198,40075,142.251.10.188,5228,established,LOKAL.c
tcp,119.110.75.198,38832,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,58376,157.240.208.16,443,established,LOKAL.c
tcp,119.110.75.198,38366,103.143.2.221,1197,established,LOKAL.c
tcp,119.110.75.198,44704,142.251.175.188,5228,established,LOKAL.c
udp,119.110.75.198,46000,52.221.112.182,8000,,INTL.c
tcp,119.110.75.198,53980,142.251.12.188,5228,established,LOKAL.c
tcp,119.110.75.198,51154,74.125.24.188,5228,established,LOKAL.c
tcp,192.168.10.90,37414,31.13.95.60,443,established,
tcp,192.168.10.100,47158,43.153.233.65,443,established,
udp,72.251.232.180,5143,119.110.66.86,5060,,
tcp,119.110.75.198,45166,74.125.68.188,5228,established,LOKAL.c
tcp,185.224.128.184,22445,119.110.66.86,80,established,
tcp,119.110.75.198,43432,74.125.24.188,5228,established,LOKAL.c
udp,119.110.75.198,56862,203.107.6.88,123,,INTL.c
udp,159.89.171.217,8000,119.110.66.86,5060,,
tcp,119.110.75.198,37822,142.251.12.188,5228,established,LOKAL.c
tcp,195.85.201.201,30120,119.110.75.199,43823,established,
tcp,119.110.75.198,46800,142.251.12.188,5228,established,LOKAL.c
tcp,119.110.75.198,41800,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,44812,142.251.12.188,5228,established,LOKAL.c
tcp,119.110.75.198,48084,64.233.170.188,5228,established,LOKAL.c
tcp,185.224.128.184,27487,119.110.75.197,80,established,
tcp,119.110.75.198,56150,142.251.12.188,5228,established,LOKAL.c
tcp,119.110.75.198,58190,172.253.118.188,5228,established,LOKAL.c
tcp,119.110.75.198,40836,172.217.26.78,80,established,LOKAL.c
tcp,119.110.75.198,37216,172.253.118.188,5228,established,LOKAL.c
tcp,119.110.75.198,49343,182.23.50.233,80,established,LOKAL.c
tcp,119.110.75.198,42076,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,42370,74.125.24.188,5228,established,LOKAL.c
tcp,119.110.75.198,52848,142.251.12.188,5228,established,LOKAL.c
tcp,185.224.128.184,14267,119.110.75.198,80,established,
tcp,119.110.75.198,62111,182.23.50.233,443,established,LOKAL.c
tcp,192.168.10.71,37192,168.235.206.6,80,established,
tcp,192.168.10.37,53052,157.240.208.16,443,established,
tcp,119.110.75.198,35458,64.233.170.94,443,established,LOKAL.c
tcp,119.110.75.198,46930,142.251.175.188,5228,established,LOKAL.c
tcp,119.110.75.198,57938,157.240.208.60,443,close,LOKAL.c
tcp,119.110.75.198,44386,142.251.12.188,5228,established,LOKAL.c
tcp,119.110.75.198,43216,74.125.68.188,5228,established,LOKAL.c
udp,119.110.75.198,51990,31.13.95.63,443,,LOKAL.c
tcp,119.110.75.198,59378,184.25.236.25,443,established,LOKAL.c
tcp,119.110.75.198,46886,172.217.194.188,5228,established,LOKAL.c
tcp,192.168.10.48,52354,8.211.29.204,443,established,
tcp,119.110.75.198,49832,172.253.118.188,5228,established,LOKAL.c
tcp,119.110.75.198,58750,34.149.173.23,443,established,INTL.c
tcp,119.110.75.198,37108,184.25.236.9,443,established,LOKAL.c
tcp,119.110.75.198,46252,74.125.130.188,5228,established,LOKAL.c
tcp,119.110.75.198,49654,74.125.24.119,443,established,LOKAL.c
tcp,23.224.197.145,80,119.110.75.199,51796,established,
tcp,192.168.10.104,54876,35.213.190.132,443,established,
tcp,45.137.17.8,443,119.110.75.199,47906,established,
tcp,119.110.75.198,48982,142.250.4.188,5228,established,LOKAL.c
tcp,119.110.75.198,45758,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,34172,74.125.68.188,5228,established,LOKAL.c
tcp,119.110.75.198,35454,64.233.170.94,443,established,LOKAL.c
tcp,119.110.75.198,46922,74.125.130.188,5228,established,LOKAL.c
tcp,119.110.75.198,44468,142.251.175.188,5228,established,LOKAL.c
tcp,185.224.128.184,28641,119.110.75.199,80,established,
tcp,192.168.10.100,38620,43.134.159.179,443,established,
tcp,119.110.75.198,56898,74.125.130.188,5228,established,LOKAL.c
tcp,195.85.201.201,30120,119.110.75.199,4163,established,
tcp,119.110.75.198,34726,31.13.80.8,443,established,LOKAL.c
tcp,119.110.75.198,41922,142.250.4.188,5228,established,LOKAL.c
tcp,119.110.75.198,51556,31.13.95.34,443,established,LOKAL.c
tcp,119.110.75.198,54604,172.217.194.188,5228,established,LOKAL.c
udp,119.110.75.198,32060,47.241.58.2,6000,,INTL.c
tcp,185.224.128.184,3911,119.110.75.196,80,established,
tcp,119.110.75.198,49746,74.125.24.188,5228,established,LOKAL.c
tcp,119.110.75.198,46918,35.213.190.132,443,established,LOKAL.c
udp,119.110.75.198,60316,119.28.230.190,123,,INTL.c
tcp,119.110.75.198,43346,31.13.95.34,443,established,LOKAL.c
tcp,119.110.75.198,50960,103.167.27.36,443,established,INTL.c
tcp,45.137.17.156,22,119.110.75.199,64205,established,
tcp,119.110.75.198,49558,34.149.160.135,80,established,INTL.c
tcp,192.168.10.66,52978,8.209.112.152,443,established,
tcp,192.168.10.66,35986,47.254.175.68,443,established,
tcp,119.110.75.198,34156,103.167.26.39,14000,established,INTL.c
tcp,119.110.75.198,64628,64.233.170.188,5228,established,LOKAL.c
tcp,185.224.128.184,5355,119.110.66.86,80,established,
tcp,119.110.75.198,51810,157.240.208.60,443,established,LOKAL.c
tcp,119.110.75.198,55208,35.213.190.132,443,established,LOKAL.c
udp,72.251.232.180,5143,119.110.75.198,5060,,
tcp,185.224.128.184,27137,119.110.75.199,80,established,
tcp,119.110.75.198,56160,34.141.85.170,7500,established,LOKAL.c
tcp,185.224.128.184,28983,119.110.66.86,80,established,
tcp,119.110.75.198,59534,74.125.200.188,5228,established,LOKAL.c
tcp,119.110.75.198,51116,142.251.12.188,5228,established,LOKAL.c
tcp,119.110.75.198,50012,142.250.4.188,5228,established,LOKAL.c
tcp,192.168.10.104,55052,35.213.190.132,443,established,
tcp,119.110.75.198,47408,172.253.118.188,5228,established,LOKAL.c
tcp,119.110.75.198,33096,31.13.95.60,443,established,LOKAL.c
tcp,119.110.75.198,38734,142.251.10.188,5228,established,LOKAL.c
tcp,119.110.75.198,36676,52.77.130.132,443,established,LOKAL.c
tcp,119.110.75.198,64190,116.206.10.45,80,established,LOKAL.c
tcp,119.110.75.198,64234,116.206.10.9,80,established,LOKAL.c
tcp,119.110.75.198,40066,172.253.118.188,5228,established,LOKAL.c
tcp,119.110.75.198,55164,35.213.190.132,443,established,LOKAL.c
tcp,119.110.75.198,55588,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,55512,142.250.4.188,5228,established,LOKAL.c
tcp,119.110.75.198,33150,64.233.170.188,5228,established,LOKAL.c
tcp,44.192.79.115,12792,119.110.75.199,23168,established,
tcp,175.103.43.90,50590,119.110.66.86,899,established,
tcp,119.110.75.198,40412,47.74.170.157,5222,established,INTL.c
tcp,119.110.75.198,54560,31.13.95.40,443,established,LOKAL.c
tcp,192.168.10.44,47806,8.219.246.69,443,established,
tcp,119.110.75.198,54151,182.23.50.233,443,established,LOKAL.c
tcp,119.110.75.198,43056,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,40752,157.240.13.14,443,established,LOKAL.c
tcp,119.110.75.198,43766,157.240.13.32,443,established,LOKAL.c
tcp,119.110.75.198,40536,74.125.200.188,5228,established,LOKAL.c
tcp,119.110.75.198,53446,74.125.130.188,5228,established,LOKAL.c
tcp,119.110.75.198,59954,31.13.95.61,5222,last-ack,LOKAL.c
tcp,185.224.128.184,28865,119.110.75.197,80,established,
tcp,119.110.75.198,41928,74.125.130.95,443,established,LOKAL.c
tcp,119.110.75.198,44314,142.251.10.188,5228,established,LOKAL.c
tcp,192.168.10.98,57590,157.240.15.13,443,established,
tcp,119.110.75.198,55120,122.248.195.213,443,established,LOKAL.c
tcp,119.110.75.198,39800,34.110.200.237,443,established,INTL.c
tcp,119.110.75.198,35102,74.125.24.188,5228,established,LOKAL.c
udp,119.110.75.198,40210,52.221.112.182,8000,,INTL.c
tcp,119.110.75.198,45006,199.103.24.2,443,established,LOKAL.c
tcp,119.110.75.198,49690,142.251.175.188,5228,established,LOKAL.c
tcp,119.110.75.198,51638,104.16.124.96,443,established,LOKAL.c
tcp,119.110.75.198,42092,74.125.24.188,5228,established,LOKAL.c
tcp,119.110.75.198,40796,157.240.13.14,443,established,LOKAL.c
tcp,119.110.75.198,44816,142.251.175.188,5228,established,LOKAL.c
tcp,119.110.75.198,49210,5.45.63.197,80,established,INTL.c
tcp,119.110.75.198,56854,35.186.203.63,443,established,LOKAL.c
udp,119.110.75.198,52513,34.107.238.235,443,,INTL.c
udp,119.110.75.198,33210,34.149.173.23,443,,INTL.c
tcp,119.110.75.198,44544,74.125.130.188,5228,established,LOKAL.c
tcp,119.110.75.198,47210,35.213.190.132,443,established,LOKAL.c
tcp,119.110.75.198,33022,157.240.13.32,443,established,LOKAL.c
tcp,119.110.75.198,44934,35.213.190.132,443,established,LOKAL.c
tcp,119.110.75.198,47557,142.251.10.188,5228,established,LOKAL.c
tcp,119.110.75.198,49902,34.117.214.157,443,established,INTL.c
tcp,119.110.75.198,45494,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,44572,74.125.200.188,5228,established,LOKAL.c
tcp,119.110.75.198,46648,74.125.200.188,5228,established,LOKAL.c
tcp,119.110.75.198,49048,74.125.68.188,5228,established,LOKAL.c
tcp,119.110.75.198,47024,172.253.118.188,5228,established,LOKAL.c
tcp,192.168.10.104,54878,35.213.190.132,443,established,
tcp,185.224.128.184,999,119.110.75.198,80,established,
tcp,119.110.75.198,48144,103.167.26.39,14000,established,INTL.c
tcp,119.110.75.198,44606,31.13.95.60,443,established,LOKAL.c
tcp,119.110.75.198,37906,34.107.243.93,443,established,INTL.c
tcp,119.110.75.198,43728,142.250.4.188,5228,established,LOKAL.c
tcp,119.110.75.198,51552,103.152.242.105,443,established,LOKAL.c
tcp,119.110.75.198,44708,74.125.200.188,5228,established,LOKAL.c
tcp,119.110.75.198,47996,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,57844,31.13.95.34,443,established,LOKAL.c
tcp,119.110.75.198,63995,51.77.90.246,8080,established,INTL.c
tcp,119.110.75.198,56946,74.125.24.188,5228,established,LOKAL.c
tcp,119.110.75.198,60644,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,63548,103.10.66.235,443,established,LOKAL.c
tcp,119.110.75.198,63760,103.10.66.235,443,established,LOKAL.c
tcp,45.137.17.8,443,119.110.75.196,44446,established,
tcp,119.110.75.198,39604,74.125.24.188,5228,established,LOKAL.c
tcp,119.110.75.198,47368,35.213.190.132,443,established,LOKAL.c
tcp,185.224.128.184,30459,119.110.75.196,80,established,
tcp,119.110.75.198,37632,163.70.141.34,443,established,LOKAL.c
tcp,119.110.75.198,40318,142.251.10.188,5228,established,LOKAL.c
tcp,119.110.75.198,46624,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,64160,103.10.66.235,443,established,LOKAL.c
tcp,119.110.75.198,49354,31.13.95.61,5222,established,LOKAL.c
tcp,119.110.75.198,36688,157.240.208.3,443,established,LOKAL.c
tcp,119.110.75.198,41556,8.8.4.4,443,established,LOKAL.c
tcp,119.110.75.198,58382,34.102.215.99,443,established,INTL.c
tcp,119.110.75.198,44950,142.251.175.188,5228,established,LOKAL.c
tcp,119.110.75.198,59858,172.217.194.188,5228,established,LOKAL.c
tcp,185.224.128.184,15289,119.110.75.196,80,established,
tcp,119.110.75.198,57538,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,44752,35.213.190.132,443,close,LOKAL.c
tcp,119.110.75.198,57206,43.159.118.126,443,established,INTL.c
tcp,119.110.75.198,38514,64.233.170.188,5228,established,LOKAL.c
tcp,119.110.75.198,49522,74.125.68.188,5228,established,LOKAL.c
tcp,119.110.75.198,64195,103.10.66.235,80,established,LOKAL.c
tcp,119.110.75.198,46542,74.125.200.188,5228,established,LOKAL.c
tcp,119.110.75.198,35788,74.125.24.94,443,established,LOKAL.c
tcp,119.110.75.198,44040,172.217.194.188,5228,established,LOKAL.c
tcp,119.110.75.198,50682,142.250.115.188,443,established,LOKAL.c
tcp,119.110.75.198,49208,34.75.3.10,7500,established,LOKAL.c
udp,119.110.75.198,35955,157.240.208.14,443,,LOKAL.c
tcp,119.110.75.198,51514,20.212.88.117,443,established,INTL.c
udp,119.110.75.198,50631,195.123.221.1,37139,,INTL.c
tcp,119.110.75.198,58120,74.125.24.188,5228,established,LOKAL.c
tcp,119.110.75.198,57397,34.141.85.170,7500,established,LOKAL.c
tcp,192.168.10.47,35872,47.254.145.126,443,established,
tcp,119.110.75.198,49832,74.125.200.188,5228,established,LOKAL.c
tcp,185.224.128.184,20037,119.110.75.196,80,established,
tcp,185.224.128.184,3911,119.110.75.198,80,established,
tcp,195.85.201.201,30120,119.110.75.199,61248,established,
tcp,192.168.10.143,39938,157.240.208.61,5222,established,
tcp,119.110.75.198,53792,35.213.190.132,443,established,LOKAL.c
udp,119.110.75.198,39501,210.210.145.139,443,,LOKAL.c
tcp,119.110.75.198,50756,52.84.251.29,443,established,INTL.c
tcp,192.168.10.98,50228,172.67.160.46,443,established,
tcp,119.110.75.198,49160,167.235.112.134,9000,established,INTL.c
