session,protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
2023-11-29_10-24-55,tcp,175.103.46.158,53986,52.184.217.37,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,tcp,175.103.46.158,62628,103.66.70.62,80,OUT.bound,established,,speedtest.c,ID,AS133840 pt jala lintas media,,,
2023-11-29_10-24-55,tcp,175.103.46.158,50144,13.89.178.26,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,tcp,175.103.46.158,62629,103.66.70.62,80,OUT.bound,established,,speedtest.c,ID,AS133840 pt jala lintas media,,,
2023-11-29_10-24-55,udp,175.103.46.158,50013,216.239.38.120,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000
2023-11-29_10-24-55,tcp,175.103.46.158,62630,52.184.217.37,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,tcp,175.103.46.158,51543,23.216.158.194,443,OUT.bound,fin-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,50570,157.240.218.61,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
2023-11-29_10-24-55,tcp,175.103.46.158,54513,52.111.243.28,443,OUT.bound,established,,speedtest.c,NL,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,udp,175.103.46.158,51490,122.144.2.205,443,OUT.bound,,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-29_10-24-55,udp,175.103.46.158,51043,122.144.2.205,443,OUT.bound,,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-29_10-24-55,udp,175.103.46.158,57024,157.240.7.20,443,OUT.bound,,,speedtest.c,SG,AS32934 facebook  inc.,BernieSanders.com (Pt.3),,2022-03-23T00:02:04.887000
2023-11-29_10-24-55,tcp,175.103.46.158,39571,74.125.24.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,39572,74.125.24.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,53618,13.89.178.26,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,udp,175.103.46.158,51407,216.239.38.120,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000
2023-11-29_10-24-55,tcp,175.103.46.158,65234,36.86.63.182,443,OUT.bound,syn-sent,,,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,51305,40.99.33.146,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,tcp,175.103.46.158,53622,13.89.178.26,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,tcp,110.138.251.158,61833,175.103.46.159,445,IN.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,51700,43.133.45.194,799,OUT.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
2023-11-29_10-24-55,tcp,175.103.46.158,53402,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,110.138.251.158,61832,175.103.46.158,445,IN.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,37708,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,50924,142.250.190.3,443,OUT.bound,time-wait,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,52506,36.67.189.252,443,OUT.bound,established,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,54280,8.219.89.234,80,OUT.bound,established,,speedtest.c,SG,AS45102 alibaba (us) technology co.  ltd.,,,
2023-11-29_10-24-55,udp,175.103.46.158,55546,64.233.170.95,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,44564,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,50502,104.18.25.47,443,OUT.bound,established,,speedtest.c,US,AS13335 cloudflare,,,
2023-11-29_10-24-55,udp,175.103.46.158,54559,74.125.200.95,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,41046,64.233.170.138,443,OUT.bound,time-wait,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,54736,172.217.194.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,udp,175.103.46.158,52776,36.86.63.182,3544,OUT.bound,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,57130,157.240.7.54,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
2023-11-29_10-24-55,tcp,175.103.46.158,54682,66.90.98.108,80,OUT.bound,established,,speedtest.c,US,AS30058 fdcservers.net,,,
2023-11-29_10-24-55,tcp,45.79.177.245,48656,175.103.46.158,6667,IN.bound,syn-sent,,,US,AS63949 linode  llc,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28T22:59:05.287000
2023-11-29_10-24-55,tcp,175.103.46.158,62635,23.223.114.56,443,OUT.bound,established,,speedtest.c,BG,AS16625 akamai technologies  inc.,,,
2023-11-29_10-24-55,tcp,116.153.70.171,60000,175.103.46.159,1321,IN.bound,syn-sent,,,CN,AS4837 china unicom china169 backbone,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T03:17:05.184000
2023-11-29_10-24-55,tcp,202.179.184.138,56257,175.103.46.159,3306,IN.bound,syn-sent,,,ID,AS38750 telemedia dinamika sarana,Scan port 445 SMB (S3#),Scans hitting the server at TCP port 445 SMB. Same IP should not appear more than once in 96 hours i,2022-04-11T22:01:07.991000
2023-11-29_10-24-55,tcp,202.179.184.138,56245,175.103.46.156,3306,IN.bound,syn-sent,,,ID,AS38750 telemedia dinamika sarana,Scan port 445 SMB (S3#),Scans hitting the server at TCP port 445 SMB. Same IP should not appear more than once in 96 hours i,2022-04-11T22:01:07.991000
2023-11-29_10-24-55,tcp,202.179.184.138,56253,175.103.46.158,3306,IN.bound,syn-sent,,,ID,AS38750 telemedia dinamika sarana,Scan port 445 SMB (S3#),Scans hitting the server at TCP port 445 SMB. Same IP should not appear more than once in 96 hours i,2022-04-11T22:01:07.991000
2023-11-29_10-24-55,tcp,175.103.46.158,58633,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58628,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,92.63.197.210,53692,175.103.46.159,19129,IN.bound,syn-sent,,,RU,AS44446 qwalarty corporation,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T03:17:05.184000
2023-11-29_10-24-55,tcp,175.103.46.158,38806,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58622,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,113.181.40.152,55870,175.103.46.159,445,IN.bound,syn-sent,,,VN,AS45899 vnpt corp,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58643,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,113.181.40.152,55864,175.103.46.158,445,IN.bound,syn-sent,,,VN,AS45899 vnpt corp,,,
2023-11-29_10-24-55,udp,175.103.46.158,43530,31.13.95.13,443,OUT.bound,,,speedtest.c,ID,AS32934 facebook  inc.,xx.fbcdn.net,,2022-04-18T00:07:16.048000
2023-11-29_10-24-55,tcp,47.236.101.216,55429,175.103.46.158,8091,IN.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,113.181.40.152,55856,175.103.46.156,445,IN.bound,syn-sent,,,VN,AS45899 vnpt corp,,,
2023-11-29_10-24-55,udp,10.20.30.74,42856,255.255.255.255,10002,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,51558,74.125.24.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58669,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58652,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,51557,74.125.24.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,118.123.105.93,36439,175.103.46.156,10909,IN.bound,syn-sent,,,CN,AS38283 chinanet sichuan telecom internet data center,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T03:19:09.001000
2023-11-29_10-24-55,tcp,175.103.46.158,58661,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58684,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58733,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,udp,146.196.111.220,5678,255.255.255.255,5678,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,180.241.181.89,50966,175.103.46.159,3306,IN.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,180.241.181.89,50955,175.103.46.156,3306,IN.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58695,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,45890,188.42.123.124,443,OUT.bound,time-wait,,speedtest.c,LU,AS7979 servers.com  inc.,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58708,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58995,216.239.38.120,443,OUT.bound,close,,speedtest.c,US,AS15169 google llc,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000
2023-11-29_10-24-55,tcp,180.241.181.89,50963,175.103.46.158,3306,IN.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58694,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58700,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58693,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,55288,74.125.24.95,443,OUT.bound,time-wait,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,56414,74.125.130.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,57134,157.240.7.54,443,OUT.bound,established,,speedtest.c,SG,AS32934 facebook  inc.,,,
2023-11-29_10-24-55,udp,47.236.101.216,55429,175.103.46.159,1993,IN.bound,,,speedtest.c,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,42394,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58740,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,udp,146.196.111.211,5678,255.255.255.255,5678,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,62116,74.125.24.95,443,OUT.bound,established,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,udp,10.20.30.58,38913,255.255.255.255,10002,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,udp,175.103.46.158,61140,142.251.175.190,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,udp,146.196.111.216,5678,255.255.255.255,5678,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58792,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58754,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58816,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,60268,52.242.101.224,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,tcp,175.103.46.158,53404,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,udp,175.103.46.158,49152,74.125.130.101,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,,,
2023-11-29_10-24-55,tcp,175.103.46.158,62639,103.66.70.62,80,OUT.bound,established,,speedtest.c,ID,AS133840 pt jala lintas media,,,
2023-11-29_10-24-55,tcp,175.103.46.158,49718,35.244.0.250,443,OUT.bound,established,,speedtest.c,IN,AS396982 google,,,
2023-11-29_10-24-55,tcp,175.103.46.158,51559,184.25.236.217,443,OUT.bound,syn-sent,,,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,37716,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,62638,103.66.70.62,80,OUT.bound,established,,speedtest.c,ID,AS133840 pt jala lintas media,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58810,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58841,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,44568,143.42.76.52,4001,OUT.bound,syn-sent,,,US,ASNone ,,,
2023-11-29_10-24-55,tcp,175.103.46.158,56010,188.42.124.132,443,OUT.bound,time-wait,,speedtest.c,SG,AS7979 servers.com  inc.,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58858,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58879,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.46.158,46378,43.134.53.107,799,OUT.bound,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
2023-11-29_10-24-55,udp,10.20.30.122,46759,255.255.255.255,10002,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,udp,10.20.30.115,39777,255.255.255.255,10002,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,46380,43.134.53.107,799,OUT.bound,close,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,
2023-11-29_10-24-55,tcp,175.103.46.158,55255,52.184.217.37,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,
2023-11-29_10-24-55,udp,10.20.206.14,5678,255.255.255.255,5678,broadcast,,,speedtest.c,,,,,
2023-11-29_10-24-55,udp,146.196.111.218,59873,10.79.16.9,1813,local,,,speedtest.c,,,,,
2023-11-29_10-24-55,udp,146.196.111.218,41618,10.79.16.9,1812,local,,,speedtest.c,,,,,
2023-11-29_10-24-55,tcp,175.103.46.158,58984,118.97.79.198,443,OUT.bound,time-wait,,speedtest.c,ID,AS7713 pt telekomunikasi indonesia,,,
2023-11-29_10-24-55,tcp,175.103.43.90,58750,146.196.111.218,8278,IN.bound,established,,speedtest.c,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-29_10-24-55,tcp,175.103.46.158,65245,36.86.63.182,443,OUT.bound,syn-sent,,,,,,,
