Port Number,service
799,
42048,
5678,rrac
38066,
35788,
46344,
41878,
38968,
46360,
47756,
48132,
41226,
39492,
899,
443,https
47612,
23008,
33472,
46400,
42042,
5228,hpvroom
44447,
36698,
36666,
41186,
43136,
36686,
35659,
35226,
48210,
34682,
7010,ups-onlinet
23006,
49020,
34850,
4001,newoak
42112,
40661,
42730,
41232,
40636,
48618,
36694,
38422,
23015,
32930,
23001,inovaport2
48802,
41876,
45582,
33912,
46844,
37978,
44784,
123,ntp
47676,
44368,
36002,
47234,
48522,
44947,
80,http
40696,
35420,
32861,
46338,
47114,
41342,
48426,
48698,
48714,
45382,
48202,
49114,
36412,
46834,
46916,
48204,
45998,
38964,
35424,
48338,
45654,
41282,
35782,
48102,
8910,manyone-http
45958,
8088,radan-http
41506,
8610,canon-mfnp
23023,
42004,
8675,msi-cps-rm
41494,
6568,canit-store
9119,mxit
45878,
42446,
9266,
9388,d2ddatatrans
8769,oktaauthenticat
5222,xmpp-client
41482,
41518,
3544,teredo
9283,callwaveiam
8278,
10002,documentum
9182,
41996,
46144,
53,domain
41500,
9201,wap-wsp-wtp
46354,
38404,
9091,xmltec-xmlmail
9181,
8736,
42046,
9468,
25,smtp
9302,
800,mdbs-daemon
9360,
8804,truecm
1812,radius
8546,
8945,
3822,acp-discovery
45924,
42130,
9097,
38918,
9040,
8883,secure-mqtt
42224,
8612,canon-bjnp2
45772,
1813,radius-acct
46652,
8999,bctp
8515,
9049,
9140,
9292,armtechdaemon
46432,
46472,
46500,
9173,
9294,armcenterhttp
9209,almobile-system
46428,
514,shell
2122,caupc-remote
9260,
48646,
40008,
45612,
8853,
8888,ddi-tcp-1
8780,
8645,
41474,
9333,
9326,
8742,
9284,visd
8911,manyone-xml
2000,cisco-sccp
42148,
46264,
30217,
8734,
22,ssh
9444,wso2esb-console
9220,
33884,
5938,
38304,
9136,
41266,
8552,
9489,
8727,
1194,openvpn
45834,
9681,
45600,
8845,
9287,cumulus
8533,
45892,
9421,
46628,
41514,
45870,
38898,
8889,ddi-tcp-2
41742,
9369,
46334,
38744,
9361,
9303,
8571,
8991,https-wmap
42492,
13451,
9055,
38470,
8651,
8595,
8574,
9402,sec-pc2fax-srv
8969,
45506,
9277,traingpsdata
41534,
9488,
45806,
38438,
