protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow,service
udp,175.103.46.158,62473.0,5.181.178.48,8910.0,,speedtest.c,,OUT.bound,manyone-http
tcp,43.134.120.219,799.0,175.103.46.158,45958.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,42048.0,31.13.68.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,49436.0,20.198.119.84,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,5678.0,255.255.255.255,5678.0,,speedtest.c,,broadcast,rrac
tcp,153.0.155.5,38066.0,175.103.46.159,8088.0,syn-sent,,,IN.bound,
tcp,43.128.74.37,799.0,175.103.46.158,41506.0,close-wait,speedtest.c,,IN.bound,
tcp,175.103.46.158,65445.0,31.13.68.60,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,54019.0,20.198.119.143,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,50951.0,216.239.38.120,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,58464.0,31.13.68.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,35788.0,172.67.70.70,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,46344.0,43.133.45.194,799.0,established,speedtest.c,,OUT.bound,
udp,175.103.46.158,62473.0,206.84.112.27,8610.0,,speedtest.c,,OUT.bound,canon-mfnp
tcp,175.103.46.158,61967.0,31.13.95.40,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,50372.0,216.239.38.178,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,62499.0,156.59.78.182,443.0,,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,49237.0,172.253.118.95,443.0,last-ack,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,58298.0,142.250.190.3,443.0,time-wait,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,60023.0,74.125.130.94,80.0,established,speedtest.c,,OUT.bound,http
tcp,175.103.46.158,55308.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,41878.0,31.13.77.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,57280.0,157.240.211.61,443.0,established,speedtest.c,,OUT.bound,https
tcp,94.102.61.42,38968.0,175.103.46.156,23023.0,syn-sent,,,IN.bound,
tcp,175.103.46.158,46360.0,43.133.45.194,799.0,established,speedtest.c,,OUT.bound,
tcp,43.128.74.37,799.0,175.103.46.158,42004.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,52935.0,74.125.130.94,443.0,established,speedtest.c,,OUT.bound,https
tcp,175.103.46.158,47756.0,157.240.199.61,443.0,established,speedtest.c,,OUT.bound,https
udp,175.103.46.158,62473.0,5.181.178.48,8675.0,,speedtest.c,,OUT.bound,msi-cps-rm
tcp,43.128.74.37,799.0,175.103.46.158,41494.0,established,speedtest.c,,IN.bound,
tcp,175.103.46.158,59277.0,103.107.198.66,6568.0,established,,,OUT.bound,canit-store
tcp,175.103.46.158,50927.0,20.198.119.84,443.0,established,speedtest.c,,OUT.bound,https
