Port Number,service
5678,rrac
443,https
5228,hpvroom
7010,ups-onlinet
4001,newoak
23001,inovaport2
123,ntp
80,http
8910,manyone-http
8088,radan-http
8610,canon-mfnp
8675,msi-cps-rm
6568,canit-store
9119,mxit
9388,d2ddatatrans
8769,oktaauthenticat
5222,xmpp-client
3544,teredo
9283,callwaveiam
10002,documentum
53,domain
9201,wap-wsp-wtp
9091,xmltec-xmlmail
25,smtp
800,mdbs-daemon
8804,truecm
1812,radius
3822,acp-discovery
8883,secure-mqtt
8612,canon-bjnp2
1813,radius-acct
8999,bctp
9292,armtechdaemon
9294,armcenterhttp
9209,almobile-system
514,shell
2122,caupc-remote
8888,ddi-tcp-1
9284,visd
8911,manyone-xml
2000,cisco-sccp
22,ssh
9444,wso2esb-console
1194,openvpn
9287,cumulus
8889,ddi-tcp-2
8991,https-wmap
9402,sec-pc2fax-srv
9277,traingpsdata
