protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved
tcp,119.110.75.198,57262,182.23.50.233,443,established,LOKAL.c,
tcp,119.110.75.198,51810,157.240.208.60,443,established,LOKAL.c,
udp,119.110.75.198,50656,103.134.189.147,443,,INTL.c,
udp,195.123.221.1,37139,119.110.75.198,50631,,INTL.c,
tcp,119.110.75.198,57261,182.23.50.233,443,established,LOKAL.c,
icmp,175.103.43.90,,119.110.75.198,,,,
icmp,119.110.66.86,,199.181.132.250,,,,
tcp,119.110.75.198,57231,182.23.50.233,443,established,LOKAL.c,
tcp,119.110.75.198,51245,104.21.28.80,443,established,INTL.c,
tcp,119.110.75.198,57272,182.23.50.233,443,established,LOKAL.c,
icmp,119.110.75.197,,119.110.75.198,,,,
udp,119.110.75.198,35686,34.111.174.196,443,,INTL.c,
tcp,175.103.43.90,50590,119.110.66.86,899,established,,
tcp,119.110.75.198,51268,125.209.226.33,443,established,INTL.c,
tcp,119.110.75.198,51248,34.120.241.214,443,established,INTL.c,
tcp,119.110.75.198,51198,182.23.50.233,443,established,LOKAL.c,
tcp,157.240.208.61,443,119.110.75.198,39370,established,LOKAL.c,
tcp,119.110.75.198,38366,103.143.2.221,1197,established,LOKAL.c,
udp,119.110.75.198,58498,157.240.208.60,443,,LOKAL.c,
tcp,185.162.130.54,88,119.110.75.198,56171,established,,
tcp,119.110.75.198,51270,23.50.117.218,443,established,LOKAL.c,
tcp,119.110.75.198,33280,163.181.100.238,443,established,LOKAL.c,
tcp,119.110.75.198,37484,31.13.68.61,5222,established,LOKAL.c,
tcp,119.110.75.198,51271,40.126.35.18,443,time-wait,LOKAL.c,
tcp,119.110.75.198,41278,142.251.10.100,443,established,LOKAL.c,
tcp,185.162.130.32,88,119.110.75.198,56056,last-ack,,
tcp,119.110.75.198,50692,157.240.208.61,443,established,LOKAL.c,
tcp,64.233.170.188,5228,119.110.75.198,32874,established,LOKAL.c,
tcp,51.77.90.246,8080,119.110.75.198,63995,established,INTL.c,
tcp,185.162.130.13,88,119.110.75.198,56057,last-ack,,
udp,119.110.75.198,37058,71.18.36.225,443,,LOKAL.c,
tcp,103.134.189.147,443,119.110.75.198,44126,established,,
tcp,119.110.75.198,51232,74.125.130.94,443,established,LOKAL.c,
tcp,163.70.153.34,443,119.110.75.198,39100,fin-wait,,
tcp,119.110.75.198,50895,163.70.141.37,443,established,LOKAL.c,
tcp,163.181.100.237,443,119.110.75.198,59165,last-ack,,
tcp,163.181.100.237,443,119.110.75.198,59164,last-ack,,
udp,119.110.75.198,65383,148.251.237.81,39871,,INTL.c,
tcp,157.240.208.61,443,119.110.75.198,40680,established,LOKAL.c,
tcp,134.119.183.60,80,119.110.75.198,62409,established,INTL.c,
tcp,119.110.75.198,51111,157.240.208.60,443,established,LOKAL.c,
tcp,119.110.75.198,51274,40.99.10.34,993,time-wait,INTL.c,
tcp,119.110.75.198,54415,182.23.50.233,443,established,LOKAL.c,
tcp,119.110.75.198,63996,185.244.24.41,8443,established,INTL.c,
tcp,119.110.75.198,46650,8.222.151.246,31006,established,INTL.c,
tcp,119.110.75.198,64870,182.23.50.233,443,established,LOKAL.c,
tcp,119.110.75.198,47906,151.101.198.73,443,established,INTL.c,
tcp,130.44.212.234,443,119.110.75.198,59135,established,,
tcp,17.253.61.203,443,119.110.75.198,60945,established,,
tcp,130.44.212.77,443,119.110.75.198,59163,established,,
tcp,119.110.75.198,51275,104.18.32.167,443,time-wait,LOKAL.c,
icmp,122.144.3.5,,119.110.66.86,,,,
tcp,182.23.50.233,443,119.110.75.198,60916,established,LOKAL.c,
tcp,119.110.75.198,53206,157.240.13.55,80,established,LOKAL.c,
tcp,119.110.75.198,51231,104.21.28.80,443,established,INTL.c,
tcp,119.110.75.198,51195,173.232.194.21,8443,established,INTL.c,
tcp,119.110.75.198,51243,13.107.42.22,443,time-wait,LOKAL.c,
tcp,119.110.75.198,46626,103.143.2.221,1196,established,LOKAL.c,
tcp,182.23.50.233,443,119.110.75.198,54411,established,LOKAL.c,
tcp,119.110.75.198,55318,103.143.2.221,1194,established,LOKAL.c,
tcp,54.169.5.36,80,119.110.75.198,53543,established,LOKAL.c,
tcp,119.110.75.198,37602,52.84.251.112,443,established,INTL.c,
tcp,119.110.75.198,58848,184.25.236.91,443,established,LOKAL.c,
tcp,119.110.75.198,51276,162.125.40.1,443,established,INTL.c,
udp,119.110.75.198,60153,34.111.101.25,443,,INTL.c,
tcp,119.110.75.198,51279,17.33.202.209,443,established,INTL.c,
icmp,43.218.95.224,,119.110.75.197,,,,
icmp,18.231.123.56,,119.110.66.86,,,,
icmp,108.137.72.247,,119.110.75.197,,,,
icmp,43.218.117.155,,119.110.75.197,,,,
icmp,15.228.155.252,,119.110.66.86,,,,
icmp,15.228.76.129,,119.110.66.86,,,,
tcp,2.59.169.86,80,119.110.75.198,49323,established,INTL.c,
icmp,54.73.84.57,,119.110.66.86,,,,
icmp,54.183.151.194,,119.110.75.198,,,,
tcp,119.110.75.198,54414,182.23.50.233,443,established,LOKAL.c,
