protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,175.103.46.158,56272,172.232.251.34,2000,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,49749,118.98.93.56,80,established,,,OUT.bound
tcp,175.103.46.158,38070,43.128.118.190,799,established,speedtest.c,,OUT.bound
tcp,143.42.76.52,4001,175.103.46.158,48124,established,,,IN.bound
tcp,175.103.46.158,50144,103.126.10.171,443,established,,,OUT.bound
tcp,175.103.46.158,49408,20.198.118.190,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,50115,23.222.26.17,80,established,,,OUT.bound
tcp,175.103.46.158,52983,157.240.7.54,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,62374,142.251.175.95,443,established,speedtest.c,,OUT.bound
tcp,185.224.128.184,12257,175.103.46.156,80,established,speedtest.c,,IN.bound
tcp,35.213.190.132,443,175.103.46.158,50560,established,speedtest.c,,IN.bound
tcp,175.103.46.158,42695,129.226.103.123,443,time-wait,speedtest.c,,OUT.bound
tcp,175.103.46.158,48762,157.240.7.53,443,established,speedtest.c,,OUT.bound
tcp,118.98.93.67,80,175.103.46.158,61381,established,speedtest.c,,IN.bound
tcp,175.103.46.158,49728,23.223.112.135,443,established,,,OUT.bound
tcp,175.103.46.158,49838,103.126.10.171,443,established,,,OUT.bound
tcp,175.103.46.158,58776,172.253.118.113,443,established,speedtest.c,,OUT.bound
tcp,84.205.222.133,443,175.103.46.158,18650,established,,,IN.bound
tcp,175.103.46.158,60826,64.233.170.188,5228,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,52242,172.253.118.95,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,53077,118.98.77.106,80,established,speedtest.c,,OUT.bound
icmp,35.177.146.250,0,175.103.46.158,0,,speedtest.c,,IN.bound
tcp,175.103.46.158,65335,45.114.118.103,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,52444,143.42.76.52,4001,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,56179,20.198.119.84,443,established,speedtest.c,,OUT.bound
tcp,185.10.68.220,443,175.103.46.158,57519,established,speedtest.c,,IN.bound
tcp,175.103.46.158,56394,172.64.192.19,443,established,speedtest.c,,OUT.bound
tcp,43.133.45.194,799,172.31.254.2,60788,established,,,IN.bound
tcp,175.103.46.158,49170,118.97.159.26,80,established,,,OUT.bound
tcp,175.103.46.158,40852,74.125.130.188,5228,established,speedtest.c,,OUT.bound
udp,175.103.46.158,57531,142.251.12.132,443,,speedtest.c,,OUT.bound
tcp,157.240.218.60,443,175.103.46.158,52144,established,speedtest.c,,IN.bound
tcp,175.103.46.158,38796,157.240.235.15,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,39366,104.26.11.216,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,60488,172.67.68.167,443,established,speedtest.c,,OUT.bound
tcp,175.103.46.158,49840,103.126.10.171,443,established,,,OUT.bound
tcp,175.103.46.158,49472,20.198.119.84,443,established,speedtest.c,,OUT.bound
