.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*7D1D,udp,10.0.0.4:4500,20.205.36.71:4500,20.205.36.71:4500,10.0.0.4:4500,,,,2m56s,,21,2128,0,0,40,3734,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 13:41:32 WIB
*7D1F,tcp,10.0.0.4:179,20.205.36.71:34788,20.205.36.71:34788,10.0.0.4:179,,established,,23h59m10s,,10,615,0,0,10,615,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 13:41:32 WIB
*7D23,udp,10.0.0.4:1701,20.205.36.71:1701,20.205.36.71:1701,10.0.0.4:1701,,,,2m55s,,17,762,0,0,22,1672,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 13:41:32 WIB
*7D24,tcp,10.0.0.4:4075,175.103.43.90:57452,175.103.43.90:57452,10.0.0.4:4075,,established,,4m59s,,473,364060,0,0,598,43060,0,0,14976,3200,False,True,True,True,False,False,False,False,,,,2023-11-16 13:41:32 WIB
*7D36,udp,192.168.55.2:5678,255.255.255.255:5678,255.255.255.255:5678,192.168.55.2:5678,,,,5s,,1,144,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 13:41:32 WIB
