protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,103.169.73.162,50536.0,151.101.2.133,443.0,OUT.bound,established,,INTL.c,US,AS54113 fastly,CVE:CVE-1999-0095,An attack on the Sendmail server is being investigated by researchers at the University of Californi,2023-11-21 01:02:17.904
udp,103.169.73.162,1089.0,171.103.45.138,32625.0,OUT.bound,,,INTL.c,TH,AS7470 true internet co. ltd.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
udp,216.218.206.120,51478.0,103.169.73.162,5060.0,IN.bound,,,,US,AS6939 hurricane electric llc,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
udp,103.169.73.162,58196.0,152.195.19.97,443.0,OUT.bound,,,INTL.c,US,AS15133 verizon,Investigation of Distribution Vectors and Threat Network Infrastructure,An analysis of Malware Distribution and Threats stemming from an (on-going & unaddressed...)  Proble,2023-11-24 14:40:50.547
tcp,104.244.42.3,443.0,103.169.73.162,53518.0,IN.bound,established,,,US,AS13414 twitter inc.,http://malwaredomainlist.com/   CNC   Spyware   Tracking,As unable to extract this 3.8mb data file directly to otx  hybrid and vt  so via submit file as link,2023-11-22 07:37:34.595
tcp,185.224.128.184,20839.0,103.135.50.157,80.0,IN.bound,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 03:32:58.864
udp,103.169.73.162,1089.0,115.96.107.233,63681.0,OUT.bound,,,INTL.c,IN,AS17488 hathway ip over cable internet,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,103.169.73.162,64617.0,203.124.11.111,443.0,OUT.bound,syn-sent,,INTL.c,HK,AS38277 communilink internet limited.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,176.111.174.30,51755.0,103.169.73.167,1022.0,IN.bound,syn-sent,,,RU,AS57523 chang way technologies co. limited,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 03:34:01.275
tcp,176.111.174.30,51755.0,103.169.73.173,1022.0,IN.bound,syn-sent,,,RU,AS57523 chang way technologies co. limited,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 03:34:01.275
tcp,185.73.23.133,46335.0,103.169.73.170,5683.0,IN.bound,syn-sent,,,DE,AS29484 ruhr-universitaet bochum,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 03:34:48.376
